data,vazao
4/1/1967,0.000
4/2/1967,0.000
4/3/1967,0.000
4/4/1967,0.000
4/5/1967,0.000
4/6/1967,0.000
4/7/1967,0.000
4/8/1967,0.000
4/9/1967,3.447
4/10/1967,2.644
4/11/1967,2.396
4/12/1967,0.000
4/13/1967,0.000
4/14/1967,1.307
4/15/1967,1.194
4/16/1967,0.981
4/17/1967,11.947
4/18/1967,48.943
4/19/1967,16.717
4/20/1967,7.998
4/21/1967,8.721
4/22/1967,8.967
4/23/1967,1.797
4/24/1967,1.463
4/25/1967,1.345
4/26/1967,1.194
4/27/1967,3.008
4/28/1967,11.579
4/29/1967,6.999
4/30/1967,4.968
5/1/1967,3.850
5/2/1967,2.445
5/3/1967,2.955
5/4/1967,2.798
5/5/1967,3.062
5/6/1967,14.552
5/7/1967,28.738
5/8/1967,21.518
5/9/1967,8.477
5/10/1967,7.763
5/11/1967,6.054
5/12/1967,2.902
5/13/1967,2.299
5/14/1967,2.494
5/15/1967,12.698
5/16/1967,5.365
5/17/1967,2.544
5/18/1967,1.753
5/19/1967,1.626
5/20/1967,1.929
5/21/1967,1.626
5/22/1967,1.384
5/23/1967,1.269
5/24/1967,1.121
5/25/1967,1.050
5/26/1967,1.626
5/27/1967,1.711
5/28/1967,1.544
5/29/1967,1.231
5/30/1967,1.157
5/31/1967,1.086
6/1/1967,8.967
6/2/1967,6.411
6/3/1967,5.432
6/4/1967,3.560
6/5/1967,2.695
6/6/1967,1.753
6/7/1967,25.775
6/8/1967,22.822
6/9/1967,9.216
6/10/1967,3.969
6/11/1967,3.792
6/12/1967,3.335
6/13/1967,3.391
6/14/1967,8.156
6/15/1967,7.225
6/16/1967,5.165
6/17/1967,3.335
6/18/1967,2.850
6/19/1967,1.797
6/20/1967,1.544
6/21/1967,1.840
6/22/1967,5.033
6/23/1967,5.298
6/24/1967,4.773
6/25/1967,3.969
6/26/1967,3.560
6/27/1967,3.447
6/28/1967,2.644
6/29/1967,5.365
6/30/1967,1.840
7/1/1967,14.452
7/2/1967,41.872
7/3/1967,20.473
7/4/1967,7.074
7/5/1967,16.611
7/6/1967,14.854
7/7/1967,8.802
7/8/1967,6.339
7/9/1967,5.033
7/10/1967,3.560
7/11/1967,6.483
7/12/1967,18.890
7/13/1967,18.557
7/14/1967,6.483
7/15/1967,3.969
7/16/1967,3.116
7/17/1967,2.695
7/18/1967,2.299
7/19/1967,2.157
7/20/1967,1.974
7/21/1967,1.840
7/22/1967,1.753
7/23/1967,1.753
7/24/1967,1.753
7/25/1967,1.711
7/26/1967,1.753
7/27/1967,1.711
7/28/1967,1.840
7/29/1967,7.074
7/30/1967,3.560
7/31/1967,3.675
8/1/1967,4.583
8/2/1967,11.947
8/3/1967,3.280
8/4/1967,2.695
8/5/1967,2.347
8/6/1967,1.929
8/7/1967,3.062
8/8/1967,2.157
8/9/1967,1.797
8/10/1967,1.711
8/11/1967,1.503
8/12/1967,1.384
8/13/1967,1.668
8/14/1967,1.668
8/15/1967,1.345
8/16/1967,1.269
8/17/1967,2.695
8/18/1967,2.955
8/19/1967,4.029
8/20/1967,8.721
8/21/1967,2.445
8/22/1967,1.884
8/23/1967,1.544
8/24/1967,1.384
8/25/1967,1.269
8/26/1967,1.307
8/27/1967,1.463
8/28/1967,1.307
8/29/1967,1.345
8/30/1967,1.503
8/31/1967,1.585
9/1/1967,1.753
9/2/1967,1.463
9/3/1967,1.423
9/4/1967,1.231
9/5/1967,1.121
9/6/1967,1.423
9/7/1967,1.194
9/8/1967,1.015
9/9/1967,0.981
9/10/1967,0.981
9/11/1967,0.947
9/12/1967,0.914
9/13/1967,0.981
9/14/1967,1.086
9/15/1967,1.050
9/16/1967,0.981
9/17/1967,0.947
9/18/1967,0.914
9/19/1967,0.914
9/20/1967,1.015
9/21/1967,0.914
9/22/1967,0.881
9/23/1967,0.817
9/24/1967,0.785
9/25/1967,0.754
9/26/1967,0.694
9/27/1967,0.665
9/28/1967,0.552
9/29/1967,0.754
9/30/1967,0.607
10/1/1967,0.817
10/2/1967,0.947
10/3/1967,1.050
10/4/1967,1.050
10/5/1967,1.384
10/6/1967,1.269
10/7/1967,1.463
10/8/1967,1.384
10/9/1967,1.194
10/10/1967,1.050
10/11/1967,0.947
10/12/1967,0.849
10/13/1967,0.754
10/14/1967,0.580
10/15/1967,0.552
10/16/1967,0.694
10/17/1967,0.754
10/18/1967,0.817
10/19/1967,0.881
10/20/1967,0.881
10/21/1967,0.817
10/22/1967,0.785
10/23/1967,0.754
10/24/1967,0.694
10/25/1967,0.636
10/26/1967,0.607
10/27/1967,0.694
10/28/1967,0.636
10/29/1967,0.607
10/30/1967,0.580
10/31/1967,0.552
11/1/1967,0.473
11/2/1967,0.473
11/3/1967,0.473
11/4/1967,0.448
11/5/1967,0.448
11/6/1967,0.448
11/7/1967,0.448
11/8/1967,0.448
11/9/1967,0.448
11/10/1967,0.424
11/11/1967,0.424
11/12/1967,0.424
11/13/1967,0.400
11/14/1967,0.400
11/15/1967,0.376
11/16/1967,0.331
11/17/1967,0.331
11/18/1967,0.331
11/19/1967,0.331
11/20/1967,0.353
11/21/1967,0.331
11/22/1967,0.331
11/23/1967,0.353
11/24/1967,0.376
11/25/1967,0.353
11/26/1967,0.376
11/27/1967,0.376
11/28/1967,0.376
11/29/1967,0.353
11/30/1967,0.353
12/1/1967,0.353
12/2/1967,0.331
12/3/1967,0.353
12/4/1967,0.353
12/5/1967,0.331
12/6/1967,0.331
12/7/1967,0.331
12/8/1967,0.331
12/9/1967,0.331
12/10/1967,0.331
12/11/1967,0.331
12/12/1967,0.331
12/13/1967,0.331
12/14/1967,0.331
12/15/1967,0.331
12/16/1967,0.331
12/17/1967,0.331
12/18/1967,0.331
12/19/1967,0.331
12/20/1967,0.331
12/21/1967,0.331
12/22/1967,0.331
12/23/1967,0.331
12/24/1967,0.331
12/25/1967,0.331
12/26/1967,0.331
12/27/1967,0.331
12/28/1967,0.376
12/29/1967,1.585
12/30/1967,2.494
12/31/1967,3.008
1/1/1968,2.396
1/2/1968,1.974
1/3/1968,1.050
1/4/1968,0.636
1/5/1968,0.376
1/6/1968,0.353
1/7/1968,0.353
1/8/1968,0.353
1/9/1968,0.376
1/10/1968,0.376
1/11/1968,0.376
1/12/1968,0.376
1/13/1968,0.353
1/14/1968,0.331
1/15/1968,0.331
1/16/1968,0.331
1/17/1968,0.309
1/18/1968,0.288
1/19/1968,0.267
1/20/1968,0.267
1/21/1968,0.267
1/22/1968,0.267
1/23/1968,17.465
1/24/1968,3.909
1/25/1968,1.231
1/26/1968,1.345
1/27/1968,11.671
1/28/1968,1.884
1/29/1968,1.157
1/30/1968,0.817
1/31/1968,0.552
2/1/1968,0.499
2/2/1968,0.499
2/3/1968,0.552
2/4/1968,0.552
2/5/1968,0.525
2/6/1968,0.448
2/7/1968,0.499
2/8/1968,1.086
2/9/1968,1.269
2/10/1968,0.849
2/11/1968,0.473
2/12/1968,0.376
2/13/1968,0.331
2/14/1968,0.309
2/15/1968,0.400
2/16/1968,0.331
2/17/1968,0.331
2/18/1968,0.331
2/19/1968,0.331
2/20/1968,0.331
2/21/1968,0.424
2/22/1968,0.473
2/23/1968,0.400
2/24/1968,0.376
2/25/1968,0.353
2/26/1968,0.331
2/27/1968,2.644
2/28/1968,4.149
2/29/1968,1.711
3/1/1968,0.552
3/2/1968,0.448
3/3/1968,0.448
3/4/1968,0.754
3/5/1968,0.881
3/6/1968,0.499
3/7/1968,0.473
3/8/1968,0.448
3/9/1968,0.376
3/10/1968,0.376
3/11/1968,1.544
3/12/1968,1.384
3/13/1968,0.881
3/14/1968,0.754
3/15/1968,1.050
3/16/1968,1.753
3/17/1968,1.269
3/18/1968,0.754
3/19/1968,0.665
3/20/1968,3.062
3/21/1968,4.457
3/22/1968,3.909
3/23/1968,4.646
3/24/1968,2.019
3/25/1968,3.008
3/26/1968,3.969
3/27/1968,1.668
3/28/1968,1.086
3/29/1968,0.849
3/30/1968,0.754
3/31/1968,0.636
4/1/1968,0.607
4/2/1968,0.724
4/3/1968,0.665
4/4/1968,0.636
4/5/1968,0.552
4/6/1968,0.817
4/7/1968,0.636
4/8/1968,0.580
4/9/1968,0.499
4/10/1968,0.400
4/11/1968,0.400
4/12/1968,0.424
4/13/1968,0.849
4/14/1968,0.694
4/15/1968,0.525
4/16/1968,0.473
4/17/1968,0.473
4/18/1968,0.448
4/19/1968,0.499
