data,chuva_media
4/1/1967,2.810
4/2/1967,1.841
4/3/1967,2.566
4/4/1967,12.369
4/5/1967,15.261
4/6/1967,13.043
4/7/1967,4.837
4/8/1967,4.951
4/9/1967,2.342
4/10/1967,1.315
4/11/1967,1.338
4/12/1967,5.083
4/13/1967,1.231
4/14/1967,0.702
4/15/1967,0.934
4/16/1967,1.896
4/17/1967,17.782
4/18/1967,19.409
4/19/1967,10.161
4/20/1967,5.696
4/21/1967,2.033
4/22/1967,0.265
4/23/1967,0.304
4/24/1967,0.566
4/25/1967,0.650
4/26/1967,0.971
4/27/1967,9.603
4/28/1967,7.570
4/29/1967,7.769
4/30/1967,4.235
5/1/1967,4.392
5/2/1967,7.180
5/3/1967,3.229
5/4/1967,1.638
5/5/1967,5.435
5/6/1967,15.969
5/7/1967,10.749
5/8/1967,13.846
5/9/1967,10.147
5/10/1967,5.073
5/11/1967,3.899
5/12/1967,2.154
5/13/1967,1.794
5/14/1967,5.853
5/15/1967,9.554
5/16/1967,0.915
5/17/1967,2.270
5/18/1967,0.675
5/19/1967,2.338
5/20/1967,2.303
5/21/1967,3.629
5/22/1967,2.301
5/23/1967,1.784
5/24/1967,0.962
5/25/1967,3.016
5/26/1967,6.626
5/27/1967,4.593
5/28/1967,2.198
5/29/1967,4.422
5/30/1967,2.335
5/31/1967,7.566
6/1/1967,17.901
6/2/1967,5.323
6/3/1967,9.035
6/4/1967,9.422
6/5/1967,3.210
6/6/1967,7.490
6/7/1967,12.680
6/8/1967,5.155
6/9/1967,2.647
6/10/1967,1.647
6/11/1967,2.309
6/12/1967,6.853
6/13/1967,5.848
6/14/1967,4.460
6/15/1967,5.046
6/16/1967,2.228
6/17/1967,5.227
6/18/1967,2.909
6/19/1967,1.475
6/20/1967,0.982
6/21/1967,5.656
6/22/1967,15.017
6/23/1967,9.171
6/24/1967,5.472
6/25/1967,3.036
6/26/1967,1.495
6/27/1967,2.457
6/28/1967,2.297
6/29/1967,4.626
6/30/1967,11.021
7/1/1967,20.642
7/2/1967,12.173
7/3/1967,2.104
7/4/1967,9.507
7/5/1967,11.097
7/6/1967,4.048
7/7/1967,3.389
7/8/1967,4.847
7/9/1967,4.509
7/10/1967,3.562
7/11/1967,9.537
7/12/1967,13.714
7/13/1967,7.660
7/14/1967,2.087
7/15/1967,1.378
7/16/1967,0.241
7/17/1967,0.523
7/18/1967,0.682
7/19/1967,1.125
7/20/1967,1.460
7/21/1967,1.378
7/22/1967,0.658
7/23/1967,1.235
7/24/1967,1.198
7/25/1967,1.064
7/26/1967,3.323
7/27/1967,3.695
7/28/1967,5.039
7/29/1967,9.864
7/30/1967,6.640
7/31/1967,10.786
8/1/1967,7.017
8/2/1967,3.917
8/3/1967,1.708
8/4/1967,2.208
8/5/1967,1.075
8/6/1967,4.205
8/7/1967,9.196
8/8/1967,1.749
8/9/1967,0.994
8/10/1967,0.552
8/11/1967,0.944
8/12/1967,2.475
8/13/1967,2.346
8/14/1967,2.517
8/15/1967,0.881
8/16/1967,3.441
8/17/1967,12.701
8/18/1967,5.311
8/19/1967,9.833
8/20/1967,6.480
8/21/1967,2.179
8/22/1967,0.620
8/23/1967,0.513
8/24/1967,1.467
8/25/1967,3.342
8/26/1967,1.756
8/27/1967,2.184
8/28/1967,4.463
8/29/1967,4.507
8/30/1967,3.481
8/31/1967,3.925
9/1/1967,3.802
9/2/1967,3.010
9/3/1967,1.599
9/4/1967,0.599
9/5/1967,0.521
9/6/1967,2.136
9/7/1967,1.506
9/8/1967,0.075
9/9/1967,0.246
9/10/1967,0.200
9/11/1967,0.073
9/12/1967,0.479
9/13/1967,0.832
9/14/1967,0.628
9/15/1967,0.035
9/16/1967,0.204
9/17/1967,0.439
9/18/1967,3.777
9/19/1967,2.158
9/20/1967,0.705
9/21/1967,0.174
9/22/1967,0.097
9/23/1967,0.228
9/24/1967,0.157
9/25/1967,0.223
9/26/1967,0.079
9/27/1967,0.062
9/28/1967,0.045
9/29/1967,0.569
9/30/1967,3.068
10/1/1967,2.288
10/2/1967,1.015
10/3/1967,1.449
10/4/1967,2.113
10/5/1967,3.067
10/6/1967,5.414
10/7/1967,16.052
10/8/1967,2.852
10/9/1967,2.703
10/10/1967,0.676
10/11/1967,0.103
10/12/1967,0.000
10/13/1967,0.587
10/14/1967,0.689
10/15/1967,1.590
10/16/1967,1.128
10/17/1967,2.168
10/18/1967,0.869
10/19/1967,1.636
10/20/1967,0.790
10/21/1967,0.852
10/22/1967,0.384
10/23/1967,0.117
10/24/1967,0.211
10/25/1967,0.598
10/26/1967,0.648
10/27/1967,0.269
10/28/1967,0.259
10/29/1967,0.090
10/30/1967,0.002
10/31/1967,0.093
11/1/1967,0.071
11/2/1967,0.002
11/3/1967,0.064
11/4/1967,0.011
11/5/1967,0.212
11/6/1967,0.043
11/7/1967,0.046
11/8/1967,0.073
11/9/1967,0.543
11/10/1967,0.058
11/11/1967,0.023
11/12/1967,0.108
11/13/1967,0.015
11/14/1967,0.004
11/15/1967,0.848
11/16/1967,0.038
11/17/1967,1.281
11/18/1967,0.146
11/19/1967,0.007
11/20/1967,0.071
11/21/1967,0.017
11/22/1967,0.516
11/23/1967,0.172
11/24/1967,0.559
11/25/1967,0.063
11/26/1967,0.204
11/27/1967,0.103
11/28/1967,0.047
11/29/1967,0.919
11/30/1967,0.042
12/1/1967,0.005
12/2/1967,0.010
12/3/1967,0.030
12/4/1967,0.562
12/5/1967,0.281
12/6/1967,0.721
12/7/1967,0.431
12/8/1967,0.061
12/9/1967,0.079
12/10/1967,0.026
12/11/1967,0.022
12/12/1967,0.000
12/13/1967,0.030
12/14/1967,0.550
12/15/1967,0.042
12/16/1967,0.032
12/17/1967,0.196
12/18/1967,0.088
12/19/1967,0.020
12/20/1967,0.006
12/21/1967,0.000
12/22/1967,0.406
12/23/1967,0.040
12/24/1967,0.002
12/25/1967,0.019
12/26/1967,0.160
12/27/1967,10.745
12/28/1967,14.722
12/29/1967,23.528
12/30/1967,9.443
12/31/1967,0.566
1/1/1968,0.331
1/2/1968,0.410
1/3/1968,0.151
1/4/1968,0.058
1/5/1968,0.221
1/6/1968,0.096
1/7/1968,0.188
1/8/1968,0.500
1/9/1968,1.878
1/10/1968,0.357
1/11/1968,0.157
1/12/1968,0.176
1/13/1968,0.259
1/14/1968,0.276
1/15/1968,0.255
1/16/1968,1.336
1/17/1968,9.122
1/18/1968,1.450
1/19/1968,8.848
1/20/1968,7.947
1/21/1968,1.125
1/22/1968,17.836
1/23/1968,26.729
1/24/1968,2.985
1/25/1968,4.392
1/26/1968,14.970
1/27/1968,18.230
1/28/1968,2.613
1/29/1968,0.783
1/30/1968,0.827
1/31/1968,0.364
2/1/1968,0.811
2/2/1968,2.998
2/3/1968,0.268
2/4/1968,0.226
2/5/1968,0.798
2/6/1968,0.806
2/7/1968,1.037
2/8/1968,1.092
2/9/1968,5.326
2/10/1968,2.221
2/11/1968,1.052
2/12/1968,2.222
2/13/1968,1.641
2/14/1968,1.040
2/15/1968,1.784
2/16/1968,0.514
2/17/1968,0.051
2/18/1968,0.263
2/19/1968,0.141
2/20/1968,0.102
2/21/1968,0.115
2/22/1968,0.465
2/23/1968,0.505
2/24/1968,1.430
2/25/1968,0.751
2/26/1968,5.391
2/27/1968,7.836
2/28/1968,5.781
2/29/1968,1.699
3/1/1968,0.389
3/2/1968,0.747
3/3/1968,5.613
3/4/1968,3.032
3/5/1968,2.431
3/6/1968,3.130
3/7/1968,2.645
3/8/1968,2.648
3/9/1968,8.466
3/10/1968,2.400
3/11/1968,5.527
3/12/1968,3.785
3/13/1968,3.126
3/14/1968,5.020
3/15/1968,4.009
3/16/1968,4.895
3/17/1968,3.118
3/18/1968,2.356
3/19/1968,8.103
3/20/1968,20.032
3/21/1968,13.490
3/22/1968,11.674
3/23/1968,8.521
3/24/1968,3.173
3/25/1968,11.982
3/26/1968,5.908
3/27/1968,1.816
3/28/1968,0.528
3/29/1968,0.329
3/30/1968,0.303
3/31/1968,0.137
4/1/1968,3.393
4/2/1968,2.280
4/3/1968,0.523
4/4/1968,0.760
4/5/1968,0.503
4/6/1968,3.976
4/7/1968,0.496
4/8/1968,0.232
4/9/1968,0.267
4/10/1968,0.226
4/11/1968,1.115
4/12/1968,4.412
4/13/1968,4.399
4/14/1968,0.844
4/15/1968,0.079
4/16/1968,0.097
4/17/1968,0.689
4/18/1968,1.941
4/19/1968,3.114
4/20/1968,1.080
4/21/1968,0.613
4/22/1968,0.275
4/23/1968,2.824
4/24/1968,2.834
4/25/1968,1.390
4/26/1968,8.064
4/27/1968,10.405
4/28/1968,12.622
4/29/1968,9.972
4/30/1968,5.797
5/1/1968,4.702
5/2/1968,3.061
5/3/1968,2.435
5/4/1968,7.119
5/5/1968,3.511
5/6/1968,4.317
5/7/1968,6.872
5/8/1968,4.145
5/9/1968,2.895
5/10/1968,1.234
5/11/1968,0.788
5/12/1968,1.873
5/13/1968,5.032
5/14/1968,5.460
5/15/1968,4.028
5/16/1968,8.237
5/17/1968,13.905
5/18/1968,6.064
5/19/1968,3.770
5/20/1968,4.840
5/21/1968,1.346
5/22/1968,1.934
5/23/1968,2.517
5/24/1968,2.401
5/25/1968,2.986
5/26/1968,3.654
5/27/1968,2.804
5/28/1968,3.454
5/29/1968,2.473
5/30/1968,1.446
5/31/1968,4.313
6/1/1968,4.108
6/2/1968,2.158
6/3/1968,1.496
6/4/1968,1.201
6/5/1968,1.338
6/6/1968,0.541
6/7/1968,1.333
6/8/1968,2.517
6/9/1968,0.608
6/10/1968,1.218
6/11/1968,0.624
6/12/1968,3.182
6/13/1968,2.299
6/14/1968,1.002
6/15/1968,1.393
6/16/1968,2.111
6/17/1968,8.908
6/18/1968,7.966
6/19/1968,0.331
6/20/1968,1.025
6/21/1968,1.886
6/22/1968,1.597
6/23/1968,1.386
6/24/1968,1.962
6/25/1968,0.667
6/26/1968,0.708
6/27/1968,1.139
6/28/1968,2.026
6/29/1968,6.404
6/30/1968,2.966
7/1/1968,1.796
7/2/1968,2.152
7/3/1968,0.801
7/4/1968,1.794
7/5/1968,11.494
7/6/1968,11.075
7/7/1968,2.601
7/8/1968,4.793
7/9/1968,2.915
7/10/1968,1.735
7/11/1968,2.862
7/12/1968,11.378
7/13/1968,13.874
7/14/1968,3.276
7/15/1968,3.142
7/16/1968,5.059
7/17/1968,4.233
7/18/1968,10.086
7/19/1968,7.140
7/20/1968,6.430
7/21/1968,4.882
7/22/1968,3.394
7/23/1968,1.189
7/24/1968,0.598
7/25/1968,1.581
7/26/1968,0.405
7/27/1968,0.727
7/28/1968,1.552
7/29/1968,2.639
7/30/1968,3.062
7/31/1968,1.313
8/1/1968,5.543
8/2/1968,2.967
8/3/1968,0.984
8/4/1968,0.469
8/5/1968,0.918
8/6/1968,0.336
8/7/1968,1.420
8/8/1968,0.754
8/9/1968,0.715
8/10/1968,0.446
8/11/1968,0.355
8/12/1968,0.377
8/13/1968,0.396
8/14/1968,0.349
8/15/1968,1.257
8/16/1968,2.115
8/17/1968,4.900
8/18/1968,0.851
8/19/1968,0.542
8/20/1968,1.625
8/21/1968,1.315
8/22/1968,0.489
8/23/1968,0.503
8/24/1968,2.581
8/25/1968,3.280
8/26/1968,9.346
8/27/1968,5.874
8/28/1968,0.735
8/29/1968,0.290
8/30/1968,0.240
8/31/1968,0.003
9/1/1968,0.123
9/2/1968,0.008
9/3/1968,0.155
9/4/1968,0.274
9/5/1968,0.137
9/6/1968,0.217
9/7/1968,1.280
9/8/1968,0.704
9/9/1968,3.469
9/10/1968,1.847
9/11/1968,3.129
9/12/1968,1.448
9/13/1968,0.548
9/14/1968,0.372
9/15/1968,0.176
9/16/1968,0.075
9/17/1968,0.418
9/18/1968,0.376
9/19/1968,0.157
9/20/1968,0.399
9/21/1968,0.070
9/22/1968,0.399
9/23/1968,0.588
9/24/1968,1.202
9/25/1968,2.138
9/26/1968,3.297
9/27/1968,0.119
9/28/1968,0.251
9/29/1968,0.577
9/30/1968,0.560
10/1/1968,0.022
10/2/1968,0.095
10/3/1968,0.020
10/4/1968,0.016
10/5/1968,0.054
10/6/1968,0.163
10/7/1968,0.013
10/8/1968,0.025
10/9/1968,0.024
10/10/1968,0.075
10/11/1968,0.031
10/12/1968,0.013
10/13/1968,0.018
10/14/1968,0.019
10/15/1968,0.001
10/16/1968,0.394
10/17/1968,0.061
10/18/1968,0.105
10/19/1968,0.072
10/20/1968,0.007
10/21/1968,0.050
10/22/1968,0.072
10/23/1968,0.161
10/24/1968,0.163
10/25/1968,0.397
10/26/1968,0.425
10/27/1968,2.662
10/28/1968,3.949
10/29/1968,1.287
10/30/1968,1.671
10/31/1968,0.091
11/1/1968,0.044
11/2/1968,0.097
11/3/1968,0.137
11/4/1968,0.124
11/5/1968,0.109
11/6/1968,0.251
11/7/1968,0.063
11/8/1968,0.238
11/9/1968,0.067
11/10/1968,0.000
11/11/1968,0.082
11/12/1968,0.429
11/13/1968,0.094
11/14/1968,0.637
11/15/1968,1.180
11/16/1968,0.963
11/17/1968,0.602
11/18/1968,0.501
11/19/1968,0.257
11/20/1968,0.103
11/21/1968,0.177
11/22/1968,0.120
11/23/1968,0.165
11/24/1968,0.073
11/25/1968,0.141
11/26/1968,0.138
11/27/1968,0.124
11/28/1968,0.246
11/29/1968,0.341
11/30/1968,0.018
12/1/1968,0.108
12/2/1968,0.037
12/3/1968,0.393
12/4/1968,0.306
12/5/1968,0.114
12/6/1968,0.112
12/7/1968,0.144
12/8/1968,0.081
12/9/1968,0.136
12/10/1968,0.020
12/11/1968,0.435
12/12/1968,2.637
12/13/1968,0.658
12/14/1968,0.407
12/15/1968,0.810
12/16/1968,1.503
12/17/1968,0.330
12/18/1968,0.508
12/19/1968,1.501
12/20/1968,0.024
12/21/1968,0.372
12/22/1968,0.337
12/23/1968,0.577
12/24/1968,1.132
12/25/1968,6.873
12/26/1968,6.341
12/27/1968,4.065
12/28/1968,0.501
12/29/1968,0.476
12/30/1968,1.423
12/31/1968,0.433
1/1/1969,2.190
1/2/1969,2.796
1/3/1969,0.138
1/4/1969,0.063
1/5/1969,0.083
1/6/1969,0.227
1/7/1969,0.084
1/8/1969,1.647
1/9/1969,0.639
1/10/1969,0.178
1/11/1969,0.004
1/12/1969,0.881
1/13/1969,0.931
1/14/1969,1.546
1/15/1969,3.497
1/16/1969,1.205
1/17/1969,0.967
1/18/1969,0.290
1/19/1969,0.889
1/20/1969,0.399
1/21/1969,3.296
1/22/1969,6.645
1/23/1969,9.389
1/24/1969,7.556
1/25/1969,1.039
1/26/1969,0.363
1/27/1969,2.047
1/28/1969,3.018
1/29/1969,1.104
1/30/1969,0.265
1/31/1969,0.474
2/1/1969,0.186
2/2/1969,0.147
2/3/1969,0.015
2/4/1969,0.180
2/5/1969,0.004
2/6/1969,0.142
2/7/1969,0.000
2/8/1969,0.792
2/9/1969,0.083
2/10/1969,3.102
2/11/1969,1.597
2/12/1969,0.118
2/13/1969,0.320
2/14/1969,0.319
2/15/1969,0.420
2/16/1969,0.099
2/17/1969,0.461
2/18/1969,0.125
2/19/1969,0.116
2/20/1969,0.032
2/21/1969,0.763
2/22/1969,6.787
2/23/1969,5.932
2/24/1969,6.627
2/25/1969,1.848
2/26/1969,1.144
2/27/1969,1.151
2/28/1969,0.868
3/1/1969,1.312
3/2/1969,1.075
3/3/1969,3.489
3/4/1969,1.480
3/5/1969,0.962
3/6/1969,0.612
3/7/1969,0.410
3/8/1969,0.098
3/9/1969,0.198
3/10/1969,0.681
3/11/1969,1.689
3/12/1969,0.632
3/13/1969,2.762
3/14/1969,21.230
3/15/1969,9.793
3/16/1969,7.148
3/17/1969,6.310
3/18/1969,0.752
3/19/1969,3.178
3/20/1969,2.494
3/21/1969,0.200
3/22/1969,3.810
3/23/1969,6.691
3/24/1969,4.155
3/25/1969,6.153
3/26/1969,1.099
3/27/1969,0.563
3/28/1969,0.819
3/29/1969,2.607
3/30/1969,6.183
3/31/1969,2.302
4/1/1969,8.465
4/2/1969,6.655
4/3/1969,6.201
4/4/1969,8.335
4/5/1969,1.422
4/6/1969,7.308
4/7/1969,2.825
4/8/1969,1.184
4/9/1969,2.691
4/10/1969,2.599
4/11/1969,0.336
4/12/1969,0.074
4/13/1969,0.242
4/14/1969,0.465
4/15/1969,0.583
4/16/1969,1.088
4/17/1969,1.783
4/18/1969,0.963
4/19/1969,1.825
4/20/1969,2.890
4/21/1969,13.889
4/22/1969,3.080
4/23/1969,0.234
4/24/1969,0.232
4/25/1969,0.484
4/26/1969,0.167
4/27/1969,0.496
4/28/1969,1.075
4/29/1969,0.749
4/30/1969,0.292
5/1/1969,0.743
5/2/1969,7.286
5/3/1969,28.023
5/4/1969,8.830
5/5/1969,5.172
5/6/1969,3.704
5/7/1969,1.216
5/8/1969,1.805
5/9/1969,0.744
5/10/1969,4.253
5/11/1969,11.487
5/12/1969,15.923
5/13/1969,2.313
5/14/1969,0.548
5/15/1969,0.695
5/16/1969,8.027
5/17/1969,1.254
5/18/1969,3.933
5/19/1969,8.593
5/20/1969,29.827
5/21/1969,12.474
5/22/1969,5.118
5/23/1969,10.391
5/24/1969,22.425
5/25/1969,37.370
5/26/1969,3.740
5/27/1969,5.270
5/28/1969,6.371
5/29/1969,2.970
5/30/1969,7.308
5/31/1969,11.343
6/1/1969,3.556
6/2/1969,4.387
6/3/1969,3.168
6/4/1969,0.840
6/5/1969,1.687
6/6/1969,1.126
6/7/1969,3.144
6/8/1969,11.027
6/9/1969,7.619
6/10/1969,6.053
6/11/1969,11.838
6/12/1969,20.516
6/13/1969,15.687
6/14/1969,36.853
6/15/1969,13.202
6/16/1969,6.057
6/17/1969,5.287
6/18/1969,5.859
6/19/1969,7.543
6/20/1969,19.583
6/21/1969,2.778
6/22/1969,1.894
6/23/1969,4.299
6/24/1969,10.535
6/25/1969,10.955
6/26/1969,3.165
6/27/1969,9.056
6/28/1969,4.159
6/29/1969,6.389
6/30/1969,6.940
7/1/1969,13.653
7/2/1969,15.457
7/3/1969,32.802
7/4/1969,9.641
7/5/1969,11.684
7/6/1969,7.424
7/7/1969,5.728
7/8/1969,6.858
7/9/1969,9.465
7/10/1969,4.000
7/11/1969,1.910
7/12/1969,10.452
7/13/1969,23.592
7/14/1969,8.817
7/15/1969,8.912
7/16/1969,1.592
7/17/1969,0.783
7/18/1969,2.306
7/19/1969,29.578
7/20/1969,24.358
7/21/1969,2.403
7/22/1969,6.196
7/23/1969,2.973
7/24/1969,3.367
7/25/1969,6.586
7/26/1969,4.132
7/27/1969,2.225
7/28/1969,7.942
7/29/1969,3.219
7/30/1969,0.443
7/31/1969,1.716
8/1/1969,3.034
8/2/1969,0.324
8/3/1969,1.031
8/4/1969,6.227
8/5/1969,8.432
8/6/1969,10.630
8/7/1969,6.089
8/8/1969,2.050
8/9/1969,1.248
8/10/1969,0.895
8/11/1969,1.709
8/12/1969,5.620
8/13/1969,7.994
8/14/1969,1.245
8/15/1969,4.086
8/16/1969,1.091
8/17/1969,0.502
8/18/1969,0.024
8/19/1969,0.007
8/20/1969,0.345
8/21/1969,0.327
8/22/1969,0.486
8/23/1969,5.534
8/24/1969,0.149
8/25/1969,0.293
8/26/1969,0.161
8/27/1969,0.061
8/28/1969,0.068
8/29/1969,0.121
8/30/1969,0.073
8/31/1969,0.064
9/1/1969,0.357
9/2/1969,1.021
9/3/1969,1.158
9/4/1969,3.150
9/5/1969,0.827
9/6/1969,1.917
9/7/1969,1.660
9/8/1969,1.673
9/9/1969,0.316
9/10/1969,0.388
9/11/1969,0.115
9/12/1969,0.447
9/13/1969,0.255
9/14/1969,0.139
9/15/1969,0.485
9/16/1969,1.368
9/17/1969,0.206
9/18/1969,0.094
9/19/1969,0.256
9/20/1969,0.084
9/21/1969,0.118
9/22/1969,0.071
9/23/1969,1.862
9/24/1969,0.291
9/25/1969,0.196
9/26/1969,2.187
9/27/1969,2.240
9/28/1969,2.851
