,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,3/31/1973,0.376,0.115,3,4.631,0.115,0.000,4.516,0.000,0.000,141.000,141.626,0.276,140.724,136.092,5.534,0.000,0.000,0.000,0.626,136.092,140.098,0.000,0.000,0.000,5.534,14723.238,3057.260,19459.410,11665.978,8253.000,141.000,224.690,141.000,51.347,0.000,-29428.645
1,4/1/1973,0.400,0.163,4,4.235,0.163,0.000,4.072,0.000,0.000,140.098,6.157,0.247,139.850,0.731,5.425,0.000,0.000,0.000,0.623,0.731,139.228,0.000,0.000,0.000,5.425,,,,,,,,,,,
2,4/2/1973,0.331,0.560,4,4.235,0.560,0.000,3.675,0.000,0.000,139.228,6.044,0.222,139.006,0.709,5.335,0.000,0.000,0.000,0.619,0.709,138.387,0.000,0.000,0.000,5.335,,,,,,,,,,,
3,4/3/1973,0.448,1.842,4,4.235,1.842,0.000,2.393,0.000,0.000,138.387,5.950,0.144,138.244,0.691,5.259,0.000,0.000,0.000,0.615,0.691,137.628,0.000,0.000,0.000,5.259,,,,,,,,,,,
4,4/4/1973,0.400,1.654,4,4.235,1.654,0.000,2.581,0.000,0.000,137.628,5.871,0.154,137.474,0.676,5.195,0.000,0.000,0.000,0.612,0.676,136.862,0.000,0.000,0.000,5.195,,,,,,,,,,,
5,4/5/1973,3.280,15.046,4,4.235,4.235,10.811,0.000,0.000,3.699,136.862,9.504,0.000,136.862,1.508,7.996,0.000,7.112,7.112,0.609,1.508,143.365,0.000,0.000,0.000,7.996,,,,,,,,,,,
6,4/6/1973,1.463,1.039,4,4.235,1.039,0.000,3.196,0.000,0.000,143.365,8.633,0.198,143.166,1.285,7.348,0.000,0.000,0.000,0.637,1.285,142.529,0.000,0.000,0.000,7.348,,,,,,,,,,,
7,4/7/1973,0.914,0.901,4,4.235,0.901,0.000,3.334,0.000,0.000,142.529,7.982,0.206,142.323,1.127,6.854,0.000,0.000,0.000,0.634,1.127,141.690,0.000,0.000,0.000,6.854,,,,,,,,,,,
8,4/8/1973,0.849,7.364,4,4.235,4.235,3.129,0.000,0.000,1.108,141.690,8.593,0.000,141.690,1.275,7.318,0.000,2.021,2.021,0.631,1.275,143.079,0.000,0.000,0.000,7.318,,,,,,,,,,,
9,4/9/1973,1.121,6.531,4,4.235,4.235,2.296,0.000,0.000,0.821,143.079,8.776,0.000,143.079,1.321,7.456,0.000,1.475,1.475,0.637,1.321,143.917,0.000,0.000,0.000,7.456,,,,,,,,,,,
10,4/10/1973,1.711,7.030,4,4.235,4.235,2.795,0.000,0.000,1.006,143.917,9.102,0.000,143.917,1.403,7.699,0.000,1.789,1.789,0.641,1.403,145.066,0.000,0.000,0.000,7.699,,,,,,,,,,,
11,4/11/1973,0.785,0.696,4,4.235,0.696,0.000,3.539,0.000,0.000,145.066,8.343,0.222,144.844,1.214,7.130,0.000,0.000,0.000,0.645,1.214,144.199,0.000,0.000,0.000,7.130,,,,,,,,,,,
12,4/12/1973,0.607,0.020,4,4.235,0.020,0.000,4.215,0.000,0.000,144.199,7.770,0.263,143.936,1.078,6.692,0.000,0.000,0.000,0.641,1.078,143.295,0.000,0.000,0.000,6.692,,,,,,,,,,,
13,4/13/1973,0.552,1.285,4,4.235,1.285,0.000,2.950,0.000,0.000,143.295,7.329,0.183,143.112,0.978,6.351,0.000,0.000,0.000,0.637,0.978,142.475,0.000,0.000,0.000,6.351,,,,,,,,,,,
14,4/14/1973,0.499,1.720,4,4.235,1.720,0.000,2.515,0.000,0.000,142.475,6.985,0.155,142.320,0.903,6.082,0.000,0.000,0.000,0.634,0.903,141.686,0.000,0.000,0.000,6.082,,,,,,,,,,,
15,4/15/1973,0.499,1.439,4,4.235,1.439,0.000,2.796,0.000,0.000,141.686,6.712,0.172,141.514,0.845,5.867,0.000,0.000,0.000,0.630,0.845,140.884,0.000,0.000,0.000,5.867,,,,,,,,,,,
