data,vazao
2/1/1973,0.89
2/2/1973,0.89
2/3/1973,0.89
2/4/1973,0.89
2/5/1973,0.89
2/6/1973,0.89
2/7/1973,0.89
2/8/1973,0.89
2/9/1973,0.80
2/10/1973,0.80
2/11/1973,0.71
2/12/1973,0.71
2/13/1973,0.71
2/14/1973,0.71
2/15/1973,0.71
2/16/1973,0.71
2/17/1973,0.71
2/18/1973,0.71
2/19/1973,0.80
2/20/1973,0.71
2/21/1973,0.71
2/22/1973,0.71
2/23/1973,0.71
2/24/1973,0.71
2/25/1973,0.71
2/26/1973,1.42
2/27/1973,1.42
2/28/1973,1.42
3/1/1973,1.19
3/2/1973,0.89
3/3/1973,0.89
3/4/1973,0.80
3/5/1973,0.80
3/6/1973,0.80
3/7/1973,0.80
3/8/1973,0.80
3/9/1973,0.89
3/10/1973,0.89
3/11/1973,0.89
3/12/1973,0.89
3/13/1973,0.89
3/14/1973,8.27
3/15/1973,6.90
3/16/1973,39.06
3/17/1973,22.67
3/18/1973,12.39
3/19/1973,8.27
3/20/1973,6.39
3/21/1973,5.90
3/22/1973,3.93
3/23/1973,4.34
3/24/1973,4.54
3/25/1973,4.98
3/26/1973,6.14
3/27/1973,4.98
3/28/1973,3.74
3/29/1973,2.52
3/30/1973,2.07
3/31/1973,2.84
4/1/1973,3.18
4/2/1973,3.74
4/3/1973,3.18
4/4/1973,2.68
4/5/1973,2.36
4/6/1973,2.21
4/7/1973,1.93
4/8/1973,1.54
4/9/1973,1.54
4/10/1973,2.36
4/11/1973,1.93
4/12/1973,1.66
4/13/1973,1.54
4/14/1973,75.36
4/15/1973,28.16
4/16/1973,18.19
4/17/1973,5.90
4/18/1973,4.98
4/19/1973,5.20
4/20/1973,3.74
4/21/1973,4.98
4/22/1973,7.99
4/23/1973,9.76
4/24/1973,4.76
4/25/1973,3.18
4/26/1973,73.65
4/27/1973,52.45
4/28/1973,44.17
4/29/1973,47.53
4/30/1973,44.17
5/1/1973,65.38
5/2/1973,39.06
5/3/1973,16.13
5/4/1973,8.56
5/5/1973,6.39
5/6/1973,4.98
5/7/1973,4.98
5/8/1973,3.18
5/9/1973,2.84
5/10/1973,3.55
5/11/1973,3.36
5/12/1973,2.52
5/13/1973,1.93
5/14/1973,2.07
5/15/1973,2.07
5/16/1973,1.79
5/17/1973,1.66
5/18/1973,1.30
5/19/1973,1.30
5/20/1973,1.08
