data,chuva_media
2/1/1973,0.005
2/2/1973,0.000
2/3/1973,0.146
2/4/1973,0.073
2/5/1973,0.006
2/6/1973,0.016
2/7/1973,0.370
2/8/1973,0.123
2/9/1973,0.397
2/10/1973,0.841
2/11/1973,0.093
2/12/1973,0.164
2/13/1973,0.039
2/14/1973,0.034
2/15/1973,0.004
2/16/1973,0.018
2/17/1973,0.298
2/18/1973,0.079
2/19/1973,0.531
2/20/1973,1.337
2/21/1973,0.669
2/22/1973,0.145
2/23/1973,0.977
2/24/1973,3.238
2/25/1973,6.891
2/26/1973,8.135
2/27/1973,0.400
2/28/1973,0.254
3/1/1973,0.407
3/2/1973,1.150
3/3/1973,2.672
3/4/1973,1.466
3/5/1973,0.980
3/6/1973,1.263
3/7/1973,3.230
3/8/1973,0.361
3/9/1973,3.665
3/10/1973,2.407
3/11/1973,4.579
3/12/1973,2.945
3/13/1973,1.599
3/14/1973,1.846
3/15/1973,5.959
3/16/1973,6.884
3/17/1973,3.919
3/18/1973,0.160
3/19/1973,1.294
3/20/1973,0.490
3/21/1973,2.122
3/22/1973,9.689
3/23/1973,9.128
3/24/1973,5.920
3/25/1973,0.436
3/26/1973,1.259
3/27/1973,1.724
3/28/1973,2.885
3/29/1973,1.221
3/30/1973,0.408
3/31/1973,0.556
4/1/1973,0.312
4/2/1973,0.236
4/3/1973,0.756
4/4/1973,0.575
4/5/1973,3.853
4/6/1973,4.040
4/7/1973,1.591
4/8/1973,0.905
4/9/1973,5.434
4/10/1973,2.094
4/11/1973,0.796
4/12/1973,0.223
4/13/1973,5.592
4/14/1973,16.178
4/15/1973,8.323
4/16/1973,7.240
4/17/1973,1.549
4/18/1973,2.839
4/19/1973,3.560
4/20/1973,2.589
4/21/1973,13.642
4/22/1973,17.520
4/23/1973,2.521
4/24/1973,2.317
4/25/1973,4.879
4/26/1973,16.295
4/27/1973,9.825
4/28/1973,13.490
4/29/1973,11.767
4/30/1973,6.589
5/1/1973,5.429
5/2/1973,3.464
5/3/1973,0.974
5/4/1973,2.601
5/5/1973,0.579
5/6/1973,1.183
5/7/1973,1.198
5/8/1973,1.653
5/9/1973,1.133
5/10/1973,5.192
5/11/1973,1.795
