,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,2/1/1973,0.890,0.005,2,4.876,0.005,0.000,4.871,0.000,0.000,141.000,141.043,1.361,139.639,79.007,62.035,749.332,0.000,0.000,0.043,64.861,139.597,0.000,0.000,0.000,62.035,6184.787,427.172,12925.344,5757.616,5552.571,141.000,23.074,141.000,0.816,536.442,-2105.649
1,2/2/1973,0.890,0.000,2,4.876,0.000,0.000,4.876,0.000,0.000,139.597,62.077,1.351,138.246,20.121,41.957,190.830,0.000,0.000,0.042,16.518,138.204,0.000,0.000,0.000,41.957,,,,,,,,,,,
2,2/3/1973,0.890,0.146,2,4.876,0.146,0.000,4.730,0.000,0.000,138.204,41.999,1.299,136.905,10.491,31.508,99.498,0.000,0.000,0.042,8.612,136.863,0.000,0.000,0.000,31.508,,,,,,,,,,,
3,2/4/1973,0.890,0.073,2,4.876,0.073,0.000,4.803,0.000,0.000,136.863,31.549,1.308,135.555,6.512,25.037,61.764,0.000,0.000,0.041,5.346,135.513,0.000,0.000,0.000,25.037,,,,,,,,,,,
4,2/5/1973,0.890,0.006,2,4.876,0.006,0.000,4.870,0.000,0.000,135.513,25.078,1.315,134.198,4.442,20.636,42.128,0.000,0.000,0.041,3.647,134.157,0.000,0.000,0.000,20.636,,,,,,,,,,,
5,2/6/1973,0.890,0.016,2,4.876,0.016,0.000,4.860,0.000,0.000,134.157,20.676,1.302,132.856,3.220,17.456,30.541,0.000,0.000,0.040,2.644,132.815,0.000,0.000,0.000,17.456,,,,,,,,,,,
6,2/7/1973,0.890,0.370,2,4.876,0.370,0.000,4.506,0.000,0.000,132.815,17.496,1.196,131.619,2.438,15.059,23.121,0.000,0.000,0.040,2.001,131.579,0.000,0.000,0.000,15.059,,,,,,,,,,,
7,2/8/1973,0.890,0.123,2,4.876,0.123,0.000,4.753,0.000,0.000,131.579,15.098,1.252,130.327,1.907,13.191,18.084,0.000,0.000,0.040,1.565,130.287,0.000,0.000,0.000,13.191,,,,,,,,,,,
8,2/9/1973,0.800,0.397,2,4.876,0.397,0.000,4.479,0.000,0.000,130.287,13.231,1.170,129.117,1.530,11.701,14.512,0.000,0.000,0.039,1.256,129.078,0.000,0.000,0.000,11.701,,,,,,,,,,,
9,2/10/1973,0.800,0.841,2,4.876,0.841,0.000,4.035,0.000,0.000,129.078,11.740,1.046,128.032,1.254,10.486,11.890,0.000,0.000,0.039,1.029,127.993,0.000,0.000,0.000,10.486,,,,,,,,,,,
10,2/11/1973,0.710,0.093,2,4.876,0.093,0.000,4.783,0.000,0.000,127.993,10.525,1.230,126.763,1.045,9.480,9.911,0.000,0.000,0.039,0.858,126.724,0.000,0.000,0.000,9.480,,,,,,,,,,,
11,2/12/1973,0.710,0.164,2,4.876,0.164,0.000,4.712,0.000,0.000,126.724,9.518,1.202,125.522,0.884,8.634,8.382,0.000,0.000,0.038,0.725,125.484,0.000,0.000,0.000,8.634,,,,,,,,,,,
12,2/13/1973,0.710,0.039,2,4.876,0.039,0.000,4.837,0.000,0.000,125.484,8.672,1.223,124.261,0.757,7.915,7.177,0.000,0.000,0.038,0.621,124.223,0.000,0.000,0.000,7.915,,,,,,,,,,,
13,2/14/1973,0.710,0.034,2,4.876,0.034,0.000,4.842,0.000,0.000,124.223,7.953,1.214,123.009,0.655,7.298,6.213,0.000,0.000,0.037,0.538,122.971,0.000,0.000,0.000,7.298,,,,,,,,,,,
14,2/15/1973,0.710,0.004,2,4.876,0.004,0.000,4.872,0.000,0.000,122.971,7.335,1.211,121.761,0.572,6.762,5.429,0.000,0.000,0.037,0.470,121.724,0.000,0.000,0.000,6.762,,,,,,,,,,,
15,2/16/1973,0.710,0.018,2,4.876,0.018,0.000,4.858,0.000,0.000,121.724,6.799,1.197,120.527,0.504,6.295,4.785,0.000,0.000,0.037,0.414,120.490,0.000,0.000,0.000,6.295,,,,,,,,,,,
16,2/17/1973,0.710,0.298,2,4.876,0.298,0.000,4.578,0.000,0.000,120.490,6.331,1.118,119.372,0.448,5.883,4.248,0.000,0.000,0.036,0.368,119.336,0.000,0.000,0.000,5.883,,,,,,,,,,,
17,2/18/1973,0.710,0.079,2,4.876,0.079,0.000,4.797,0.000,0.000,119.336,5.919,1.162,118.174,0.400,5.519,3.798,0.000,0.000,0.036,0.329,118.138,0.000,0.000,0.000,5.519,,,,,,,,,,,
18,2/19/1973,0.800,0.531,2,4.876,0.531,0.000,4.345,0.000,0.000,118.138,5.554,1.043,117.095,0.360,5.194,3.416,0.000,0.000,0.036,0.296,117.060,0.000,0.000,0.000,5.194,,,,,,,,,,,
19,2/20/1973,0.710,1.337,2,4.876,1.337,0.000,3.539,0.000,0.000,117.060,5.230,0.843,116.217,0.326,4.904,3.089,0.000,0.000,0.035,0.267,116.181,0.000,0.000,0.000,4.904,,,,,,,,,,,
20,2/21/1973,0.710,0.669,2,4.876,0.669,0.000,4.207,0.000,0.000,116.181,4.939,0.995,115.186,0.296,4.643,2.809,0.000,0.000,0.035,0.243,115.151,0.000,0.000,0.000,4.643,,,,,,,,,,,
21,2/22/1973,0.710,0.145,2,4.876,0.145,0.000,4.731,0.000,0.000,115.151,4.678,1.111,114.040,0.270,4.407,2.565,0.000,0.000,0.035,0.222,114.006,0.000,0.000,0.000,4.407,,,,,,,,,,,
22,2/23/1973,0.710,0.977,2,4.876,0.977,0.000,3.899,0.000,0.000,114.006,4.442,0.907,113.098,0.248,4.193,2.353,0.000,0.000,0.034,0.204,113.064,0.000,0.000,0.000,4.193,,,,,,,,,,,
23,2/24/1973,0.710,3.238,2,4.876,3.238,0.000,1.638,0.000,0.000,113.064,4.228,0.378,112.685,0.229,3.999,2.167,0.000,0.000,0.034,0.188,112.651,0.000,0.000,0.000,3.999,,,,,,,,,,,
24,2/25/1973,0.710,6.891,2,4.876,4.876,2.015,0.000,0.000,0.567,112.651,4.601,0.000,112.651,0.263,4.338,2.496,1.448,1.448,0.034,0.216,114.064,0.000,0.000,0.000,4.338,,,,,,,,,,,
25,2/26/1973,1.420,8.135,2,4.876,4.876,3.259,0.000,0.000,0.929,114.064,5.302,0.000,114.064,0.333,4.969,3.161,2.330,2.330,0.035,0.274,116.359,0.000,0.000,0.000,4.969,,,,,,,,,,,
26,2/27/1973,1.420,0.400,2,4.876,0.400,0.000,4.476,0.000,0.000,116.359,5.004,1.060,115.299,0.303,4.701,2.870,0.000,0.000,0.035,0.248,115.264,0.000,0.000,0.000,4.701,,,,,,,,,,,
27,2/28/1973,1.420,0.254,2,4.876,0.254,0.000,4.622,0.000,0.000,115.264,4.736,1.086,114.178,0.276,4.460,2.619,0.000,0.000,0.035,0.227,114.143,0.000,0.000,0.000,4.460,,,,,,,,,,,
28,3/1/1973,1.190,0.407,3,4.587,0.407,0.000,4.180,0.000,0.000,114.143,4.494,0.974,113.169,0.253,4.241,2.400,0.000,0.000,0.034,0.208,113.135,0.000,0.000,0.000,4.241,,,,,,,,,,,
