data,vazao
8/1/1966,0.000
8/2/1966,0.000
8/3/1966,0.000
8/4/1966,0.000
8/5/1966,0.000
8/6/1966,0.000
8/7/1966,0.000
8/8/1966,0.000
8/9/1966,0.000
8/10/1966,0.000
8/11/1966,25.567
8/12/1966,23.879
8/13/1966,22.778
8/14/1966,22.235
8/15/1966,19.012
8/16/1966,16.930
8/17/1966,16.433
8/18/1966,15.946
8/19/1966,14.539
8/20/1966,12.790
8/21/1966,11.969
8/22/1966,10.801
8/23/1966,10.064
8/24/1966,9.360
8/25/1966,9.020
8/26/1966,8.048
8/27/1966,8.364
8/28/1966,7.740
8/29/1966,7.439
8/30/1966,6.860
8/31/1966,6.582
9/1/1966,8.688
9/2/1966,9.360
9/3/1966,10.064
9/4/1966,9.708
9/5/1966,9.020
9/6/1966,13.647
9/7/1966,17.436
9/8/1966,11.969
9/9/1966,9.360
9/10/1966,8.364
9/11/1966,7.439
9/12/1966,8.048
9/13/1966,7.146
9/14/1966,6.582
9/15/1966,6.047
9/16/1966,6.047
9/17/1966,5.297
9/18/1966,5.062
9/19/1966,4.610
9/20/1966,4.185
9/21/1966,4.833
9/22/1966,4.185
9/23/1966,3.786
9/24/1966,3.596
9/25/1966,3.413
9/26/1966,3.596
9/27/1966,3.786
9/28/1966,3.786
9/29/1966,4.185
9/30/1966,4.610
10/1/1966,4.185
10/2/1966,3.786
10/3/1966,3.413
10/4/1966,3.063
10/5/1966,3.063
10/6/1966,2.737
10/7/1966,2.434
10/8/1966,2.583
10/9/1966,2.434
10/10/1966,2.291
10/11/1966,2.022
10/12/1966,2.583
10/13/1966,2.434
10/14/1966,2.154
10/15/1966,1.773
10/16/1966,1.545
10/17/1966,1.656
10/18/1966,1.656
10/19/1966,1.545
10/20/1966,1.438
10/21/1966,1.336
10/22/1966,1.147
10/23/1966,0.975
10/24/1966,1.059
10/25/1966,0.683
10/26/1966,0.896
10/27/1966,0.821
10/28/1966,0.821
10/29/1966,0.896
10/30/1966,0.750
10/31/1966,0.821
11/1/1966,0.821
11/2/1966,0.821
11/3/1966,0.750
11/4/1966,0.896
11/5/1966,1.438
11/6/1966,1.336
11/7/1966,0.975
11/8/1966,0.896
11/9/1966,0.896
11/10/1966,1.059
11/11/1966,0.896
11/12/1966,0.750
11/13/1966,0.750
11/14/1966,0.821
11/15/1966,0.683
11/16/1966,0.821
11/17/1966,0.896
11/18/1966,0.896
11/19/1966,0.750
11/20/1966,1.059
11/21/1966,1.239
11/22/1966,1.239
11/23/1966,2.434
11/24/1966,2.022
11/25/1966,1.773
11/26/1966,2.737
11/27/1966,3.413
11/28/1966,2.291
11/29/1966,3.413
11/30/1966,5.540
12/1/1966,3.063
12/2/1966,2.737
12/3/1966,2.154
12/4/1966,1.545
12/5/1966,1.656
12/6/1966,1.336
12/7/1966,0.975
12/8/1966,1.059
12/9/1966,0.975
12/10/1966,0.683
12/11/1966,0.750
12/12/1966,0.683
12/13/1966,0.683
12/14/1966,0.683
12/15/1966,0.683
12/16/1966,0.620
12/17/1966,0.561
12/18/1966,0.683
12/19/1966,0.506
12/20/1966,0.561
12/21/1966,0.896
12/22/1966,0.620
12/23/1966,0.683
12/24/1966,2.737
12/25/1966,2.154
12/26/1966,1.895
12/27/1966,1.239
12/28/1966,0.975
12/29/1966,0.975
12/30/1966,0.683
12/31/1966,0.506
1/1/1967,0.506
1/2/1967,0.506
1/3/1967,0.454
1/4/1967,0.406
1/5/1967,0.361
1/6/1967,0.281
1/7/1967,0.281
1/8/1967,0.281
1/9/1967,0.281
1/10/1967,0.281
1/11/1967,0.213
1/12/1967,0.213
1/13/1967,0.213
1/14/1967,0.213
1/15/1967,0.213
1/16/1967,0.213
1/17/1967,0.213
1/18/1967,0.213
1/19/1967,0.213
1/20/1967,0.184
1/21/1967,0.184
1/22/1967,0.157
1/23/1967,0.133
1/24/1967,0.133
1/25/1967,0.133
1/26/1967,0.157
1/27/1967,0.133
1/28/1967,0.133
1/29/1967,0.111
1/30/1967,0.111
1/31/1967,0.133
2/1/1967,0.111
2/2/1967,0.184
2/3/1967,1.059
2/4/1967,2.897
2/5/1967,1.438
2/6/1967,0.821
2/7/1967,0.454
2/8/1967,0.245
2/9/1967,0.361
2/10/1967,0.281
2/11/1967,0.454
2/12/1967,1.336
2/13/1967,0.896
2/14/1967,0.620
2/15/1967,0.454
2/16/1967,0.361
2/17/1967,0.361
2/18/1967,0.683
2/19/1967,0.896
2/20/1967,1.336
2/21/1967,0.750
2/22/1967,0.454
2/23/1967,0.406
2/24/1967,0.406
2/25/1967,0.361
2/26/1967,0.406
2/27/1967,0.454
2/28/1967,0.406
3/1/1967,0.319
3/2/1967,0.506
3/3/1967,0.406
3/4/1967,0.561
3/5/1967,0.561
3/6/1967,0.406
3/7/1967,0.406
3/8/1967,0.319
3/9/1967,0.281
3/10/1967,0.281
3/11/1967,0.245
3/12/1967,3.413
3/13/1967,2.434
3/14/1967,2.291
3/15/1967,1.336
3/16/1967,6.047
3/17/1967,26.716
3/18/1967,20.635
3/19/1967,24.437
3/20/1967,13.647
3/21/1967,7.439
3/22/1967,35.928
3/23/1967,21.163
3/24/1967,12.375
3/25/1967,32.744
3/26/1967,69.289
3/27/1967,51.216
3/28/1967,20.635
3/29/1967,10.801
3/30/1967,17.436
3/31/1967,29.072
4/1/1967,13.214
4/2/1967,14.999
4/3/1967,34.004
4/4/1967,54.969
4/5/1967,127.565
4/6/1967,195.833
4/7/1967,124.446
4/8/1967,76.909
4/9/1967,54.210
4/10/1967,39.894
4/11/1967,26.716
4/12/1967,25.000
4/13/1967,34.004
4/14/1967,24.437
4/15/1967,17.436
4/16/1967,14.999
4/17/1967,34.004
4/18/1967,37.233
4/19/1967,76.047
4/20/1967,136.025
4/21/1967,83.040
4/22/1967,69.289
4/23/1967,37.891
4/24/1967,22.778
4/25/1967,16.930
4/26/1967,12.790
4/27/1967,11.969
4/28/1967,14.088
4/29/1967,17.436
4/30/1967,12.790
5/1/1967,11.969
5/2/1967,19.557
5/3/1967,47.564
5/4/1967,17.952
5/5/1967,13.647
5/6/1967,19.557
5/7/1967,32.744
5/8/1967,54.210
5/9/1967,95.827
5/10/1967,77.774
5/11/1967,63.572
5/12/1967,51.959
5/13/1967,35.282
5/14/1967,38.555
5/15/1967,70.121
5/16/1967,30.278
5/17/1967,26.716
5/18/1967,21.163
5/19/1967,20.112
5/20/1967,14.999
5/21/1967,13.214
5/22/1967,11.969
5/23/1967,12.375
5/24/1967,9.360
5/25/1967,9.020
5/26/1967,9.360
5/27/1967,9.708
5/28/1967,7.146
5/29/1967,7.439
5/30/1967,6.582
5/31/1967,6.047
6/1/1967,10.428
6/2/1967,20.112
6/3/1967,14.088
6/4/1967,16.433
6/5/1967,8.688
6/6/1967,9.020
6/7/1967,41.251
6/8/1967,30.887
6/9/1967,17.436
6/10/1967,10.428
6/11/1967,7.439
6/12/1967,9.708
6/13/1967,7.740
6/14/1967,26.716
6/15/1967,11.969
6/16/1967,9.708
6/17/1967,8.688
6/18/1967,7.740
6/19/1967,6.310
6/20/1967,5.297
6/21/1967,5.062
6/22/1967,6.310
6/23/1967,5.790
6/24/1967,5.062
6/25/1967,4.833
6/26/1967,4.833
6/27/1967,5.062
6/28/1967,4.395
6/29/1967,4.395
6/30/1967,4.610
7/1/1967,16.930
7/2/1967,71.796
7/3/1967,36.578
7/4/1967,23.326
7/5/1967,39.894
7/6/1967,37.891
7/7/1967,22.778
7/8/1967,17.952
7/9/1967,15.468
7/10/1967,14.539
7/11/1967,25.567
7/12/1967,70.121
7/13/1967,46.846
7/14/1967,26.716
7/15/1967,16.930
7/16/1967,12.375
7/17/1967,10.064
7/18/1967,8.364
7/19/1967,7.740
7/20/1967,6.860
7/21/1967,6.582
7/22/1967,6.047
7/23/1967,5.790
7/24/1967,5.540
7/25/1967,5.297
7/26/1967,4.610
7/27/1967,4.833
7/28/1967,5.540
7/29/1967,8.688
7/30/1967,6.310
7/31/1967,6.860
8/1/1967,11.181
8/2/1967,12.375
8/3/1967,9.360
8/4/1967,7.740
8/5/1967,6.582
8/6/1967,6.582
8/7/1967,7.146
8/8/1967,6.047
8/9/1967,5.540
8/10/1967,5.540
8/11/1967,3.413
8/12/1967,4.395
8/13/1967,4.185
8/14/1967,4.185
8/15/1967,3.786
8/16/1967,3.413
8/17/1967,19.012
8/18/1967,6.860
8/19/1967,7.740
8/20/1967,20.635
8/21/1967,8.364
8/22/1967,6.860
8/23/1967,5.790
8/24/1967,4.395
8/25/1967,3.983
8/26/1967,3.596
8/27/1967,3.596
8/28/1967,3.413
8/29/1967,4.395
8/30/1967,3.983
8/31/1967,3.983
9/1/1967,4.395
9/2/1967,3.983
9/3/1967,3.786
9/4/1967,3.786
9/5/1967,3.413
9/6/1967,3.235
9/7/1967,3.063
9/8/1967,2.583
9/9/1967,2.291
9/10/1967,2.154
9/11/1967,2.022
9/12/1967,1.895
9/13/1967,1.895
9/14/1967,1.895
9/15/1967,1.773
9/16/1967,1.545
9/17/1967,1.438
9/18/1967,1.438
9/19/1967,1.545
9/20/1967,1.545
9/21/1967,1.545
9/22/1967,1.438
9/23/1967,1.336
9/24/1967,1.895
9/25/1967,1.545
9/26/1967,1.656
9/27/1967,1.545
9/28/1967,1.545
9/29/1967,1.545
9/30/1967,1.438
10/1/1967,1.656
10/2/1967,1.656
10/3/1967,1.545
10/4/1967,1.545
10/5/1967,1.773
10/6/1967,1.773
10/7/1967,2.291
10/8/1967,2.291
10/9/1967,2.154
10/10/1967,1.773
10/11/1967,1.773
10/12/1967,1.773
10/13/1967,1.656
10/14/1967,1.545
10/15/1967,1.545
10/16/1967,1.545
10/17/1967,1.773
10/18/1967,1.545
10/19/1967,1.438
10/20/1967,1.438
10/21/1967,1.239
10/22/1967,1.147
10/23/1967,1.059
10/24/1967,0.975
10/25/1967,0.975
10/26/1967,0.975
10/27/1967,0.975
10/28/1967,0.896
10/29/1967,0.975
10/30/1967,0.821
10/31/1967,0.620
11/1/1967,0.750
11/2/1967,0.683
11/3/1967,0.683
11/4/1967,0.620
11/5/1967,0.620
11/6/1967,0.506
