data,chuva_media
8/1/1966,2.905
8/2/1966,0.819
8/3/1966,0.449
8/4/1966,0.311
8/5/1966,1.267
8/6/1966,1.887
8/7/1966,0.742
8/8/1966,3.041
8/9/1966,1.593
8/10/1966,3.091
8/11/1966,4.978
8/12/1966,2.871
8/13/1966,0.877
8/14/1966,2.696
8/15/1966,1.382
8/16/1966,0.926
8/17/1966,1.901
8/18/1966,0.544
8/19/1966,0.124
8/20/1966,0.371
8/21/1966,0.559
8/22/1966,0.144
8/23/1966,0.304
8/24/1966,0.517
8/25/1966,1.444
8/26/1966,0.583
8/27/1966,0.452
8/28/1966,0.614
8/29/1966,0.579
8/30/1966,0.758
8/31/1966,1.571
9/1/1966,5.122
9/2/1966,5.160
9/3/1966,2.247
9/4/1966,1.754
9/5/1966,1.988
9/6/1966,3.592
9/7/1966,4.265
9/8/1966,1.013
9/9/1966,0.947
9/10/1966,1.566
9/11/1966,1.006
9/12/1966,1.696
9/13/1966,0.326
9/14/1966,0.337
9/15/1966,0.296
9/16/1966,0.548
9/17/1966,0.521
9/18/1966,0.072
9/19/1966,0.291
9/20/1966,0.404
9/21/1966,0.571
9/22/1966,0.205
9/23/1966,0.744
9/24/1966,0.885
9/25/1966,1.854
9/26/1966,2.399
9/27/1966,7.232
9/28/1966,1.044
9/29/1966,0.643
9/30/1966,1.022
10/1/1966,0.492
10/2/1966,0.152
10/3/1966,0.068
10/4/1966,0.076
10/5/1966,0.146
10/6/1966,0.007
10/7/1966,0.002
10/8/1966,0.018
10/9/1966,0.055
10/10/1966,0.000
10/11/1966,0.000
10/12/1966,0.082
10/13/1966,0.020
10/14/1966,0.051
10/15/1966,0.043
10/16/1966,0.137
10/17/1966,0.455
10/18/1966,0.685
10/19/1966,0.067
10/20/1966,0.025
10/21/1966,0.057
10/22/1966,0.077
10/23/1966,0.070
10/24/1966,0.059
10/25/1966,0.047
10/26/1966,0.317
10/27/1966,0.207
10/28/1966,0.052
10/29/1966,0.197
10/30/1966,0.101
10/31/1966,0.234
11/1/1966,0.030
11/2/1966,0.052
11/3/1966,0.559
11/4/1966,0.523
11/5/1966,2.859
11/6/1966,1.113
11/7/1966,0.208
11/8/1966,0.465
11/9/1966,0.511
11/10/1966,0.082
11/11/1966,0.000
11/12/1966,0.681
11/13/1966,0.636
11/14/1966,0.137
11/15/1966,0.747
11/16/1966,0.626
11/17/1966,0.695
11/18/1966,0.499
11/19/1966,1.239
11/20/1966,3.102
11/21/1966,10.799
11/22/1966,0.489
11/23/1966,0.459
11/24/1966,0.452
11/25/1966,5.481
11/26/1966,10.550
11/27/1966,2.478
11/28/1966,0.411
11/29/1966,1.313
11/30/1966,0.066
12/1/1966,0.119
12/2/1966,0.013
12/3/1966,0.361
12/4/1966,0.244
12/5/1966,0.428
12/6/1966,0.161
12/7/1966,0.079
12/8/1966,0.188
12/9/1966,0.120
12/10/1966,0.131
12/11/1966,0.092
12/12/1966,0.301
12/13/1966,0.072
12/14/1966,0.157
12/15/1966,1.387
12/16/1966,1.278
12/17/1966,0.308
12/18/1966,0.073
12/19/1966,3.483
12/20/1966,3.347
12/21/1966,4.345
12/22/1966,0.558
12/23/1966,0.074
12/24/1966,0.401
12/25/1966,1.650
12/26/1966,0.688
12/27/1966,0.477
12/28/1966,0.650
12/29/1966,0.683
12/30/1966,0.068
12/31/1966,0.576
1/1/1967,0.416
1/2/1967,0.545
1/3/1967,0.179
1/4/1967,0.023
1/5/1967,0.089
1/6/1967,0.080
1/7/1967,0.037
1/8/1967,0.131
1/9/1967,0.132
1/10/1967,0.624
1/11/1967,0.074
1/12/1967,0.066
1/13/1967,1.489
1/14/1967,2.987
1/15/1967,0.095
1/16/1967,0.349
1/17/1967,0.300
1/18/1967,0.271
1/19/1967,0.075
1/20/1967,0.067
1/21/1967,0.032
1/22/1967,0.395
1/23/1967,0.191
1/24/1967,0.459
1/25/1967,0.722
1/26/1967,3.053
1/27/1967,0.521
1/28/1967,0.285
1/29/1967,0.000
1/30/1967,0.050
1/31/1967,0.008
2/1/1967,0.434
2/2/1967,7.059
2/3/1967,2.580
2/4/1967,0.321
2/5/1967,0.231
2/6/1967,0.070
2/7/1967,1.484
2/8/1967,5.459
2/9/1967,1.608
2/10/1967,0.101
2/11/1967,0.299
2/12/1967,0.000
2/13/1967,0.277
2/14/1967,0.191
2/15/1967,0.642
2/16/1967,3.027
2/17/1967,4.630
2/18/1967,2.462
2/19/1967,0.595
2/20/1967,0.236
2/21/1967,0.192
2/22/1967,0.328
2/23/1967,0.480
2/24/1967,1.633
2/25/1967,2.263
2/26/1967,0.476
2/27/1967,0.522
2/28/1967,1.034
3/1/1967,0.052
3/2/1967,0.068
3/3/1967,0.154
3/4/1967,1.127
3/5/1967,0.624
3/6/1967,0.409
3/7/1967,0.331
3/8/1967,1.078
3/9/1967,1.748
3/10/1967,2.327
3/11/1967,1.953
3/12/1967,1.661
3/13/1967,5.349
3/14/1967,5.185
3/15/1967,5.511
3/16/1967,11.465
3/17/1967,3.815
3/18/1967,2.580
3/19/1967,1.989
3/20/1967,5.286
3/21/1967,1.483
3/22/1967,1.374
3/23/1967,5.683
3/24/1967,2.819
3/25/1967,3.309
3/26/1967,6.944
3/27/1967,8.198
3/28/1967,2.650
3/29/1967,5.753
3/30/1967,6.769
3/31/1967,6.720
4/1/1967,5.593
4/2/1967,14.074
4/3/1967,5.666
4/4/1967,14.173
4/5/1967,7.888
4/6/1967,11.592
4/7/1967,3.516
4/8/1967,4.805
4/9/1967,2.794
4/10/1967,2.316
4/11/1967,1.287
4/12/1967,3.007
4/13/1967,2.271
4/14/1967,0.972
4/15/1967,1.408
4/16/1967,1.688
4/17/1967,4.642
4/18/1967,11.333
4/19/1967,5.585
4/20/1967,9.574
4/21/1967,2.168
4/22/1967,1.201
4/23/1967,0.809
4/24/1967,1.554
4/25/1967,1.613
4/26/1967,2.788
4/27/1967,4.905
4/28/1967,4.974
4/29/1967,4.592
4/30/1967,3.003
5/1/1967,5.419
5/2/1967,9.596
5/3/1967,4.594
5/4/1967,2.501
5/5/1967,3.820
5/6/1967,5.244
5/7/1967,8.811
5/8/1967,10.820
5/9/1967,13.688
5/10/1967,8.589
5/11/1967,2.831
5/12/1967,2.547
5/13/1967,2.225
5/14/1967,3.267
5/15/1967,7.985
5/16/1967,2.412
5/17/1967,1.161
5/18/1967,1.328
5/19/1967,1.646
5/20/1967,1.788
5/21/1967,1.739
5/22/1967,1.597
5/23/1967,1.701
5/24/1967,0.708
5/25/1967,1.025
5/26/1967,2.502
5/27/1967,3.324
5/28/1967,2.268
5/29/1967,2.655
5/30/1967,1.296
5/31/1967,3.749
6/1/1967,9.510
6/2/1967,2.600
6/3/1967,3.008
6/4/1967,2.845
6/5/1967,1.700
6/6/1967,6.778
6/7/1967,8.192
6/8/1967,2.420
6/9/1967,1.205
6/10/1967,0.662
6/11/1967,1.337
6/12/1967,3.391
6/13/1967,3.973
6/14/1967,3.385
6/15/1967,2.837
6/16/1967,1.066
6/17/1967,3.679
6/18/1967,1.575
6/19/1967,0.910
6/20/1967,0.639
6/21/1967,2.174
6/22/1967,4.843
6/23/1967,4.570
6/24/1967,4.049
6/25/1967,3.455
6/26/1967,1.792
6/27/1967,1.691
6/28/1967,1.450
6/29/1967,2.437
6/30/1967,4.743
7/1/1967,21.070
7/2/1967,7.422
7/3/1967,1.659
7/4/1967,4.032
7/5/1967,6.251
7/6/1967,1.723
7/7/1967,1.320
7/8/1967,2.616
7/9/1967,2.586
7/10/1967,1.738
7/11/1967,3.778
7/12/1967,5.433
7/13/1967,4.202
7/14/1967,0.830
7/15/1967,0.622
7/16/1967,0.270
7/17/1967,0.655
7/18/1967,0.610
7/19/1967,0.666
7/20/1967,1.319
7/21/1967,0.602
7/22/1967,0.769
7/23/1967,0.603
7/24/1967,0.687
7/25/1967,1.440
7/26/1967,2.162
7/27/1967,4.238
7/28/1967,3.302
7/29/1967,2.362
7/30/1967,3.801
7/31/1967,5.466
8/1/1967,9.324
8/2/1967,4.951
8/3/1967,0.944
8/4/1967,2.111
8/5/1967,0.940
8/6/1967,1.847
8/7/1967,6.309
8/8/1967,0.911
8/9/1967,1.798
8/10/1967,0.326
8/11/1967,1.189
8/12/1967,0.820
8/13/1967,1.900
8/14/1967,5.116
8/15/1967,0.559
8/16/1967,1.020
8/17/1967,5.666
8/18/1967,2.241
8/19/1967,4.195
8/20/1967,3.440
8/21/1967,1.318
8/22/1967,0.171
8/23/1967,0.549
8/24/1967,1.554
8/25/1967,1.889
8/26/1967,1.141
8/27/1967,1.714
8/28/1967,2.530
8/29/1967,2.194
8/30/1967,1.293
8/31/1967,2.898
9/1/1967,1.226
9/2/1967,2.182
9/3/1967,1.072
9/4/1967,0.621
9/5/1967,0.512
9/6/1967,1.505
9/7/1967,1.144
9/8/1967,0.322
9/9/1967,0.076
9/10/1967,0.240
9/11/1967,0.023
9/12/1967,0.289
9/13/1967,0.270
9/14/1967,0.232
9/15/1967,0.033
9/16/1967,0.145
9/17/1967,0.559
9/18/1967,3.469
9/19/1967,3.701
9/20/1967,1.201
9/21/1967,0.372
9/22/1967,0.065
9/23/1967,0.543
9/24/1967,0.319
9/25/1967,0.173
9/26/1967,0.061
9/27/1967,0.008
9/28/1967,0.029
9/29/1967,0.749
9/30/1967,1.995
10/1/1967,2.497
10/2/1967,1.114
10/3/1967,1.125
10/4/1967,1.294
10/5/1967,2.429
10/6/1967,1.387
10/7/1967,1.951
10/8/1967,1.418
10/9/1967,1.557
10/10/1967,0.861
10/11/1967,0.336
10/12/1967,0.086
10/13/1967,0.127
10/14/1967,0.136
10/15/1967,0.577
10/16/1967,0.591
10/17/1967,1.025
10/18/1967,0.409
10/19/1967,0.426
10/20/1967,0.272
10/21/1967,0.426
10/22/1967,0.213
10/23/1967,0.059
10/24/1967,0.137
10/25/1967,0.279
10/26/1967,0.436
10/27/1967,0.120
10/28/1967,0.104
10/29/1967,0.055
10/30/1967,0.001
10/31/1967,0.025
11/1/1967,0.066
11/2/1967,0.010
11/3/1967,0.026
11/4/1967,0.003
11/5/1967,0.097
11/6/1967,0.056
11/7/1967,0.051
11/8/1967,0.062
11/9/1967,0.013
11/10/1967,0.011
11/11/1967,0.010
11/12/1967,0.074
11/13/1967,0.008
11/14/1967,0.001
11/15/1967,0.021
11/16/1967,0.018
11/17/1967,0.114
11/18/1967,0.067
11/19/1967,0.001
11/20/1967,0.032
11/21/1967,0.015
11/22/1967,0.243
11/23/1967,0.089
11/24/1967,0.014
11/25/1967,0.044
11/26/1967,0.141
11/27/1967,0.251
11/28/1967,0.011
11/29/1967,0.149
11/30/1967,0.022
12/1/1967,0.003
12/2/1967,0.005
12/3/1967,0.015
12/4/1967,0.024
12/5/1967,0.096
12/6/1967,0.334
12/7/1967,0.202
12/8/1967,0.041
12/9/1967,0.038
12/10/1967,0.014
12/11/1967,0.607
12/12/1967,0.251
12/13/1967,0.092
12/14/1967,0.021
12/15/1967,0.006
12/16/1967,0.042
12/17/1967,0.110
12/18/1967,0.060
12/19/1967,0.014
12/20/1967,0.033
12/21/1967,0.000
12/22/1967,0.393
12/23/1967,0.496
12/24/1967,0.001
12/25/1967,0.025
12/26/1967,0.498
12/27/1967,6.715
12/28/1967,9.445
12/29/1967,10.500
12/30/1967,12.052
12/31/1967,0.623
1/1/1968,0.739
1/2/1968,0.373
1/3/1968,0.788
1/4/1968,0.078
1/5/1968,0.156
1/6/1968,0.353
1/7/1968,0.306
1/8/1968,0.599
1/9/1968,1.662
1/10/1968,3.269
1/11/1968,0.343
1/12/1968,0.195
1/13/1968,0.330
1/14/1968,0.176
1/15/1968,0.208
1/16/1968,0.945
1/17/1968,0.664
1/18/1968,1.693
1/19/1968,0.480
1/20/1968,0.457
1/21/1968,0.641
1/22/1968,4.572
1/23/1968,24.547
1/24/1968,5.339
1/25/1968,5.587
1/26/1968,7.006
1/27/1968,13.479
1/28/1968,1.867
1/29/1968,0.414
1/30/1968,0.254
1/31/1968,0.141
2/1/1968,1.092
2/2/1968,0.864
2/3/1968,0.177
2/4/1968,0.127
2/5/1968,0.457
2/6/1968,0.485
2/7/1968,0.449
2/8/1968,0.677
2/9/1968,2.349
2/10/1968,3.045
2/11/1968,0.681
2/12/1968,1.173
2/13/1968,0.497
2/14/1968,0.562
2/15/1968,1.012
2/16/1968,1.284
2/17/1968,0.367
2/18/1968,0.252
2/19/1968,0.537
2/20/1968,0.557
2/21/1968,2.844
2/22/1968,0.549
2/23/1968,0.392
2/24/1968,0.455
2/25/1968,0.328
2/26/1968,1.297
2/27/1968,4.292
2/28/1968,2.147
2/29/1968,1.619
3/1/1968,0.609
3/2/1968,0.430
3/3/1968,1.042
3/4/1968,2.965
3/5/1968,1.949
3/6/1968,2.793
3/7/1968,2.307
3/8/1968,3.015
3/9/1968,2.461
3/10/1968,3.813
3/11/1968,5.876
3/12/1968,8.384
3/13/1968,3.877
3/14/1968,6.017
3/15/1968,5.774
3/16/1968,3.533
3/17/1968,8.682
3/18/1968,2.107
3/19/1968,3.723
3/20/1968,11.731
3/21/1968,13.078
3/22/1968,6.525
3/23/1968,10.190
3/24/1968,2.173
3/25/1968,6.713
3/26/1968,6.572
3/27/1968,2.380
3/28/1968,0.755
3/29/1968,0.799
3/30/1968,0.235
3/31/1968,0.121
4/1/1968,0.789
4/2/1968,1.424
4/3/1968,0.513
4/4/1968,0.581
4/5/1968,1.361
4/6/1968,4.613
4/7/1968,0.252
4/8/1968,0.476
4/9/1968,0.608
4/10/1968,0.221
4/11/1968,0.302
4/12/1968,2.236
4/13/1968,6.841
4/14/1968,2.179
4/15/1968,0.876
4/16/1968,0.236
4/17/1968,0.981
4/18/1968,0.765
4/19/1968,2.866
4/20/1968,2.609
4/21/1968,1.784
4/22/1968,3.908
4/23/1968,1.713
4/24/1968,2.807
4/25/1968,2.492
4/26/1968,8.265
4/27/1968,7.792
4/28/1968,17.715
4/29/1968,8.274
4/30/1968,6.302
5/1/1968,4.046
5/2/1968,6.420
5/3/1968,9.166
5/4/1968,4.409
5/5/1968,4.670
5/6/1968,3.796
5/7/1968,4.909
5/8/1968,5.478
5/9/1968,2.089
5/10/1968,0.712
5/11/1968,1.087
5/12/1968,0.232
5/13/1968,2.489
5/14/1968,3.161
5/15/1968,3.045
5/16/1968,2.846
5/17/1968,8.429
5/18/1968,5.076
5/19/1968,1.887
5/20/1968,4.215
5/21/1968,2.538
5/22/1968,3.366
5/23/1968,2.376
5/24/1968,1.105
5/25/1968,3.046
5/26/1968,2.661
5/27/1968,3.602
5/28/1968,2.601
5/29/1968,1.583
5/30/1968,0.787
5/31/1968,1.433
6/1/1968,1.611
6/2/1968,1.074
6/3/1968,1.269
6/4/1968,0.591
6/5/1968,0.896
6/6/1968,0.473
6/7/1968,1.210
6/8/1968,1.494
6/9/1968,0.461
6/10/1968,0.699
6/11/1968,1.204
6/12/1968,3.119
6/13/1968,1.568
6/14/1968,0.716
6/15/1968,0.823
6/16/1968,0.923
6/17/1968,3.682
6/18/1968,7.271
6/19/1968,0.729
6/20/1968,0.344
6/21/1968,0.708
6/22/1968,1.796
6/23/1968,0.869
6/24/1968,0.972
6/25/1968,0.630
6/26/1968,0.453
6/27/1968,0.394
6/28/1968,0.805
6/29/1968,2.502
6/30/1968,1.489
7/1/1968,0.375
7/2/1968,1.046
7/3/1968,0.543
7/4/1968,0.925
7/5/1968,6.469
7/6/1968,12.538
7/7/1968,1.653
7/8/1968,2.235
7/9/1968,2.553
7/10/1968,0.934
7/11/1968,1.020
7/12/1968,4.780
7/13/1968,11.455
7/14/1968,2.189
7/15/1968,1.928
7/16/1968,2.954
7/17/1968,2.765
7/18/1968,7.345
7/19/1968,8.141
7/20/1968,2.686
7/21/1968,3.508
7/22/1968,1.251
7/23/1968,0.629
7/24/1968,0.449
7/25/1968,0.575
7/26/1968,0.497
7/27/1968,0.387
7/28/1968,0.747
7/29/1968,2.223
7/30/1968,3.950
7/31/1968,0.705
8/1/1968,2.074
8/2/1968,1.688
8/3/1968,0.542
8/4/1968,0.475
8/5/1968,0.439
