,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,8/1/1966,0.000,2.905,8,3.731,2.905,0.000,0.826,0.000,0.000,141.000,141.356,0.006,140.994,77.987,63.369,185.969,0.000,0.000,0.356,74.869,140.638,0.000,0.000,0.000,63.369,5453.852,319.995,11948.421,5133.857,3740.487,141.000,129.210,141.000,5.065,199.819,-3136.659
1,8/2/1966,0.000,0.819,8,3.731,0.819,0.000,2.912,0.000,0.000,140.638,63.724,0.020,140.618,20.670,43.054,49.290,0.000,0.000,0.355,19.844,140.263,0.000,0.000,0.000,43.054,,,,,,,,,,,
2,8/3/1966,0.000,0.449,8,3.731,0.449,0.000,3.282,0.000,0.000,140.263,43.409,0.023,140.240,10.901,32.508,25.994,0.000,0.000,0.354,10.465,139.886,0.000,0.000,0.000,32.508,,,,,,,,,,,
3,8/4/1966,0.000,0.311,8,3.731,0.311,0.000,3.420,0.000,0.000,139.886,32.861,0.023,139.862,6.854,26.007,16.345,0.000,0.000,0.353,6.580,139.509,0.000,0.000,0.000,26.007,,,,,,,,,,,
4,8/5/1966,0.000,1.267,8,3.731,1.267,0.000,2.464,0.000,0.000,139.509,26.359,0.017,139.492,4.747,21.613,11.319,0.000,0.000,0.352,4.557,139.139,0.000,0.000,0.000,21.613,,,,,,,,,,,
5,8/6/1966,0.000,1.887,8,3.731,1.887,0.000,1.844,0.000,0.000,139.139,21.964,0.013,139.127,3.502,18.462,8.352,0.000,0.000,0.352,3.362,138.775,0.000,0.000,0.000,18.462,,,,,,,,,,,
6,8/7/1966,0.000,0.742,8,3.731,0.742,0.000,2.989,0.000,0.000,138.775,18.812,0.020,138.755,2.705,16.107,6.451,0.000,0.000,0.351,2.597,138.404,0.000,0.000,0.000,16.107,,,,,,,,,,,
7,8/8/1966,0.000,3.041,8,3.731,3.041,0.000,0.690,0.000,0.000,138.404,16.457,0.005,138.400,2.165,14.292,5.162,0.000,0.000,0.350,2.078,138.050,0.000,0.000,0.000,14.292,,,,,,,,,,,
8,8/9/1966,0.000,1.593,8,3.731,1.593,0.000,2.138,0.000,0.000,138.050,14.641,0.014,138.036,1.781,12.859,4.248,0.000,0.000,0.349,1.710,137.687,0.000,0.000,0.000,12.859,,,,,,,,,,,
9,8/10/1966,0.000,3.091,8,3.731,3.091,0.000,0.640,0.000,0.000,137.687,13.207,0.004,137.682,1.500,11.707,3.578,0.000,0.000,0.348,1.440,137.335,0.000,0.000,0.000,11.707,,,,,,,,,,,
10,8/11/1966,25.567,4.978,8,3.731,3.731,1.247,0.000,0.000,0.428,137.335,12.482,0.000,137.335,1.366,11.116,3.256,0.819,0.819,0.347,1.311,137.806,0.000,0.000,0.000,11.116,,,,,,,,,,,
11,8/12/1966,23.879,2.871,8,3.731,2.871,0.000,0.860,0.000,0.000,137.806,11.465,0.006,137.801,1.185,10.280,2.826,0.000,0.000,0.348,1.138,137.452,0.000,0.000,0.000,10.280,,,,,,,,,,,
12,8/13/1966,22.778,0.877,8,3.731,0.877,0.000,2.854,0.000,0.000,137.452,10.627,0.019,137.433,1.044,9.582,2.490,0.000,0.000,0.347,1.003,137.086,0.000,0.000,0.000,9.582,,,,,,,,,,,
