,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,0.0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,1/1/1990,6.871,1.122,1.000,5.165,1.122,0.0,4.043,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,25118.26800000015,1327.830248081521,52346.67399999817,23790.437751918627,15838.322001237628,0.0,0.0,0.0,1.4047161528355205,2309.073005408756,-0.035123209127959854
2,1/2/1990,6.122,0.478,1.000,5.165,0.478,0.0,4.687,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
3,1/3/1990,4.792,0.445,1.000,5.165,0.445,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
4,1/4/1990,3.419,0.927,1.000,5.165,0.927,0.0,4.2379999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
5,1/5/1990,3.419,1.729,1.000,5.165,1.729,0.0,3.436,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
6,1/6/1990,3.181,0.778,1.000,5.165,0.778,0.0,4.3870000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
7,1/7/1990,2.338,0.607,1.000,5.165,0.607,0.0,4.558,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
8,1/8/1990,1.814,0.166,1.000,5.165,0.166,0.0,4.999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
9,1/9/1990,1.512,0.068,1.000,5.165,0.068,0.0,5.097,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
10,1/10/1990,1.013,0.000,1.000,5.165,0.0,0.0,5.165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
11,1/11/1990,0.908,0.000,1.000,5.165,0.0,0.0,5.165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
12,1/12/1990,0.811,0.102,1.000,5.165,0.102,0.0,5.063,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
13,1/13/1990,0.721,0.036,1.000,5.165,0.036,0.0,5.1290000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
14,1/14/1990,0.721,0.017,1.000,5.165,0.017,0.0,5.148,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
15,1/15/1990,0.908,0.017,1.000,5.165,0.017,0.0,5.148,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
16,1/16/1990,0.721,0.020,1.000,5.165,0.02,0.0,5.1450000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
17,1/17/1990,0.638,0.000,1.000,5.165,0.0,0.0,5.165,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
18,1/18/1990,0.638,0.043,1.000,5.165,0.043,0.0,5.122,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
19,1/19/1990,0.638,0.030,1.000,5.165,0.03,0.0,5.135,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
20,1/20/1990,0.562,0.026,1.000,5.165,0.026,0.0,5.139,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
21,1/21/1990,0.721,0.093,1.000,5.165,0.093,0.0,5.072,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
22,1/22/1990,1.013,0.203,1.000,5.165,0.203,0.0,4.962,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
23,1/23/1990,1.512,0.493,1.000,5.165,0.493,0.0,4.672,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
24,1/24/1990,1.246,0.008,1.000,5.165,0.008,0.0,5.157,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
25,1/25/1990,0.908,0.039,1.000,5.165,0.039,0.0,5.126,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
26,1/26/1990,0.908,0.124,1.000,5.165,0.124,0.0,5.041,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
27,1/27/1990,0.908,0.039,1.000,5.165,0.039,0.0,5.126,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
28,1/28/1990,0.721,0.316,1.000,5.165,0.316,0.0,4.849,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
29,1/29/1990,0.721,0.764,1.000,5.165,0.764,0.0,4.401,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
30,1/30/1990,0.811,1.865,1.000,5.165,1.865,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
31,1/31/1990,0.908,4.146,1.000,5.165,4.146,0.0,1.0190000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
32,2/1/1990,0.908,0.185,2.000,4.920,0.185,0.0,4.735,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
