,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,1/1/1990,6.871,1.122,1,5.165,1.122,0.000,4.043,0.000,0.000,141.000,142.610,2.383,138.617,77.600,65.010,0.000,0.000,0.000,1.610,77.600,137.007,0.000,0.000,0.000,65.010,9515.832,580.435,20994.582,8935.397,7525.046,141.000,3.403,141.000,0.614,0.000,0.002
1,1/2/1990,6.122,0.478,1,5.165,0.478,0.000,4.687,0.000,0.000,137.007,66.569,2.713,134.294,21.797,44.772,0.000,0.000,0.000,1.560,21.797,132.735,0.000,0.000,0.000,44.772,,,,,,,,,,,
2,1/3/1990,4.792,0.445,1,5.165,0.445,0.000,4.720,0.000,0.000,132.735,46.282,2.678,130.057,11.893,34.389,0.000,0.000,0.000,1.510,11.893,128.546,0.000,0.000,0.000,34.389,,,,,,,,,,,
3,1/4/1990,3.419,0.927,1,5.165,0.927,0.000,4.238,0.000,0.000,128.546,35.854,2.355,126.191,7.772,28.083,0.000,0.000,0.000,1.465,7.772,124.726,0.000,0.000,0.000,28.083,,,,,,,,,,,
4,1/5/1990,3.419,1.729,1,5.165,1.729,0.000,3.436,0.000,0.000,124.726,29.509,1.872,122.853,5.618,23.892,0.000,0.000,0.000,1.427,5.618,121.427,0.000,0.000,0.000,23.892,,,,,,,,,,,
5,1/6/1990,3.181,0.778,1,5.165,0.778,0.000,4.387,0.000,0.000,121.427,25.275,2.349,119.078,4.339,20.935,0.000,0.000,0.000,1.383,4.339,117.695,0.000,0.000,0.000,20.935,,,,,,,,,,,
6,1/7/1990,2.338,0.607,1,5.165,0.607,0.000,4.558,0.000,0.000,117.695,22.274,2.390,115.306,3.515,18.759,0.000,0.000,0.000,1.339,3.515,113.967,0.000,0.000,0.000,18.759,,,,,,,,,,,
7,1/8/1990,1.814,0.166,1,5.165,0.166,0.000,4.999,0.000,0.000,113.967,20.053,2.564,111.402,2.951,17.102,0.000,0.000,0.000,1.294,2.951,110.109,0.000,0.000,0.000,17.102,,,,,,,,,,,
8,1/9/1990,1.512,0.068,1,5.165,0.068,0.000,5.097,0.000,0.000,110.109,18.351,2.553,107.555,2.545,15.806,0.000,0.000,0.000,1.249,2.545,106.306,0.000,0.000,0.000,15.806,,,,,,,,,,,
9,1/10/1990,1.013,0.000,1,5.165,0.000,0.000,5.165,0.000,0.000,106.306,17.011,2.525,103.782,2.243,14.768,0.000,0.000,0.000,1.205,2.243,102.576,0.000,0.000,0.000,14.768,,,,,,,,,,,
10,1/11/1990,0.908,0.000,1,5.165,0.000,0.000,5.165,0.000,0.000,102.576,15.931,2.462,100.115,2.011,13.920,0.000,0.000,0.000,1.163,2.011,98.952,0.000,0.000,0.000,13.920,,,,,,,,,,,
11,1/12/1990,0.811,0.102,1,5.165,0.102,0.000,5.063,0.000,0.000,98.952,15.042,2.352,96.600,1.827,13.215,0.000,0.000,0.000,1.122,1.827,95.478,0.000,0.000,0.000,13.215,,,,,,,,,,,
12,1/13/1990,0.721,0.036,1,5.165,0.036,0.000,5.129,0.000,0.000,95.478,14.297,2.322,93.157,1.679,12.618,0.000,0.000,0.000,1.082,1.679,92.075,0.000,0.000,0.000,12.618,,,,,,,,,,,
13,1/14/1990,0.721,0.017,1,5.165,0.017,0.000,5.148,0.000,0.000,92.075,13.661,2.269,89.806,1.556,12.105,0.000,0.000,0.000,1.043,1.556,88.763,0.000,0.000,0.000,12.105,,,,,,,,,,,
14,1/15/1990,0.908,0.017,1,5.165,0.017,0.000,5.148,0.000,0.000,88.763,13.110,2.208,86.554,1.453,11.657,0.000,0.000,0.000,1.005,1.453,85.549,0.000,0.000,0.000,11.657,,,,,,,,,,,
15,1/16/1990,0.721,0.020,1,5.165,0.020,0.000,5.145,0.000,0.000,85.549,12.625,2.147,83.403,1.365,11.261,0.000,0.000,0.000,0.969,1.365,82.434,0.000,0.000,0.000,11.261,,,,,,,,,,,
16,1/17/1990,0.638,0.000,1,5.165,0.000,0.000,5.165,0.000,0.000,82.434,12.194,2.095,80.339,1.288,10.906,0.000,0.000,0.000,0.933,1.288,79.406,0.000,0.000,0.000,10.906,,,,,,,,,,,
