data,vazao
8/1/1966,1.798
8/2/1966,1.798
8/3/1966,1.798
8/4/1966,2.486
8/5/1966,2.163
8/6/1966,1.682
8/7/1966,1.248
8/8/1966,1.002
8/9/1966,0.820
8/10/1966,0.820
8/11/1966,0.955
8/12/1966,1.098
8/13/1966,0.777
8/14/1966,0.574
8/15/1966,0.536
8/16/1966,0.499
8/17/1966,0.464
8/18/1966,0.331
8/19/1966,0.000
8/20/1966,0.000
8/21/1966,0.000
8/22/1966,0.000
8/23/1966,0.000
8/24/1966,0.000
8/25/1966,0.000
8/26/1966,0.000
8/27/1966,0.000
8/28/1966,0.000
8/29/1966,0.000
8/30/1966,0.000
8/31/1966,0.000
9/1/1966,0.000
9/2/1966,0.000
9/3/1966,0.000
9/4/1966,0.000
9/5/1966,0.000
9/6/1966,0.000
9/7/1966,0.000
9/8/1966,0.000
9/9/1966,0.000
9/10/1966,0.000
9/11/1966,0.000
9/12/1966,0.000
9/13/1966,0.000
9/14/1966,0.000
9/15/1966,0.000
9/16/1966,0.000
9/17/1966,0.000
9/18/1966,0.000
9/19/1966,0.000
9/20/1966,0.000
9/21/1966,0.000
9/22/1966,0.000
9/23/1966,1.798
9/24/1966,1.569
9/25/1966,1.459
9/26/1966,1.459
9/27/1966,1.625
9/28/1966,2.291
9/29/1966,1.917
9/30/1966,1.740
10/1/1966,1.569
10/2/1966,1.459
10/3/1966,1.459
10/4/1966,1.459
10/5/1966,1.352
10/6/1966,1.352
10/7/1966,1.248
10/8/1966,1.147
10/9/1966,1.352
10/10/1966,1.569
10/11/1966,1.459
10/12/1966,1.352
10/13/1966,1.050
10/14/1966,0.909
10/15/1966,0.864
10/16/1966,0.820
10/17/1966,0.735
10/18/1966,0.693
10/19/1966,0.613
10/20/1966,0.613
10/21/1966,0.574
10/22/1966,0.652
10/23/1966,0.574
10/24/1966,0.499
10/25/1966,0.574
10/26/1966,0.613
10/27/1966,0.536
10/28/1966,0.464
10/29/1966,0.429
10/30/1966,0.429
10/31/1966,0.362
11/1/1966,0.331
11/2/1966,0.331
11/3/1966,0.331
