data,chuva_media
8/1/1966,2.502
8/2/1966,0.945
8/3/1966,1.061
8/4/1966,0.352
8/5/1966,1.321
8/6/1966,2.148
8/7/1966,0.464
8/8/1966,3.718
8/9/1966,1.353
8/10/1966,2.171
8/11/1966,3.348
8/12/1966,2.334
8/13/1966,0.803
8/14/1966,3.189
8/15/1966,1.173
8/16/1966,0.611
8/17/1966,1.610
8/18/1966,1.171
8/19/1966,0.105
8/20/1966,0.160
8/21/1966,0.522
8/22/1966,0.053
8/23/1966,0.245
8/24/1966,0.852
8/25/1966,1.045
8/26/1966,0.481
8/27/1966,0.266
8/28/1966,0.152
8/29/1966,0.567
8/30/1966,1.177
8/31/1966,0.880
9/1/1966,3.229
9/2/1966,4.657
9/3/1966,1.920
9/4/1966,1.739
9/5/1966,1.879
9/6/1966,2.127
9/7/1966,2.740
9/8/1966,0.871
9/9/1966,0.827
9/10/1966,1.387
9/11/1966,0.977
9/12/1966,1.558
9/13/1966,0.352
9/14/1966,0.380
9/15/1966,0.359
9/16/1966,0.227
9/17/1966,0.476
9/18/1966,0.007
9/19/1966,0.167
9/20/1966,0.217
9/21/1966,0.347
9/22/1966,0.038
9/23/1966,0.609
9/24/1966,0.700
9/25/1966,1.871
9/26/1966,1.776
9/27/1966,5.195
9/28/1966,0.985
9/29/1966,0.597
9/30/1966,0.829
10/1/1966,0.504
10/2/1966,0.155
10/3/1966,0.063
10/4/1966,0.081
10/5/1966,0.059
10/6/1966,0.002
10/7/1966,0.002
10/8/1966,0.018
10/9/1966,0.035
10/10/1966,0.000
10/11/1966,0.000
10/12/1966,0.051
10/13/1966,0.020
10/14/1966,0.000
10/15/1966,0.043
10/16/1966,0.081
10/17/1966,0.343
10/18/1966,0.909
10/19/1966,0.050
10/20/1966,0.000
10/21/1966,0.000
10/22/1966,0.066
10/23/1966,0.010
10/24/1966,0.012
10/25/1966,0.045
10/26/1966,0.237
10/27/1966,0.144
10/28/1966,0.038
10/29/1966,0.072
10/30/1966,0.015
10/31/1966,0.107
11/1/1966,0.016
11/2/1966,0.030
11/3/1966,0.545
11/4/1966,0.499
11/5/1966,2.303
11/6/1966,0.940
11/7/1966,0.149
11/8/1966,0.410
11/9/1966,0.443
11/10/1966,0.066
11/11/1966,0.000
11/12/1966,0.432
11/13/1966,0.552
11/14/1966,0.136
11/15/1966,0.578
11/16/1966,0.472
11/17/1966,0.563
11/18/1966,0.527
11/19/1966,1.494
