,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,8/1/1966,1.798,2.502,8,2.236,2.236,0.266,0.000,0.000,0.094,141.000,141.094,0.000,141.000,80.672,60.422,54.855,0.172,0.172,0.000,79.483,141.173,0.000,0.000,0.000,60.422,5611.677,162.168,7732.738,5449.509,5098.966,141.000,149.836,141.000,2.737,21.851,-841.180
1,8/2/1966,1.798,0.945,8,2.236,0.945,0.000,1.291,0.000,0.000,141.173,60.422,1.289,139.883,19.628,40.795,13.346,0.000,0.000,0.000,19.339,139.883,0.000,0.000,0.000,40.795,,,,,,,,,,,
2,8/3/1966,1.798,1.061,8,2.236,1.061,0.000,1.175,0.000,0.000,139.883,40.795,1.174,138.709,10.199,30.596,6.935,0.000,0.000,0.000,10.048,138.709,0.000,0.000,0.000,30.596,,,,,,,,,,,
3,8/4/1966,2.486,0.352,8,2.236,0.352,0.000,1.884,0.000,0.000,138.709,30.596,1.882,136.828,6.314,24.282,4.293,0.000,0.000,0.000,6.221,136.828,0.000,0.000,0.000,24.282,,,,,,,,,,,
4,8/5/1966,2.163,1.321,8,2.236,1.321,0.000,0.915,0.000,0.000,136.828,24.282,0.914,135.914,4.295,19.986,2.921,0.000,0.000,0.000,4.232,135.914,0.000,0.000,0.000,19.986,,,,,,,,,,,
5,8/6/1966,1.682,2.148,8,2.236,2.148,0.000,0.088,0.000,0.000,135.914,19.986,0.088,135.827,3.105,16.881,2.111,0.000,0.000,0.000,3.059,135.827,0.000,0.000,0.000,16.881,,,,,,,,,,,
6,8/7/1966,1.248,0.464,8,2.236,0.464,0.000,1.772,0.000,0.000,135.827,16.881,1.770,134.057,2.344,14.538,1.594,0.000,0.000,0.000,2.309,134.057,0.000,0.000,0.000,14.538,,,,,,,,,,,
7,8/8/1966,1.002,3.718,8,2.236,2.236,1.482,0.000,0.000,0.497,134.057,15.034,0.000,134.057,1.932,13.102,1.314,0.986,0.986,0.000,1.904,135.043,0.000,0.000,0.000,13.102,,,,,,,,,,,
8,8/9/1966,0.820,1.353,8,2.236,1.353,0.000,0.883,0.000,0.000,135.043,13.102,0.882,134.161,1.536,11.566,1.045,0.000,0.000,0.000,1.514,134.161,0.000,0.000,0.000,11.566,,,,,,,,,,,
9,8/10/1966,0.820,2.171,8,2.236,2.171,0.000,0.065,0.000,0.000,134.161,11.566,0.065,134.096,1.248,10.318,0.849,0.000,0.000,0.000,1.230,134.096,0.000,0.000,0.000,10.318,,,,,,,,,,,
10,8/11/1966,0.955,3.348,8,2.236,2.236,1.112,0.000,0.000,0.373,134.096,10.691,0.000,134.096,1.095,9.597,0.744,0.739,0.739,0.000,1.078,134.836,0.000,0.000,0.000,9.597,,,,,,,,,,,
11,8/12/1966,1.098,2.334,8,2.236,2.236,0.098,0.000,0.000,0.033,134.836,9.630,0.000,134.836,0.920,8.710,0.625,0.065,0.065,0.000,0.906,134.901,0.000,0.000,0.000,8.710,,,,,,,,,,,
12,8/13/1966,0.777,0.803,8,2.236,0.803,0.000,1.433,0.000,0.000,134.901,8.710,1.431,133.470,0.778,7.932,0.529,0.000,0.000,0.000,0.766,133.470,0.000,0.000,0.000,7.932,,,,,,,,,,,
13,8/14/1966,0.574,3.189,8,2.236,2.236,0.953,0.000,0.000,0.318,133.470,8.250,0.000,133.470,0.711,7.540,0.483,0.635,0.635,0.000,0.700,134.106,0.000,0.000,0.000,7.540,,,,,,,,,,,
14,8/15/1966,0.536,1.173,8,2.236,1.173,0.000,1.063,0.000,0.000,134.106,7.540,1.061,133.044,0.612,6.928,0.416,0.000,0.000,0.000,0.603,133.044,0.000,0.000,0.000,6.928,,,,,,,,,,,
15,8/16/1966,0.499,0.611,8,2.236,0.611,0.000,1.625,0.000,0.000,133.044,6.928,1.623,131.422,0.531,6.397,0.361,0.000,0.000,0.000,0.523,131.422,0.000,0.000,0.000,6.397,,,,,,,,,,,
16,8/17/1966,0.464,1.610,8,2.236,1.610,0.000,0.626,0.000,0.000,131.422,6.397,0.625,130.797,0.465,5.932,0.316,0.000,0.000,0.000,0.458,130.797,0.000,0.000,0.000,5.932,,,,,,,,,,,
17,8/18/1966,0.331,1.171,8,2.236,1.171,0.000,1.065,0.000,0.000,130.797,5.932,1.063,129.734,0.410,5.522,0.279,0.000,0.000,0.000,0.404,129.734,0.000,0.000,0.000,5.522,,,,,,,,,,,
18,8/19/1966,0.000,0.105,8,2.236,0.105,0.000,2.131,0.000,0.000,129.734,5.522,2.127,127.607,0.364,5.158,0.247,0.000,0.000,0.000,0.359,127.607,0.000,0.000,0.000,5.158,,,,,,,,,,,
19,8/20/1966,0.000,0.160,8,2.236,0.160,0.000,2.076,0.000,0.000,127.607,5.158,2.072,125.535,0.325,4.833,0.221,0.000,0.000,0.000,0.320,125.535,0.000,0.000,0.000,4.833,,,,,,,,,,,
20,8/21/1966,0.000,0.522,8,2.236,0.522,0.000,1.714,0.000,0.000,125.535,4.833,1.710,123.824,0.291,4.542,0.198,0.000,0.000,0.000,0.287,123.824,0.000,0.000,0.000,4.542,,,,,,,,,,,
21,8/22/1966,0.000,0.053,8,2.236,0.053,0.000,2.183,0.000,0.000,123.824,4.542,2.178,121.646,0.263,4.279,0.179,0.000,0.000,0.000,0.259,121.646,0.000,0.000,0.000,4.279,,,,,,,,,,,
22,8/23/1966,0.000,0.245,8,2.236,0.245,0.000,1.991,0.000,0.000,121.646,4.279,1.986,119.660,0.238,4.041,0.162,0.000,0.000,0.000,0.234,119.660,0.000,0.000,0.000,4.041,,,,,,,,,,,
23,8/24/1966,0.000,0.852,8,2.236,0.852,0.000,1.384,0.000,0.000,119.660,4.041,1.380,118.280,0.216,3.825,0.147,0.000,0.000,0.000,0.213,118.280,0.000,0.000,0.000,3.825,,,,,,,,,,,
24,8/25/1966,0.000,1.045,8,2.236,1.045,0.000,1.191,0.000,0.000,118.280,3.825,1.187,117.092,0.197,3.627,0.134,0.000,0.000,0.000,0.194,117.092,0.000,0.000,0.000,3.627,,,,,,,,,,,
25,8/26/1966,0.000,0.481,8,2.236,0.481,0.000,1.755,0.000,0.000,117.092,3.627,1.750,115.343,0.181,3.447,0.123,0.000,0.000,0.000,0.178,115.343,0.000,0.000,0.000,3.447,,,,,,,,,,,
26,8/27/1966,0.000,0.266,8,2.236,0.266,0.000,1.970,0.000,0.000,115.343,3.447,1.963,113.379,0.166,3.281,0.113,0.000,0.000,0.000,0.163,113.379,0.000,0.000,0.000,3.281,,,,,,,,,,,
27,8/28/1966,0.000,0.152,8,2.236,0.152,0.000,2.084,0.000,0.000,113.379,3.281,2.076,111.303,0.153,3.128,0.104,0.000,0.000,0.000,0.151,111.303,0.000,0.000,0.000,3.128,,,,,,,,,,,
28,8/29/1966,0.000,0.567,8,2.236,0.567,0.000,1.669,0.000,0.000,111.303,3.128,1.662,109.641,0.141,2.987,0.096,0.000,0.000,0.000,0.139,109.641,0.000,0.000,0.000,2.987,,,,,,,,,,,
29,8/30/1966,0.000,1.177,8,2.236,1.177,0.000,1.059,0.000,0.000,109.641,2.987,1.054,108.587,0.131,2.856,0.089,0.000,0.000,0.000,0.129,108.587,0.000,0.000,0.000,2.856,,,,,,,,,,,
30,8/31/1966,0.000,0.880,8,2.236,0.880,0.000,1.356,0.000,0.000,108.587,2.856,1.350,107.237,0.121,2.735,0.082,0.000,0.000,0.000,0.120,107.237,0.000,0.000,0.000,2.735,,,,,,,,,,,
31,9/1/1966,0.000,3.229,9,2.750,2.750,0.479,0.000,0.000,0.128,107.237,2.863,0.000,107.237,0.122,2.741,0.083,0.350,0.350,0.000,0.120,107.587,0.000,0.000,0.000,2.741,,,,,,,,,,,
32,9/2/1966,0.000,4.657,9,2.750,2.750,1.907,0.000,0.000,0.513,107.587,3.254,0.000,107.587,0.151,3.103,0.103,1.394,1.394,0.000,0.149,108.981,0.000,0.000,0.000,3.103,,,,,,,,,,,
33,9/3/1966,0.000,1.920,9,2.750,1.920,0.000,0.830,0.000,0.000,108.981,3.103,0.827,108.154,0.139,2.964,0.095,0.000,0.000,0.000,0.137,108.154,0.000,0.000,0.000,2.964,,,,,,,,,,,
34,9/4/1966,0.000,1.739,9,2.750,1.739,0.000,1.011,0.000,0.000,108.154,2.964,1.007,107.147,0.129,2.835,0.088,0.000,0.000,0.000,0.127,107.147,0.000,0.000,0.000,2.835,,,,,,,,,,,
35,9/5/1966,0.000,1.879,9,2.750,1.879,0.000,0.871,0.000,0.000,107.147,2.835,0.867,106.280,0.120,2.715,0.081,0.000,0.000,0.000,0.118,106.280,0.000,0.000,0.000,2.715,,,,,,,,,,,
36,9/6/1966,0.000,2.127,9,2.750,2.127,0.000,0.623,0.000,0.000,106.280,2.715,0.620,105.660,0.111,2.604,0.076,0.000,0.000,0.000,0.110,105.660,0.000,0.000,0.000,2.604,,,,,,,,,,,
37,9/7/1966,0.000,2.740,9,2.750,2.740,0.000,0.010,0.000,0.000,105.660,2.604,0.010,105.649,0.104,2.500,0.071,0.000,0.000,0.000,0.102,105.649,0.000,0.000,0.000,2.500,,,,,,,,,,,
38,9/8/1966,0.000,0.871,9,2.750,0.871,0.000,1.879,0.000,0.000,105.649,2.500,1.870,103.780,0.097,2.403,0.066,0.000,0.000,0.000,0.096,103.780,0.000,0.000,0.000,2.403,,,,,,,,,,,
39,9/9/1966,0.000,0.827,9,2.750,0.827,0.000,1.923,0.000,0.000,103.780,2.403,1.913,101.867,0.091,2.312,0.062,0.000,0.000,0.000,0.090,101.867,0.000,0.000,0.000,2.312,,,,,,,,,,,
40,9/10/1966,0.000,1.387,9,2.750,1.387,0.000,1.363,0.000,0.000,101.867,2.312,1.355,100.512,0.085,2.226,0.058,0.000,0.000,0.000,0.084,100.512,0.000,0.000,0.000,2.226,,,,,,,,,,,
41,9/11/1966,0.000,0.977,9,2.750,0.977,0.000,1.773,0.000,0.000,100.512,2.226,1.762,98.750,0.080,2.146,0.054,0.000,0.000,0.000,0.079,98.750,0.000,0.000,0.000,2.146,,,,,,,,,,,
42,9/12/1966,0.000,1.558,9,2.750,1.558,0.000,1.192,0.000,0.000,98.750,2.146,1.184,97.566,0.075,2.071,0.051,0.000,0.000,0.000,0.074,97.566,0.000,0.000,0.000,2.071,,,,,,,,,,,
43,9/13/1966,0.000,0.352,9,2.750,0.352,0.000,2.398,0.000,0.000,97.566,2.071,2.380,95.186,0.071,2.000,0.048,0.000,0.000,0.000,0.070,95.186,0.000,0.000,0.000,2.000,,,,,,,,,,,
44,9/14/1966,0.000,0.380,9,2.750,0.380,0.000,2.370,0.000,0.000,95.186,2.000,2.350,92.836,0.067,1.933,0.046,0.000,0.000,0.000,0.066,92.836,0.000,0.000,0.000,1.933,,,,,,,,,,,
45,9/15/1966,0.000,0.359,9,2.750,0.359,0.000,2.391,0.000,0.000,92.836,1.933,2.368,90.468,0.063,1.870,0.043,0.000,0.000,0.000,0.062,90.468,0.000,0.000,0.000,1.870,,,,,,,,,,,
46,9/16/1966,0.000,0.227,9,2.750,0.227,0.000,2.523,0.000,0.000,90.468,1.870,2.496,87.972,0.060,1.810,0.041,0.000,0.000,0.000,0.059,87.972,0.000,0.000,0.000,1.810,,,,,,,,,,,
47,9/17/1966,0.000,0.476,9,2.750,0.476,0.000,2.274,0.000,0.000,87.972,1.810,2.246,85.725,0.057,1.753,0.039,0.000,0.000,0.000,0.056,85.725,0.000,0.000,0.000,1.753,,,,,,,,,,,
48,9/18/1966,0.000,0.007,9,2.750,0.007,0.000,2.743,0.000,0.000,85.725,1.753,2.706,83.020,0.054,1.699,0.037,0.000,0.000,0.000,0.053,83.020,0.000,0.000,0.000,1.699,,,,,,,,,,,
49,9/19/1966,0.000,0.167,9,2.750,0.167,0.000,2.583,0.000,0.000,83.020,1.699,2.543,80.477,0.051,1.648,0.035,0.000,0.000,0.000,0.050,80.477,0.000,0.000,0.000,1.648,,,,,,,,,,,
50,9/20/1966,0.000,0.217,9,2.750,0.217,0.000,2.533,0.000,0.000,80.477,1.648,2.488,77.989,0.049,1.600,0.033,0.000,0.000,0.000,0.048,77.989,0.000,0.000,0.000,1.600,,,,,,,,,,,
