,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,4/1/1986,0.000,1.993,4,4.093,1.993,0.000,2.100,0.000,0.000,141.000,210.969,1.062,139.938,184.302,26.667,696.997,0.000,0.000,69.969,147.441,69.969,0.000,0.000,0.000,26.667,11275.062,233.365,35242.043,11041.698,7094.835,141.000,11.396,141.000,22.705,885.625,0.000
1,4/2/1986,0.000,8.418,4,4.093,4.093,4.325,0.000,0.000,0.757,69.969,62.408,0.000,69.969,24.205,38.203,91.538,3.568,3.568,34.984,19.364,38.553,0.000,0.000,0.000,38.203,,,,,,,,,,,
2,4/3/1986,0.000,2.057,4,4.093,2.057,0.000,2.036,0.000,0.000,38.553,57.301,0.357,38.196,20.995,36.307,79.398,0.000,0.000,19.098,16.796,19.098,0.000,0.000,0.000,36.307,,,,,,,,,,,
3,4/4/1986,0.000,1.887,4,4.093,1.887,0.000,2.206,0.000,0.000,19.098,45.755,0.201,18.897,14.429,31.326,54.568,0.000,0.000,9.449,11.543,9.449,0.000,0.000,0.000,31.326,,,,,,,,,,,
4,4/5/1986,0.000,0.104,4,4.093,0.104,0.000,3.989,0.000,0.000,9.449,35.959,0.184,9.264,9.657,26.302,36.521,0.000,0.000,4.632,7.725,4.632,0.000,0.000,0.000,26.302,,,,,,,,,,,
5,4/6/1986,0.000,0.184,4,4.093,0.184,0.000,3.909,0.000,0.000,4.632,28.573,0.089,4.543,6.583,21.990,24.896,0.000,0.000,2.271,5.266,2.271,0.000,0.000,0.000,21.990,,,,,,,,,,,
6,4/7/1986,0.000,3.295,4,4.093,3.295,0.000,0.798,0.000,0.000,2.271,23.121,0.009,2.262,4.626,18.495,17.494,0.000,0.000,1.131,3.701,1.131,0.000,0.000,0.000,18.495,,,,,,,,,,,
7,4/8/1986,0.000,24.286,4,4.093,4.093,20.193,0.000,0.000,0.057,1.131,19.118,0.000,1.131,3.370,15.749,12.743,20.136,20.136,0.566,2.696,20.701,0.000,0.000,0.000,15.749,,,,,,,,,,,
8,4/9/1986,0.000,5.236,4,4.093,4.093,1.143,0.000,0.000,0.059,20.701,26.158,0.000,20.701,5.682,20.476,21.489,1.084,1.084,10.351,4.546,11.435,0.000,0.000,0.000,20.476,,,,,,,,,,,
9,4/10/1986,0.000,5.394,4,4.093,4.093,1.301,0.000,0.000,0.037,11.435,26.231,0.000,11.435,5.708,20.522,21.588,1.264,1.264,5.717,4.567,6.981,0.000,0.000,0.000,20.522,,,,,,,,,,,
10,4/11/1986,0.000,7.406,4,4.093,4.093,3.313,0.000,0.000,0.058,6.981,24.071,0.000,6.981,4.947,19.124,18.707,3.255,3.255,3.491,3.957,6.746,0.000,0.000,0.000,19.124,,,,,,,,,,,
11,4/12/1986,0.000,0.383,4,4.093,0.383,0.000,3.710,0.000,0.000,6.746,22.435,0.123,6.623,4.399,18.036,16.638,0.000,0.000,3.311,3.519,3.311,0.000,0.000,0.000,18.036,,,,,,,,,,,
12,4/13/1986,0.000,1.784,4,4.093,1.784,0.000,2.309,0.000,0.000,3.311,19.673,0.038,3.273,3.534,16.139,13.365,0.000,0.000,1.637,2.827,1.637,0.000,0.000,0.000,16.139,,,,,,,,,,,
13,4/14/1986,0.000,10.466,4,4.093,4.093,6.373,0.000,0.000,0.026,1.637,16.983,0.000,1.637,2.766,14.217,10.461,6.347,6.347,0.818,2.213,7.165,0.000,0.000,0.000,14.217,,,,,,,,,,,
14,4/15/1986,0.000,7.033,4,4.093,4.093,2.940,0.000,0.000,0.053,7.165,17.852,0.000,7.165,3.006,14.846,11.368,2.887,2.887,3.583,2.405,6.470,0.000,0.000,0.000,14.846,,,,,,,,,,,
15,4/16/1986,0.000,4.075,4,4.093,4.075,0.000,0.018,0.000,0.000,6.470,18.081,0.001,6.469,3.070,15.011,11.612,0.000,0.000,3.235,2.456,3.235,0.000,0.000,0.000,15.011,,,,,,,,,,,
16,4/17/1986,0.000,3.624,4,4.093,3.624,0.000,0.469,0.000,0.000,3.235,16.624,0.008,3.227,2.669,13.955,10.095,0.000,0.000,1.614,2.135,1.614,0.000,0.000,0.000,13.955,,,,,,,,,,,
17,4/18/1986,0.000,1.243,4,4.093,1.243,0.000,2.850,0.000,0.000,1.614,14.750,0.023,1.591,2.187,12.563,8.270,0.000,0.000,0.795,1.750,0.795,0.000,0.000,0.000,12.563,,,,,,,,,,,
18,4/19/1986,0.000,0.048,4,4.093,0.048,0.000,4.045,0.000,0.000,0.795,12.953,0.016,0.779,1.761,11.192,6.660,0.000,0.000,0.390,1.409,0.390,0.000,0.000,0.000,11.192,,,,,,,,,,,
