data,vazao
1/1/1973,0.000
1/2/1973,0.000
1/3/1973,0.000
1/4/1973,0.000
1/5/1973,0.000
1/6/1973,0.000
1/7/1973,0.000
1/8/1973,0.000
1/9/1973,0.000
1/10/1973,0.000
1/11/1973,0.000
1/12/1973,0.000
1/13/1973,0.000
1/14/1973,0.000
1/15/1973,0.000
1/16/1973,0.000
1/17/1973,0.000
1/18/1973,0.000
1/19/1973,0.000
1/20/1973,0.000
1/21/1973,0.000
1/22/1973,0.000
1/23/1973,0.000
1/24/1973,0.000
1/25/1973,0.000
1/26/1973,0.000
1/27/1973,0.000
1/28/1973,0.000
1/29/1973,0.000
1/30/1973,0.000
1/31/1973,0.000
2/1/1973,0.000
2/2/1973,0.000
2/3/1973,0.000
2/4/1973,0.000
2/5/1973,0.000
2/6/1973,0.000
2/7/1973,0.000
2/8/1973,0.000
2/9/1973,0.000
2/10/1973,0.000
2/11/1973,0.000
2/12/1973,0.000
2/13/1973,0.000
2/14/1973,0.000
2/15/1973,0.000
2/16/1973,0.000
2/17/1973,0.000
2/18/1973,0.000
2/19/1973,0.000
2/20/1973,0.000
2/21/1973,0.000
2/22/1973,0.000
2/23/1973,0.000
2/24/1973,0.000
2/25/1973,0.000
2/26/1973,0.000
2/27/1973,0.000
2/28/1973,0.000
3/1/1973,0.999
3/2/1973,1.013
3/3/1973,1.145
3/4/1973,1.059
3/5/1973,1.059
3/6/1973,1.093
3/7/1973,1.968
3/8/1973,2.838
3/9/1973,1.993
3/10/1973,1.252
3/11/1973,1.891
3/12/1973,4.840
3/13/1973,1.081
3/14/1973,2.412
3/15/1973,4.207
3/16/1973,21.551
3/17/1973,7.122
3/18/1973,2.371
3/19/1973,1.934
3/20/1973,1.416
3/21/1973,1.557
3/22/1973,1.724
3/23/1973,2.364
3/24/1973,5.269
3/25/1973,1.217
3/26/1973,2.235
3/27/1973,1.528
3/28/1973,1.722
3/29/1973,1.151
3/30/1973,1.177
3/31/1973,1.219
4/1/1973,1.138
4/2/1973,1.237
4/3/1973,1.235
4/4/1973,1.086
4/5/1973,1.265
4/6/1973,1.651
4/7/1973,1.202
4/8/1973,1.081
4/9/1973,1.446
4/10/1973,1.011
4/11/1973,1.154
4/12/1973,1.055
4/13/1973,1.791
4/14/1973,19.860
4/15/1973,19.054
4/16/1973,7.291
4/17/1973,1.640
4/18/1973,1.799
4/19/1973,1.715
4/20/1973,1.159
4/21/1973,1.948
4/22/1973,2.450
4/23/1973,2.913
4/24/1973,1.718
4/25/1973,1.256
4/26/1973,14.753
4/27/1973,10.525
4/28/1973,9.158
4/29/1973,29.223
4/30/1973,30.023
5/1/1973,32.668
5/2/1973,7.688
5/3/1973,2.438
5/4/1973,1.976
5/5/1973,1.536
5/6/1973,1.436
5/7/1973,1.361
5/8/1973,1.389
5/9/1973,1.169
5/10/1973,2.073
5/11/1973,2.767
5/12/1973,1.413
5/13/1973,1.161
5/14/1973,1.017
5/15/1973,1.112
5/16/1973,1.039
5/17/1973,1.065
5/18/1973,1.014
5/19/1973,1.068
5/20/1973,0.978
5/21/1973,1.022
5/22/1973,1.001
5/23/1973,1.553
5/24/1973,1.253
5/25/1973,1.092
5/26/1973,1.165
5/27/1973,1.667
5/28/1973,1.550
5/29/1973,1.109
5/30/1973,1.058
5/31/1973,1.209
6/1/1973,0.992
6/2/1973,1.102
6/3/1973,1.109
6/4/1973,1.483
6/5/1973,1.040
6/6/1973,1.158
6/7/1973,0.000
6/8/1973,1.099
6/9/1973,1.162
6/10/1973,1.169
6/11/1973,1.977
6/12/1973,3.003
6/13/1973,1.664
6/14/1973,1.033
6/15/1973,1.298
6/16/1973,1.326
6/17/1973,1.231
6/18/1973,1.229
6/19/1973,1.104
6/20/1973,1.075
6/21/1973,1.224
6/22/1973,1.149
6/23/1973,1.124
6/24/1973,1.126
6/25/1973,3.766
6/26/1973,3.779
6/27/1973,1.723
6/28/1973,1.075
6/29/1973,1.115
6/30/1973,1.092
