data,chuva_media
1/1/1973,0.000
1/2/1973,0.289
1/3/1973,2.143
1/4/1973,1.281
1/5/1973,0.418
1/6/1973,0.816
1/7/1973,5.587
1/8/1973,1.026
1/9/1973,4.460
1/10/1973,0.368
1/11/1973,0.000
1/12/1973,0.000
1/13/1973,1.152
1/14/1973,0.264
1/15/1973,1.134
1/16/1973,0.781
1/17/1973,0.000
1/18/1973,0.000
1/19/1973,0.012
1/20/1973,0.368
1/21/1973,0.000
1/22/1973,0.070
1/23/1973,0.011
1/24/1973,0.760
1/25/1973,0.508
1/26/1973,0.945
1/27/1973,0.163
1/28/1973,3.825
1/29/1973,0.384
1/30/1973,0.377
1/31/1973,0.348
2/1/1973,0.000
2/2/1973,0.000
2/3/1973,0.096
2/4/1973,0.040
2/5/1973,0.000
2/6/1973,0.016
2/7/1973,0.232
2/8/1973,0.025
2/9/1973,0.091
2/10/1973,0.293
2/11/1973,0.054
2/12/1973,0.235
2/13/1973,0.063
2/14/1973,0.000
2/15/1973,0.000
2/16/1973,0.000
2/17/1973,0.571
2/18/1973,0.070
2/19/1973,0.570
2/20/1973,1.795
2/21/1973,0.433
2/22/1973,0.106
2/23/1973,0.670
2/24/1973,4.860
2/25/1973,7.067
2/26/1973,6.741
2/27/1973,0.227
2/28/1973,0.168
3/1/1973,0.082
3/2/1973,0.418
3/3/1973,1.867
3/4/1973,1.760
3/5/1973,1.599
3/6/1973,1.855
3/7/1973,9.334
3/8/1973,0.033
3/9/1973,3.516
3/10/1973,3.861
3/11/1973,9.027
3/12/1973,5.528
3/13/1973,2.211
3/14/1973,4.866
3/15/1973,15.411
3/16/1973,6.813
3/17/1973,2.955
3/18/1973,0.145
3/19/1973,0.907
3/20/1973,0.235
3/21/1973,1.154
3/22/1973,4.834
3/23/1973,8.435
3/24/1973,6.414
3/25/1973,0.353
3/26/1973,2.682
3/27/1973,3.127
3/28/1973,5.558
3/29/1973,1.714
3/30/1973,0.663
3/31/1973,0.871
4/1/1973,0.193
4/2/1973,0.203
4/3/1973,0.780
4/4/1973,0.116
4/5/1973,1.534
4/6/1973,5.763
4/7/1973,1.734
4/8/1973,0.190
4/9/1973,3.590
4/10/1973,0.682
4/11/1973,0.509
4/12/1973,0.388
4/13/1973,6.783
4/14/1973,14.099
4/15/1973,9.157
4/16/1973,5.227
4/17/1973,2.180
4/18/1973,3.682
4/19/1973,4.608
4/20/1973,1.245
4/21/1973,4.246
4/22/1973,7.574
4/23/1973,1.977
4/24/1973,1.612
4/25/1973,1.452
4/26/1973,6.663
4/27/1973,5.751
4/28/1973,10.988
4/29/1973,13.446
4/30/1973,4.183
5/1/1973,2.556
5/2/1973,3.292
5/3/1973,0.583
5/4/1973,1.195
5/5/1973,1.318
5/6/1973,1.567
5/7/1973,1.055
5/8/1973,2.364
5/9/1973,1.443
5/10/1973,7.576
5/11/1973,2.330
5/12/1973,1.811
5/13/1973,1.645
5/14/1973,0.158
5/15/1973,0.209
5/16/1973,0.049
5/17/1973,0.302
5/18/1973,0.242
5/19/1973,0.705
5/20/1973,0.233
5/21/1973,0.360
5/22/1973,0.442
5/23/1973,0.811
5/24/1973,1.508
5/25/1973,1.140
5/26/1973,1.751
5/27/1973,6.209
5/28/1973,3.026
5/29/1973,1.060
5/30/1973,0.572
5/31/1973,2.086
6/1/1973,0.965
6/2/1973,1.046
6/3/1973,1.340
6/4/1973,4.891
6/5/1973,1.767
6/6/1973,1.625
6/7/1973,0.119
6/8/1973,0.866
