,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,0.0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,1/1/1973,0.000,0.000,1.000,5.097,0.0,0.0,5.097,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8588.90300000004,1149.8372968149138,23868.422999999602,7439.065703185126,5977.647606859083,0.0,0.0,0.0,0.08261308434318237,2290.2795727770713,-0.000643984097791872
2,1/2/1973,0.000,0.289,1.000,5.097,0.289,0.0,4.808000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
3,1/3/1973,0.000,2.143,1.000,5.097,2.143,0.0,2.9540000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
4,1/4/1973,0.000,1.281,1.000,5.097,1.281,0.0,3.8160000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
5,1/5/1973,0.000,0.418,1.000,5.097,0.418,0.0,4.679,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
6,1/6/1973,0.000,0.816,1.000,5.097,0.816,0.0,4.281000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
7,1/7/1973,0.000,5.587,1.000,5.097,5.097,0.4899999999999993,0.0,0,0.031055168184627502,0.0,0.031055168184627502,0.0,0.0,0.00012609085114250598,0.030929077333484996,0.00028828004782766026,0.4589448318153718,0.4589448318153718,0.0,0.00011038802419817573,0.4589448318153718,0,0.0,0,0.030929077333484996,,,,,,,,,,,
8,1/8/1973,0.000,1.026,1.000,5.097,1.026,0.0,4.071000000000001,0.0,0.0,0.4589448318153718,0.030929077333484996,0.4589448318153718,0.0,0.00012523874523628364,0.030803838588248714,0.00028360027009649444,0.0,0.0,0.0,0.00010979082923845898,0.0,0,0.0,0,0.030803838588248714,,,,,,,,,,,
9,1/9/1973,0.000,4.460,1.000,5.097,4.46,0.0,0.6370000000000005,0.0,0.0,0.0,0.030803838588248714,0.0,0.0,0.0001243946871103648,0.03067944390113835,0.0002789794088890539,0.0,0.0,0.0,0.00010919847283252039,0.0,0,0.0,0,0.03067944390113835,,,,,,,,,,,
10,1/10/1973,0.000,0.368,1.000,5.097,0.368,0.0,4.729,0.0,0.0,0.0,0.03067944390113835,0.0,0.0,0.00012355857923079084,0.030555885321907558,0.0002744166314487031,0.0,0.0,0.0,0.00010861090280726978,0.0,0,0.0,0,0.030555885321907558,,,,,,,,,,,
