,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,1/1/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,141.000,141.818,2.717,138.283,95.636,46.182,351.146,0.000,0.000,0.818,76.509,137.465,0.000,0.000,0.000,46.182,4633.718,541.903,11911.566,4091.814,4056.308,141.000,26.943,141.000,3.048,165.884,0.000
1,1/2/1973,0.000,0.289,1,5.097,0.289,0.000,4.808,0.000,0.000,137.465,46.980,2.520,134.945,15.168,31.812,55.692,0.000,0.000,0.798,12.134,134.147,0.000,0.000,0.000,31.812,,,,,,,,,,,
2,1/3/1973,0.000,2.143,1,5.097,2.143,0.000,2.954,0.000,0.000,134.147,32.597,1.523,132.625,8.248,24.348,30.285,0.000,0.000,0.784,6.599,131.840,0.000,0.000,0.000,24.348,,,,,,,,,,,
3,1/4/1973,0.000,1.281,1,5.097,1.281,0.000,3.816,0.000,0.000,131.840,25.117,1.944,129.897,5.342,19.775,19.613,0.000,0.000,0.768,4.273,129.128,0.000,0.000,0.000,19.775,,,,,,,,,,,
4,1/5/1973,0.000,0.418,1,5.097,0.418,0.000,4.679,0.000,0.000,129.128,20.525,2.349,126.779,3.815,16.710,14.009,0.000,0.000,0.750,3.052,126.029,0.000,0.000,0.000,16.710,,,,,,,,,,,
5,1/6/1973,0.000,0.816,1,5.097,0.816,0.000,4.281,0.000,0.000,126.029,17.442,2.114,123.915,2.909,14.533,10.681,0.000,0.000,0.733,2.327,123.182,0.000,0.000,0.000,14.533,,,,,,,,,,,
6,1/7/1973,0.000,5.587,1,5.097,5.097,0.490,0.000,0.000,0.151,123.182,15.413,0.000,123.182,2.367,13.046,8.691,0.339,0.339,0.729,1.894,122.793,0.000,0.000,0.000,13.046,,,,,,,,,,,
7,1/8/1973,0.000,1.026,1,5.097,1.026,0.000,4.071,0.000,0.000,122.793,13.760,1.974,120.819,1.959,11.801,7.194,0.000,0.000,0.715,1.568,120.105,0.000,0.000,0.000,11.801,,,,,,,,,,,
8,1/9/1973,0.000,4.460,1,5.097,4.460,0.000,0.637,0.000,0.000,120.105,12.510,0.304,119.801,1.672,10.838,6.138,0.000,0.000,0.709,1.337,119.092,0.000,0.000,0.000,10.838,,,,,,,,,,,
9,1/10/1973,0.000,0.368,1,5.097,0.368,0.000,4.729,0.000,0.000,119.092,11.529,2.243,116.849,1.459,10.070,5.357,0.000,0.000,0.691,1.167,116.158,0.000,0.000,0.000,10.070,,,,,,,,,,,
10,1/11/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,116.158,10.743,2.375,113.782,1.297,9.446,4.762,0.000,0.000,0.673,1.038,113.109,0.000,0.000,0.000,9.446,,,,,,,,,,,
11,1/12/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,113.109,10.101,2.330,110.779,1.170,8.931,4.298,0.000,0.000,0.655,0.936,110.124,0.000,0.000,0.000,8.931,,,,,,,,,,,
12,1/13/1973,0.000,1.152,1,5.097,1.152,0.000,3.945,0.000,0.000,110.124,9.572,1.769,108.355,1.070,8.502,3.929,0.000,0.000,0.641,0.856,107.715,0.000,0.000,0.000,8.502,,,,,,,,,,,
13,1/14/1973,0.000,0.264,1,5.097,0.264,0.000,4.833,0.000,0.000,107.715,9.126,2.132,105.583,0.988,8.138,3.629,0.000,0.000,0.624,0.791,104.958,0.000,0.000,0.000,8.138,,,,,,,,,,,
14,1/15/1973,0.000,1.134,1,5.097,1.134,0.000,3.963,0.000,0.000,104.958,8.748,1.715,103.243,0.921,7.827,3.382,0.000,0.000,0.611,0.737,102.633,0.000,0.000,0.000,7.827,,,,,,,,,,,
15,1/16/1973,0.000,0.781,1,5.097,0.781,0.000,4.316,0.000,0.000,102.633,8.424,1.837,100.796,0.865,7.559,3.175,0.000,0.000,0.596,0.692,100.200,0.000,0.000,0.000,7.559,,,,,,,,,,,
16,1/17/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,100.200,8.139,2.130,98.070,0.817,7.322,2.998,0.000,0.000,0.580,0.653,97.490,0.000,0.000,0.000,7.322,,,,,,,,,,,
17,1/18/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,97.490,7.887,2.087,95.403,0.775,7.112,2.845,0.000,0.000,0.564,0.620,94.839,0.000,0.000,0.000,7.112,,,,,,,,,,,
18,1/19/1973,0.000,0.012,1,5.097,0.012,0.000,5.085,0.000,0.000,94.839,7.661,2.038,92.801,0.738,6.922,2.710,0.000,0.000,0.549,0.591,92.252,0.000,0.000,0.000,6.922,,,,,,,,,,,
19,1/20/1973,0.000,0.368,1,5.097,0.368,0.000,4.729,0.000,0.000,92.252,7.457,1.856,90.396,0.706,6.751,2.591,0.000,0.000,0.535,0.565,89.861,0.000,0.000,0.000,6.751,,,,,,,,,,,
20,1/21/1973,0.000,0.000,1,5.097,0.000,0.000,5.097,0.000,0.000,89.861,7.271,1.960,87.902,0.677,6.594,2.485,0.000,0.000,0.520,0.541,87.382,0.000,0.000,0.000,6.594,,,,,,,,,,,
21,1/22/1973,0.000,0.070,1,5.097,0.070,0.000,5.027,0.000,0.000,87.382,7.100,1.891,85.490,0.650,6.450,2.388,0.000,0.000,0.506,0.520,84.985,0.000,0.000,0.000,6.450,,,,,,,,,,,
22,1/23/1973,0.000,0.011,1,5.097,0.011,0.000,5.086,0.000,0.000,84.985,6.941,1.872,83.113,0.626,6.315,2.300,0.000,0.000,0.492,0.501,82.621,0.000,0.000,0.000,6.315,,,,,,,,,,,
23,1/24/1973,0.000,0.760,1,5.097,0.760,0.000,4.337,0.000,0.000,82.621,6.794,1.561,81.060,0.604,6.190,2.219,0.000,0.000,0.479,0.484,80.581,0.000,0.000,0.000,6.190,,,,,,,,,,,
24,1/25/1973,0.000,0.508,1,5.097,0.508,0.000,4.589,0.000,0.000,80.581,6.657,1.619,78.961,0.584,6.073,2.145,0.000,0.000,0.467,0.467,78.494,0.000,0.000,0.000,6.073,,,,,,,,,,,
25,1/26/1973,0.000,0.945,1,5.097,0.945,0.000,4.152,0.000,0.000,78.494,6.529,1.435,77.059,0.566,5.963,2.076,0.000,0.000,0.456,0.452,76.604,0.000,0.000,0.000,5.963,,,,,,,,,,,
26,1/27/1973,0.000,0.163,1,5.097,0.163,0.000,4.934,0.000,0.000,76.604,6.406,1.672,74.932,0.548,5.858,2.012,0.000,0.000,0.443,0.438,74.489,0.000,0.000,0.000,5.858,,,,,,,,,,,
27,1/28/1973,0.000,3.825,1,5.097,3.825,0.000,1.272,0.000,0.000,74.489,6.296,0.421,74.067,0.532,5.764,1.955,0.000,0.000,0.438,0.426,73.629,0.000,0.000,0.000,5.764,,,,,,,,,,,
28,1/29/1973,0.000,0.384,1,5.097,0.384,0.000,4.713,0.000,0.000,73.629,6.190,1.546,72.083,0.518,5.673,1.900,0.000,0.000,0.426,0.414,71.657,0.000,0.000,0.000,5.673,,,,,,,,,,,
29,1/30/1973,0.000,0.377,1,5.097,0.377,0.000,4.720,0.000,0.000,71.657,6.088,1.515,70.142,0.503,5.584,1.848,0.000,0.000,0.415,0.403,69.727,0.000,0.000,0.000,5.584,,,,,,,,,,,
30,1/31/1973,0.000,0.348,1,5.097,0.348,0.000,4.749,0.000,0.000,69.727,5.988,1.490,68.237,0.490,5.498,1.798,0.000,0.000,0.404,0.392,67.833,0.000,0.000,0.000,5.498,,,,,,,,,,,
31,2/1/1973,0.000,0.000,2,4.816,0.000,0.000,4.816,0.000,0.000,67.833,5.891,1.477,66.356,0.476,5.414,1.749,0.000,0.000,0.392,0.381,65.963,0.000,0.000,0.000,5.414,,,,,,,,,,,
32,2/2/1973,0.000,0.000,2,4.816,0.000,0.000,4.816,0.000,0.000,65.963,5.796,1.443,64.520,0.464,5.332,1.703,0.000,0.000,0.382,0.371,64.138,0.000,0.000,0.000,5.332,,,,,,,,,,,
33,2/3/1973,0.000,0.096,2,4.816,0.096,0.000,4.720,0.000,0.000,64.138,5.703,1.382,62.756,0.451,5.252,1.658,0.000,0.000,0.371,0.361,62.385,0.000,0.000,0.000,5.252,,,,,,,,,,,
34,2/4/1973,0.000,0.040,2,4.816,0.040,0.000,4.776,0.000,0.000,62.385,5.613,1.366,61.019,0.440,5.173,1.614,0.000,0.000,0.361,0.352,60.658,0.000,0.000,0.000,5.173,,,,,,,,,,,
35,2/5/1973,0.000,0.000,2,4.816,0.000,0.000,4.816,0.000,0.000,60.658,5.524,1.345,59.313,0.428,5.096,1.572,0.000,0.000,0.351,0.342,58.962,0.000,0.000,0.000,5.096,,,,,,,,,,,
36,2/6/1973,0.000,0.016,2,4.816,0.016,0.000,4.800,0.000,0.000,58.962,5.437,1.309,57.653,0.417,5.020,1.531,0.000,0.000,0.341,0.333,57.312,0.000,0.000,0.000,5.020,,,,,,,,,,,
37,2/7/1973,0.000,0.232,2,4.816,0.232,0.000,4.584,0.000,0.000,57.312,5.352,1.220,56.091,0.406,4.946,1.491,0.000,0.000,0.332,0.325,55.760,0.000,0.000,0.000,4.946,,,,,,,,,,,
38,2/8/1973,0.000,0.025,2,4.816,0.025,0.000,4.791,0.000,0.000,55.760,5.268,1.246,54.514,0.396,4.873,1.452,0.000,0.000,0.322,0.316,54.191,0.000,0.000,0.000,4.873,,,,,,,,,,,
39,2/9/1973,0.000,0.091,2,4.816,0.091,0.000,4.725,0.000,0.000,54.191,5.186,1.199,52.992,0.385,4.801,1.415,0.000,0.000,0.313,0.308,52.679,0.000,0.000,0.000,4.801,,,,,,,,,,,
40,2/10/1973,0.000,0.293,2,4.816,0.293,0.000,4.523,0.000,0.000,52.679,5.106,1.120,51.559,0.375,4.730,1.378,0.000,0.000,0.305,0.300,51.254,0.000,0.000,0.000,4.730,,,,,,,,,,,
41,2/11/1973,0.000,0.054,2,4.816,0.054,0.000,4.762,0.000,0.000,51.254,5.027,1.152,50.103,0.366,4.661,1.343,0.000,0.000,0.296,0.293,49.806,0.000,0.000,0.000,4.661,,,,,,,,,,,
