,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,4/8/1967,2.641,5.884,4,4.164,4.164,1.720,0.000,0.000,0.606,141.000,143.705,0.000,141.000,143.705,0.000,38.946,1.114,1.114,2.099,129.840,140.015,0.000,0.000,0.000,0.000,16542.432,3922.467,22192.559,12619.965,9158.663,141.000,52.928,141.000,5.637,861.099,-1317.729
1,4/9/1967,1.676,2.119,4,4.164,2.119,0.000,2.045,0.000,0.000,140.015,2.081,0.243,139.772,0.136,1.944,0.037,0.000,0.000,2.081,0.123,137.691,0.000,0.000,0.000,1.944,,,,,,,,,,,
2,4/10/1967,1.319,1.208,4,4.164,1.208,0.000,2.956,0.000,0.000,137.691,3.989,0.346,137.345,0.403,3.586,0.109,0.000,0.000,2.044,0.364,135.301,0.000,0.000,0.000,3.586,,,,,,,,,,,
3,4/11/1967,0.802,0.906,4,4.164,0.906,0.000,3.258,0.000,0.000,135.301,5.595,0.375,134.926,0.708,4.887,0.192,0.000,0.000,2.008,0.639,132.917,0.000,0.000,0.000,4.887,,,,,,,,,,,
4,4/12/1967,1.492,5.010,4,4.164,4.164,0.846,0.000,0.000,0.281,132.917,7.147,0.000,132.917,1.064,6.082,0.288,0.565,0.565,1.979,0.962,131.503,0.000,0.000,0.000,6.082,,,,,,,,,,,
5,4/13/1967,0.739,0.731,4,4.164,0.731,0.000,3.433,0.000,0.000,131.503,8.034,0.385,131.119,1.294,6.741,0.351,0.000,0.000,1.952,1.169,129.167,0.000,0.000,0.000,6.741,,,,,,,,,,,
6,4/14/1967,0.678,1.340,4,4.164,1.340,0.000,2.824,0.000,0.000,129.167,8.659,0.311,128.856,1.465,7.193,0.397,0.000,0.000,1.918,1.324,126.937,0.000,0.000,0.000,7.193,,,,,,,,,,,
7,4/15/1967,0.416,0.489,4,4.164,0.489,0.000,3.675,0.000,0.000,126.937,9.077,0.398,126.539,1.585,7.492,0.430,0.000,0.000,1.884,1.432,124.655,0.000,0.000,0.000,7.492,,,,,,,,,,,
8,4/16/1967,0.291,1.477,4,4.164,1.477,0.000,2.687,0.000,0.000,124.655,9.343,0.286,124.369,1.663,7.680,0.451,0.000,0.000,1.851,1.503,122.518,0.000,0.000,0.000,7.680,,,,,,,,,,,
9,4/17/1967,1.492,13.367,4,4.164,4.164,9.203,0.000,0.000,2.819,122.518,12.322,0.000,122.518,2.638,9.684,0.715,6.384,6.384,1.824,2.384,127.078,0.000,0.000,0.000,9.684,,,,,,,,,,,
10,4/18/1967,10.740,16.870,4,4.164,4.164,12.706,0.000,0.000,4.037,127.078,15.612,0.000,127.078,3.914,11.698,1.061,8.669,8.669,1.892,3.536,133.856,0.000,0.000,0.000,11.698,,,,,,,,,,,
11,4/19/1967,3.277,9.327,4,4.164,4.164,5.163,0.000,0.000,1.728,133.856,15.418,0.000,133.856,3.833,11.585,1.039,3.435,3.435,1.993,3.464,135.299,0.000,0.000,0.000,11.585,,,,,,,,,,,
12,4/20/1967,4.135,5.657,4,4.164,4.164,1.493,0.000,0.000,0.505,135.299,14.104,0.000,135.299,3.304,10.799,0.896,0.988,0.988,2.014,2.986,134.273,0.000,0.000,0.000,10.799,,,,,,,,,,,
13,4/21/1967,1.972,2.999,4,4.164,2.999,0.000,1.165,0.000,0.000,134.273,12.796,0.133,134.139,2.810,9.986,0.761,0.000,0.000,1.997,2.539,132.143,0.000,0.000,0.000,9.986,,,,,,,,,,,
14,4/22/1967,0.802,0.283,4,4.164,0.283,0.000,3.881,0.000,0.000,132.143,11.947,0.437,131.706,2.506,9.441,0.679,0.000,0.000,1.961,2.264,129.745,0.000,0.000,0.000,9.441,,,,,,,,,,,
15,4/23/1967,0.330,0.271,4,4.164,0.271,0.000,3.893,0.000,0.000,129.745,11.366,0.431,129.314,2.306,9.060,0.625,0.000,0.000,1.925,2.084,127.389,0.000,0.000,0.000,9.060,,,,,,,,,,,
16,4/24/1967,0.291,0.644,4,4.164,0.644,0.000,3.520,0.000,0.000,127.389,10.950,0.383,127.006,2.167,8.783,0.587,0.000,0.000,1.891,1.958,125.116,0.000,0.000,0.000,8.783,,,,,,,,,,,
17,4/25/1967,0.291,0.598,4,4.164,0.598,0.000,3.566,0.000,0.000,125.116,10.640,0.381,124.734,2.066,8.574,0.560,0.000,0.000,1.857,1.867,122.878,0.000,0.000,0.000,8.574,,,,,,,,,,,
18,4/26/1967,0.291,0.964,4,4.164,0.964,0.000,3.200,0.000,0.000,122.878,10.398,0.336,122.541,1.988,8.410,0.539,0.000,0.000,1.824,1.796,120.717,0.000,0.000,0.000,8.410,,,,,,,,,,,
19,4/27/1967,4.929,9.624,4,4.164,4.164,5.460,0.000,0.000,1.648,120.717,11.855,0.000,120.717,2.474,9.381,0.670,3.812,3.812,1.797,2.235,122.732,0.000,0.000,0.000,9.381,,,,,,,,,,,
20,4/28/1967,5.267,7.624,4,4.164,4.164,3.460,0.000,0.000,1.062,122.732,12.270,0.000,122.732,2.620,9.650,0.710,2.398,2.398,1.827,2.367,123.304,0.000,0.000,0.000,9.650,,,,,,,,,,,
21,4/29/1967,6.543,9.554,4,4.164,4.164,5.390,0.000,0.000,1.662,123.304,13.147,0.000,123.304,2.939,10.208,0.797,3.728,3.728,1.835,2.656,125.197,0.000,0.000,0.000,10.208,,,,,,,,,,,
22,4/30/1967,3.014,4.906,4,4.164,4.164,0.742,0.000,0.000,0.232,125.197,12.303,0.000,125.197,2.632,9.672,0.713,0.510,0.510,1.864,2.378,123.843,0.000,0.000,0.000,9.672,,,,,,,,,,,
23,5/1/1967,2.763,4.425,5,3.567,3.567,0.858,0.000,0.000,0.266,123.843,11.781,0.000,123.843,2.448,9.333,0.663,0.592,0.592,1.843,2.212,122.592,0.000,0.000,0.000,9.333,,,,,,,,,,,
