,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
1,01/05/1984,2.929,9.061,1,6.52,6.52,2.541,0,0,0.008302916,3,0.008592311,0,3,2.27E-05,0.00856959,0.000164407,2.532697084,2.532697084,0.000289394,1.39E-05,5.532407689,0,0,0,0.00856959,24939.709,2612.929182,76645.99,22326.77982,20986.04241,3,6.963840523,0.008592311,0.362368247,1530.103038,-0.003017246
2,02/05/1984,2.402,6.666,2,5.69,5.69,0.976,0,0,0.006174518,5.532407689,0.015277791,0,5.532407689,5.93E-05,0.015218498,0.000429046,0.969825482,0.969825482,0.000533683,3.63E-05,6.501699489,0,0,0,0.015218498,,,,,,,,,,,
3,03/05/1984,2.082,26.362,3,5.9,5.9,20.462,0,0,1.070096292,6.501699489,1.085941975,0,6.501699489,0.072317452,1.013624524,0.523295463,19.39190371,19.39190371,0.000627185,0.044299399,25.89297601,0,0,0,1.013624524,,,,,,,,,,,
4,04/05/1984,103.816,7.877,4,5.23,5.23,2.647,0,0,0.337917458,25.89297601,1.354039742,0,25.89297601,0.104460259,1.249579483,0.755883655,2.309082542,2.309082542,0.002497761,0.063989073,28.19956079,0,0,0,1.249579483,,,,,,,,,,,
5,05/05/1984,32.339,31.51,5,5.11,5.11,26.4,0,0,6.96344106,28.19956079,8.215740808,0,28.19956079,2.108514683,6.107226125,15.25739834,19.43655894,19.43655894,0.002720265,1.291609851,47.63339947,0,0,0,6.107226125,,,,,,,,,,,
6,06/05/1984,86.025,4.655,6,4.59,4.59,0.065,0,0,0.025732296,47.63339947,6.137553368,0,47.63339947,1.296853393,4.840699975,9.384145612,0.039267704,0.039267704,0.004594946,0.794411645,47.66807223,0,0,0,4.840699975,,,,,,,,,,,
7,07/05/1984,32.339,0.632,7,4.95,0.632,0,4.318,0,0,47.66807223,4.84510371,2.016864504,45.65120772,0.874454485,3.970649225,6.32762983,0,0,0.004403735,0.535663345,45.64680399,0,0,0,3.970649225,,,,,,,,,,,
8,08/05/1984,15.568,9.12,8,5.33,5.33,3.79,0,0,1.44926519,45.64680399,5.424317724,0,45.64680399,1.05553818,4.368779544,7.637967431,2.34073481,2.34073481,0.00440331,0.646589527,47.98313549,0,0,0,4.368779544,,,,,,,,,,,
9,09/05/1984,13.396,4.061,9,5.54,4.061,0,1.479,0,0,47.98313549,4.373341273,0.694087803,47.28904768,0.73720402,3.636137253,5.334473353,0,0,0.004561729,0.451588022,47.28448596,0,0,0,3.636137253,,,,,,,,,,,
10,10/05/1984,13.396,0.982,10,6.06,0.982,0,5.078,0,0,47.28448596,3.640471067,2.358106944,44.92637901,0.543035289,3.097435778,3.92945128,0,0,0.004333814,0.332646358,44.9220452,0,0,0,3.097435778,,,,,,,,,,,
11,11/05/1984,13.396,11.21,11,6.21,6.21,5,0,0,1.885507889,44.9220452,4.987277063,0,44.9220452,0.917637683,4.06963938,6.640107263,3.114492111,3.114492111,0.004333396,0.562116015,48.03220391,0,0,0,4.06963938,,,,,,,,,,,
12,12/05/1984,201.954,6.624,12,6.62,6.62,0.004,0,0,0.001608906,48.03220391,4.075881703,0,48.03220391,0.655543272,3.42033843,4.743568975,0.002391094,0.002391094,0.004633417,0.401565213,48.02996159,0,0,0,3.42033843,,,,,,,,,,,
13,13/05/1984,29.091,11.02,5,5.11,5.11,5.91,0,0,2.549913235,48.02996159,5.974884866,0,48.02996159,1.240075085,4.734809781,8.973292761,3.360086765,3.360086765,0.004633201,0.759631037,51.38541515,0,0,0,4.734809781,,,,,,,,,,,
14,14/05/1984,35.771,4.381,5,5.11,4.381,0,0.729,0,0,51.38541515,4.739732023,0.359111419,51.02630373,0.842988649,3.896743374,6.099940267,0,0,0.004922242,0.516388362,51.02138149,0,0,0,3.896743374,,,,,,,,,,,
15,15/05/1984,20.44,1.088,5,5.11,1.088,0,4.022,0,0,51.02138149,3.901474967,1.971437928,49.04994356,0.609462218,3.292012749,4.410122401,0,0,0.004731593,0.373337407,49.04521197,0,0,0,3.292012749,,,,,,,,,,,
16,16/05/1984,13.396,1.456,5,5.11,1.456,0,3.654,0,0,49.04521197,3.296575862,1.741809136,47.30340283,0.460260676,2.836315186,3.330486871,0,0,0.004563113,0.28194123,47.29883972,0,0,0,2.836315186,,,,,,,,,,,
17,17/05/1984,15.568,5.185,5,5.11,5.11,0.075,0,0,0.029279662,47.29883972,2.870157521,0,47.29883972,0.365377361,2.504780161,2.64390283,0.045720338,0.045720338,0.004562673,0.223818692,47.33999739,0,0,0,2.504780161,,,,,,,,,,,
