,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,01/05/1984,2.929,9.061,1,6.520,6.520,2.541,0.000,0.000,0.896,141.000,212.396,0.000,141.000,161.788,50.608,1361.309,1.645,1.645,70.500,129.430,72.145,0.000,0.000,0.000,50.608,15726.793,977.000,45965.941,14749.793,9129.684,141.000,0.000,141.000,1.323,1375.558,0.001
1,02/05/1984,2.402,6.666,2,5.690,5.690,0.976,0.000,0.000,0.176,72.145,86.857,0.000,72.145,36.451,50.406,306.703,0.800,0.800,36.073,29.161,36.873,0.000,0.000,0.000,50.406,,,,,,,,,,,
2,03/05/1984,2.082,26.362,3,5.900,5.900,20.462,0.000,0.000,1.886,36.873,70.728,0.000,36.873,25.884,44.845,217.789,18.576,18.576,18.436,20.707,37.012,0.000,0.000,0.000,44.845,,,,,,,,,,,
3,04/05/1984,103.816,7.877,4,5.230,5.230,2.647,0.000,0.000,0.245,37.012,63.596,0.000,37.012,21.681,41.915,182.429,2.402,2.402,18.506,17.345,20.908,0.000,0.000,0.000,41.915,,,,,,,,,,,
4,05/05/1984,32.339,31.510,5,5.110,5.110,26.400,0.000,0.000,1.380,20.908,53.749,0.000,20.908,16.380,37.369,137.824,25.020,25.020,10.454,13.104,35.474,0.000,0.000,0.000,37.369,,,,,,,,,,,
5,06/05/1984,86.025,4.655,6,4.590,4.590,0.065,0.000,0.000,0.006,35.474,55.111,0.000,35.474,17.078,38.033,143.697,0.059,0.059,17.737,13.662,17.796,0.000,0.000,0.000,38.033,,,,,,,,,,,
6,07/05/1984,32.339,0.632,7,4.950,0.632,0.000,4.318,0.000,0.000,17.796,46.748,0.368,17.429,12.981,33.767,109.223,0.000,0.000,8.714,10.385,8.714,0.000,0.000,0.000,33.767,,,,,,,,,,,
7,08/05/1984,15.568,9.120,8,5.330,5.330,3.790,0.000,0.000,0.083,8.714,38.207,0.000,8.714,9.274,28.933,78.033,3.707,3.707,4.357,7.419,8.065,0.000,0.000,0.000,28.933,,,,,,,,,,,
8,09/05/1984,13.396,4.061,9,5.540,4.061,0.000,1.479,0.000,0.000,8.065,32.936,0.058,8.006,7.241,25.694,60.929,0.000,0.000,4.003,5.793,4.003,0.000,0.000,0.000,25.694,,,,,,,,,,,
9,10/05/1984,13.396,0.982,10,6.060,0.982,0.000,5.078,0.000,0.000,4.003,27.646,0.101,3.902,5.409,22.237,45.508,0.000,0.000,1.951,4.327,1.951,0.000,0.000,0.000,22.237,,,,,,,,,,,
10,11/05/1984,13.396,11.210,11,6.210,6.210,5.000,0.000,0.000,0.024,1.951,23.237,0.000,1.951,4.049,19.188,34.068,4.976,4.976,0.976,3.239,5.951,0.000,0.000,0.000,19.188,,,,,,,,,,,
11,12/05/1984,201.954,6.624,12,6.620,6.620,0.004,0.000,0.000,0.000,5.951,22.164,0.000,5.951,3.742,18.422,31.486,0.004,0.004,2.976,2.994,2.980,0.000,0.000,0.000,18.422,,,,,,,,,,,
12,13/05/1984,29.091,11.020,5,5.110,5.110,5.910,0.000,0.000,0.044,2.980,19.956,0.000,2.980,3.142,16.814,26.433,5.866,5.866,1.490,2.513,7.356,0.000,0.000,0.000,16.814,,,,,,,,,,,
13,14/05/1984,35.771,4.381,5,5.110,4.381,0.000,0.729,0.000,0.000,7.356,20.479,0.026,7.329,3.280,17.199,27.599,0.000,0.000,3.665,2.624,3.665,0.000,0.000,0.000,17.199,,,,,,,,,,,
14,15/05/1984,20.440,1.088,5,5.110,1.088,0.000,4.022,0.000,0.000,3.665,18.995,0.073,3.592,2.893,16.101,24.346,0.000,0.000,1.796,2.315,1.796,0.000,0.000,0.000,16.101,,,,,,,,,,,
15,16/05/1984,13.396,1.456,5,5.110,1.456,0.000,3.654,0.000,0.000,1.796,16.983,0.033,1.763,2.401,14.582,20.202,0.000,0.000,0.882,1.921,0.882,0.000,0.000,0.000,14.582,,,,,,,,,,,
16,17/05/1984,15.568,5.185,5,5.110,5.110,0.075,0.000,0.000,0.000,0.882,15.023,0.000,0.882,1.957,13.066,16.468,0.075,0.075,0.441,1.566,0.516,0.000,0.000,0.000,13.066,,,,,,,,,,,
17,18/05/1984,29.091,9.885,5,5.110,5.110,4.775,0.000,0.000,0.006,0.516,13.330,0.000,0.516,1.603,11.726,13.492,4.769,4.769,0.258,1.283,5.027,0.000,0.000,0.000,11.726,,,,,,,,,,,
18,19/05/1984,15.568,1.436,5,5.110,1.436,0.000,3.674,0.000,0.000,5.027,14.194,0.091,4.935,1.780,12.413,14.981,0.000,0.000,2.468,1.424,2.468,0.000,0.000,0.000,12.413,,,,,,,,,,,
19,20/05/1984,9.570,4.858,5,5.110,4.858,0.000,0.252,0.000,0.000,2.468,13.646,0.003,2.465,1.667,11.978,14.029,0.000,0.000,1.232,1.334,1.232,0.000,0.000,0.000,11.978,,,,,,,,,,,
20,21/05/1984,15.568,17.482,5,5.110,5.110,12.372,0.000,0.000,0.038,1.232,12.633,0.000,1.232,1.466,11.166,12.337,12.334,12.334,0.616,1.173,12.950,0.000,0.000,0.000,11.166,,,,,,,,,,,
21,22/05/1984,23.143,14.647,5,5.110,5.110,9.537,0.000,0.000,0.309,12.950,17.950,0.000,12.950,2.633,15.317,22.156,9.228,9.228,6.475,2.107,15.703,0.000,0.000,0.000,15.317,,,,,,,,,,,
22,23/05/1984,26.027,5.889,5,5.110,5.110,0.779,0.000,0.000,0.031,15.703,23.199,0.000,15.703,4.038,19.161,33.976,0.748,0.748,7.852,3.230,8.600,0.000,0.000,0.000,19.161,,,,,,,,,,,
23,24/05/1984,23.143,9.408,5,5.110,5.110,4.298,0.000,0.000,0.092,8.600,23.554,0.000,8.600,4.141,19.412,34.845,4.206,4.206,4.300,3.313,8.506,0.000,0.000,0.000,19.412,,,,,,,,,,,
24,25/05/1984,47.185,6.109,5,5.110,5.110,0.999,0.000,0.000,0.021,8.506,23.686,0.000,8.506,4.180,19.506,35.173,0.978,0.978,4.253,3.344,5.231,0.000,0.000,0.000,19.506,,,,,,,,,,,
25,26/05/1984,26.027,2.384,5,5.110,2.384,0.000,2.726,0.000,0.000,5.231,22.086,0.070,5.160,3.720,18.366,31.303,0.000,0.000,2.580,2.976,2.580,0.000,0.000,0.000,18.366,,,,,,,,,,,
26,27/05/1984,17.916,0.000,5,5.110,0.000,0.000,5.110,0.000,0.000,2.580,19.623,0.065,2.515,3.055,16.568,25.704,0.000,0.000,1.257,2.444,1.257,0.000,0.000,0.000,16.568,,,,,,,,,,,
27,28/05/1984,15.568,0.000,5,5.110,0.000,0.000,5.110,0.000,0.000,1.257,17.181,0.032,1.225,2.448,14.733,20.597,0.000,0.000,0.613,1.958,0.613,0.000,0.000,0.000,14.733,,,,,,,,,,,
28,29/05/1984,9.225,0.154,5,5.110,0.154,0.000,4.956,0.000,0.000,0.613,15.032,0.015,0.597,1.959,13.073,16.484,0.000,0.000,0.299,1.567,0.299,0.000,0.000,0.000,13.073,,,,,,,,,,,
29,30/05/1984,8.231,1.001,5,5.110,1.001,0.000,4.109,0.000,0.000,0.299,13.219,0.006,0.293,1.581,11.638,13.306,0.000,0.000,0.146,1.265,0.146,0.000,0.000,0.000,11.638,,,,,,,,,,,
30,31/05/1984,8.231,0.000,5,5.110,0.000,0.000,5.110,0.000,0.000,0.146,11.709,0.004,0.143,1.292,10.417,10.870,0.000,0.000,0.071,1.034,0.071,0.000,0.000,0.000,10.417,,,,,,,,,,,
31,01/06/1984,8.231,9.705,1,6.520,6.520,3.185,0.000,0.000,0.001,0.071,10.453,0.000,0.071,1.069,9.384,8.998,3.184,3.184,0.036,0.855,3.220,0.000,0.000,0.000,9.384,,,,,,,,,,,
