data,chuva_media
05/03/1969,2.171
05/04/1969,7.582
05/05/1969,8.568
05/06/1969,2.631
05/07/1969,1.920
05/08/1969,2.274
05/09/1969,4.685
05/10/1969,4.188
05/11/1969,2.049
05/12/1969,12.330
05/13/1969,3.928
05/14/1969,1.273
05/15/1969,4.439
05/16/1969,4.342
05/17/1969,5.465
05/18/1969,2.462
05/19/1969,1.056
05/20/1969,6.401
05/21/1969,8.611
05/22/1969,6.188
05/23/1969,1.782
05/24/1969,6.824
05/25/1969,1.398
05/26/1969,6.367
05/27/1969,4.128
05/28/1969,3.676
05/29/1969,2.407
05/30/1969,3.918
05/31/1969,9.470
06/01/1969,2.624
06/02/1969,1.152
06/03/1969,0.000
06/04/1969,0.000
06/05/1969,0.002
06/06/1969,0.077
06/07/1969,0.603
06/08/1969,8.305
06/09/1969,28.943
06/10/1969,8.887
06/11/1969,1.183
06/12/1969,1.170
06/13/1969,1.422
06/14/1969,5.181
06/15/1969,9.932
06/16/1969,2.877
06/17/1969,0.050
06/18/1969,0.628
06/19/1969,0.121
06/20/1969,2.329
06/21/1969,1.490
06/22/1969,0.757
06/23/1969,1.652
06/24/1969,7.662
06/25/1969,2.814
06/26/1969,2.088
06/27/1969,15.686
06/28/1969,33.525
06/29/1969,13.974
06/30/1969,2.822
07/01/1969,2.940
07/02/1969,8.265
07/03/1969,19.457
07/04/1969,14.850
07/05/1969,20.419
07/06/1969,6.210
07/07/1969,5.476
07/08/1969,1.161
07/09/1969,0.101
07/10/1969,0.227
07/11/1969,1.743
07/12/1969,1.297
07/13/1969,9.915
07/14/1969,3.360
07/15/1969,4.071
07/16/1969,1.577
07/17/1969,1.390
07/18/1969,4.479
07/19/1969,4.023
07/20/1969,22.780
07/21/1969,24.978
07/22/1969,3.019
07/23/1969,0.807
07/24/1969,0.183
07/25/1969,0.183
07/26/1969,0.289
07/27/1969,0.215
07/28/1969,0.082
07/29/1969,0.705
07/30/1969,0.000
07/31/1969,2.171
08/01/1969,0.144
08/02/1969,0.216
08/03/1969,0.011
08/04/1969,1.909
08/05/1969,12.446
08/06/1969,7.444
08/07/1969,4.162
08/08/1969,0.133
08/09/1969,0.000
08/10/1969,0.002
08/11/1969,0.096
08/12/1969,1.530
08/13/1969,3.637
08/14/1969,0.604
08/15/1969,0.926
08/16/1969,0.054
08/17/1969,0.000
08/18/1969,0.027
08/19/1969,0.000
08/20/1969,0.000
08/21/1969,0.253
08/22/1969,0.029
08/23/1969,1.053
08/24/1969,1.447
08/25/1969,0.040
08/26/1969,0.000
08/27/1969,0.137
08/28/1969,1.285
08/29/1969,1.953
08/30/1969,0.617
08/31/1969,0.782
09/01/1969,0.249
09/02/1969,0.134
09/03/1969,0.000
09/04/1969,0.000
09/05/1969,0.000
09/06/1969,0.699
09/07/1969,0.047
09/08/1969,0.072
09/09/1969,0.123
09/10/1969,0.000
09/11/1969,0.000
09/12/1969,0.405
09/13/1969,0.000
09/14/1969,0.000
09/15/1969,0.000
09/16/1969,0.000
09/17/1969,0.203
09/18/1969,0.000
09/19/1969,0.000
09/20/1969,0.810
09/21/1969,0.000
09/22/1969,0.150
09/23/1969,0.292
09/24/1969,1.817
09/25/1969,0.171
09/26/1969,1.181
09/27/1969,0.449
09/28/1969,0.178
09/29/1969,0.375
09/30/1969,1.364
10/01/1969,0.545
10/02/1969,0.028
10/03/1969,0.592
10/04/1969,1.451
10/05/1969,2.798
10/06/1969,0.024
10/07/1969,0.006
10/08/1969,0.050
10/09/1969,0.046
10/10/1969,0.000
10/11/1969,0.056
10/12/1969,0.205
10/13/1969,0.000
10/14/1969,0.329
10/15/1969,0.000
10/16/1969,0.079
10/17/1969,1.036
10/18/1969,0.000
10/19/1969,0.000
10/20/1969,0.336
10/21/1969,0.510
10/22/1969,0.380
10/23/1969,0.288
10/24/1969,0.002
10/25/1969,0.648
10/26/1969,0.121
10/27/1969,0.346
10/28/1969,0.355
10/29/1969,0.002
10/30/1969,0.042
10/31/1969,0.026
11/01/1969,0.379
11/02/1969,0.189
11/03/1969,0.232
11/04/1969,0.117
11/05/1969,0.272
11/06/1969,0.707
11/07/1969,0.203
11/08/1969,0.375
11/09/1969,0.321
11/10/1969,2.286
11/11/1969,0.246
11/12/1969,0.040
11/13/1969,0.052
11/14/1969,0.088
11/15/1969,0.000
11/16/1969,0.024
11/17/1969,0.008
11/18/1969,0.000
11/19/1969,0.000
11/20/1969,4.392
