,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,05/03/1969,14.800,2.171,5,5.105,2.171,0.000,2.934,0.000,0.000,141.000,210.758,1.484,139.516,210.758,0.000,0.000,0.000,0.000,69.758,168.606,69.758,0.000,0.000,0.000,0.000,11881.233,5726501376.000,24952.135,-5726489600.000,7352.457,141.000,0.206,141.000,0.000,962.114,0.000
1,05/04/1969,18.500,7.582,5,5.105,5.105,2.477,0.000,0.000,0.432,69.758,35.311,0.000,69.758,35.311,0.000,0.000,2.045,2.045,34.879,28.249,36.924,0.000,0.000,0.000,0.000,,,,,,,,,,,
2,05/05/1969,29.200,8.568,5,5.105,5.105,3.463,0.000,0.000,0.320,36.924,18.782,0.000,36.924,18.782,0.000,0.000,3.143,3.143,18.462,15.025,21.605,0.000,0.000,0.000,0.000,,,,,,,,,,,
3,05/06/1969,23.100,2.631,5,5.105,2.631,0.000,2.474,0.000,0.000,21.605,10.676,0.253,21.352,10.676,0.000,0.000,0.000,0.000,10.676,8.541,10.676,0.000,0.000,0.000,0.000,,,,,,,,,,,
4,05/07/1969,13.900,1.920,5,5.105,1.920,0.000,3.185,0.000,0.000,10.676,5.255,0.166,10.510,5.255,0.000,0.000,0.000,0.000,5.255,4.204,5.255,0.000,0.000,0.000,0.000,,,,,,,,,,,
5,05/08/1969,16.600,2.274,5,5.105,2.274,0.000,2.831,0.000,0.000,5.255,2.591,0.073,5.182,2.591,0.000,0.000,0.000,0.000,2.591,2.073,2.591,0.000,0.000,0.000,0.000,,,,,,,,,,,
6,05/09/1969,12.600,4.685,5,5.105,4.685,0.000,0.420,0.000,0.000,2.591,1.293,0.005,2.585,1.293,0.000,0.000,0.000,0.000,1.293,1.034,1.293,0.000,0.000,0.000,0.000,,,,,,,,,,,
7,05/10/1969,11.200,4.188,5,5.105,4.188,0.000,0.917,0.000,0.000,1.293,0.643,0.006,1.287,0.643,0.000,0.000,0.000,0.000,0.643,0.515,0.643,0.000,0.000,0.000,0.000,,,,,,,,,,,
8,05/11/1969,10.500,2.049,5,5.105,2.049,0.000,3.056,0.000,0.000,0.643,0.317,0.010,0.634,0.317,0.000,0.000,0.000,0.000,0.317,0.253,0.317,0.000,0.000,0.000,0.000,,,,,,,,,,,
9,05/12/1969,10.500,12.330,5,5.105,5.105,7.225,0.000,0.000,0.006,0.317,0.164,0.000,0.317,0.164,0.000,0.000,7.219,7.219,0.158,0.131,7.378,0.000,0.000,0.000,0.000,,,,,,,,,,,
10,05/13/1969,21.000,3.928,5,5.105,3.928,0.000,1.177,0.000,0.000,7.378,3.668,0.043,7.335,3.668,0.000,0.000,0.000,0.000,3.668,2.934,3.668,0.000,0.000,0.000,0.000,,,,,,,,,,,
11,05/14/1969,14.800,1.273,5,5.105,1.273,0.000,3.832,0.000,0.000,3.668,1.799,0.070,3.598,1.799,0.000,0.000,0.000,0.000,1.799,1.439,1.799,0.000,0.000,0.000,0.000,,,,,,,,,,,
12,05/15/1969,10.800,4.439,5,5.105,4.439,0.000,0.666,0.000,0.000,1.799,0.896,0.006,1.793,0.896,0.000,0.000,0.000,0.000,0.896,0.717,0.896,0.000,0.000,0.000,0.000,,,,,,,,,,,
13,05/16/1969,12.300,4.342,5,5.105,4.342,0.000,0.763,0.000,0.000,0.896,0.447,0.003,0.893,0.447,0.000,0.000,0.000,0.000,0.447,0.357,0.447,0.000,0.000,0.000,0.000,,,,,,,,,,,
14,05/17/1969,14.300,5.465,5,5.105,5.105,0.360,0.000,0.000,0.000,0.447,0.224,0.000,0.447,0.224,0.000,0.000,0.360,0.360,0.223,0.179,0.583,0.000,0.000,0.000,0.000,,,,,,,,,,,
15,05/18/1969,11.600,2.462,5,5.105,2.462,0.000,2.643,0.000,0.000,0.583,0.288,0.008,0.575,0.288,0.000,0.000,0.000,0.000,0.288,0.230,0.288,0.000,0.000,0.000,0.000,,,,,,,,,,,
16,05/19/1969,10.500,1.056,5,5.105,1.056,0.000,4.049,0.000,0.000,0.288,0.141,0.006,0.282,0.141,0.000,0.000,0.000,0.000,0.141,0.113,0.141,0.000,0.000,0.000,0.000,,,,,,,,,,,
17,05/20/1969,10.500,6.401,5,5.105,5.105,1.296,0.000,0.000,0.000,0.141,0.071,0.000,0.141,0.071,0.000,0.000,1.296,1.296,0.070,0.057,1.366,0.000,0.000,0.000,0.000,,,,,,,,,,,
18,05/21/1969,11.200,8.611,5,5.105,5.105,3.506,0.000,0.000,0.012,1.366,0.695,0.000,1.366,0.695,0.000,0.000,3.494,3.494,0.683,0.556,4.177,0.000,0.000,0.000,0.000,,,,,,,,,,,
19,05/22/1969,11.600,6.188,5,5.105,5.105,1.083,0.000,0.000,0.011,4.177,2.100,0.000,4.177,2.100,0.000,0.000,1.072,1.072,2.089,1.680,3.160,0.000,0.000,0.000,0.000,,,,,,,,,,,
