,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,03/26/1973,4.780,7.570,3,5.940,5.940,1.630,0.000,0.000,0.575,141.000,212.075,0.000,141.000,61.616,150.459,2525.257,1.055,1.055,70.500,49.293,71.555,0.000,0.000,0.000,150.459,24004.469,1989.843,74048.859,22014.625,18072.615,141.000,0.030,141.000,13.601,1240.044,-0.002
1,03/27/1973,27.060,7.530,3,5.940,5.940,1.590,0.000,0.000,0.284,71.555,186.521,0.000,71.555,49.746,136.775,2038.780,1.306,1.306,35.778,39.797,37.083,0.000,0.000,0.000,136.775,,,,,,,,,,,
2,03/28/1973,31.810,6.390,3,5.940,5.940,0.450,0.000,0.000,0.042,37.083,155.358,0.000,37.083,36.681,118.678,1503.312,0.408,0.408,18.542,29.344,18.950,0.000,0.000,0.000,118.678,,,,,,,,,,,
3,03/29/1973,34.390,5.490,3,5.940,5.490,0.000,0.450,0.000,0.000,18.950,128.132,0.041,18.909,26.606,101.527,1090.410,0.000,0.000,9.455,21.285,9.455,0.000,0.000,0.000,101.527,,,,,,,,,,,
4,03/30/1973,41.410,4.790,3,5.940,4.790,0.000,1.150,0.000,0.000,9.455,106.227,0.053,9.402,19.466,86.762,797.784,0.000,0.000,4.701,15.573,4.701,0.000,0.000,0.000,86.762,,,,,,,,,,,
5,03/31/1973,42.920,3.700,3,5.940,3.700,0.000,2.240,0.000,0.000,4.701,89.086,0.052,4.649,14.518,74.568,594.986,0.000,0.000,2.324,11.614,2.324,0.000,0.000,0.000,74.568,,,,,,,,,,,
6,04/01/1973,59.120,2.540,4,5.340,2.540,0.000,2.800,0.000,0.000,2.324,75.714,0.032,2.292,11.071,64.644,453.721,0.000,0.000,1.146,8.857,1.146,0.000,0.000,0.000,64.644,,,,,,,,,,,
7,04/02/1973,44.470,1.810,4,5.340,1.810,0.000,3.530,0.000,0.000,1.146,65.207,0.020,1.126,8.630,56.576,353.707,0.000,0.000,0.563,6.904,0.563,0.000,0.000,0.000,56.576,,,,,,,,,,,
8,04/03/1973,32.450,1.320,4,5.340,1.320,0.000,4.020,0.000,0.000,0.563,56.852,0.011,0.552,6.867,49.985,281.450,0.000,0.000,0.276,5.494,0.276,0.000,0.000,0.000,49.985,,,,,,,,,,,
9,04/04/1973,31.190,0.840,4,5.340,0.840,0.000,4.500,0.000,0.000,0.276,50.119,0.006,0.270,5.566,44.553,228.123,0.000,0.000,0.135,4.453,0.135,0.000,0.000,0.000,44.553,,,,,,,,,,,
10,04/05/1973,16.450,0.890,4,5.340,0.890,0.000,4.450,0.000,0.000,0.135,44.619,0.003,0.132,4.586,40.033,187.944,0.000,0.000,0.066,3.669,0.066,0.000,0.000,0.000,40.033,,,,,,,,,,,
11,04/06/1973,8.000,1.960,4,5.340,1.960,0.000,3.380,0.000,0.000,0.066,40.066,0.001,0.065,3.833,36.233,157.078,0.000,0.000,0.032,3.066,0.032,0.000,0.000,0.000,36.233,,,,,,,,,,,
12,04/07/1973,13.070,3.620,4,5.340,3.620,0.000,1.720,0.000,0.000,0.032,36.249,0.000,0.032,3.244,33.006,132.940,0.000,0.000,0.016,2.595,0.016,0.000,0.000,0.000,33.006,,,,,,,,,,,
13,04/08/1973,27.060,5.180,4,5.340,5.180,0.000,0.160,0.000,0.000,0.016,33.014,0.000,0.016,2.776,30.238,113.757,0.000,0.000,0.008,2.221,0.008,0.000,0.000,0.000,30.238,,,,,,,,,,,
14,04/09/1973,44.470,7.310,4,5.340,5.340,1.970,0.000,0.000,0.000,0.008,30.242,0.000,0.008,2.398,27.844,98.290,1.970,1.970,0.004,1.919,1.974,0.000,0.000,0.000,27.844,,,,,,,,,,,
15,04/10/1973,92.180,11.480,4,5.340,5.340,6.140,0.000,0.000,0.030,1.974,28.861,0.000,1.974,2.219,26.642,90.924,6.110,6.110,0.987,1.775,7.097,0.000,0.000,0.000,26.642,,,,,,,,,,,
16,04/11/1973,218.660,17.140,4,5.340,5.340,11.800,0.000,0.000,0.209,7.097,30.400,0.000,7.097,2.419,27.981,99.148,11.591,11.591,3.548,1.935,15.139,0.000,0.000,0.000,27.981,,,,,,,,,,,
17,04/12/1973,230.070,21.160,4,5.340,5.340,15.820,0.000,0.000,0.599,15.139,36.149,0.000,15.139,3.229,32.920,132.329,15.221,15.221,7.569,2.583,22.791,0.000,0.000,0.000,32.920,,,,,,,,,,,
18,04/13/1973,194.370,21.430,4,5.340,5.340,16.090,0.000,0.000,0.917,22.791,45.233,0.000,22.791,4.691,40.541,192.269,15.173,15.173,11.395,3.753,26.569,0.000,0.000,0.000,40.541,,,,,,,,,,,
19,04/14/1973,256.900,19.090,4,5.340,5.340,13.750,0.000,0.000,0.913,26.569,54.739,0.000,26.569,6.447,48.292,264.231,12.837,12.837,13.284,5.158,26.121,0.000,0.000,0.000,48.292,,,,,,,,,,,
20,04/15/1973,220.820,16.180,4,5.340,5.340,10.840,0.000,0.000,0.708,26.121,62.060,0.000,26.121,7.948,54.112,325.720,10.132,10.132,13.061,6.358,23.193,0.000,0.000,0.000,54.112,,,,,,,,,,,
21,04/16/1973,274.920,13.080,4,5.340,5.340,7.740,0.000,0.000,0.449,23.193,66.158,0.000,23.193,8.841,57.316,362.346,7.291,7.291,11.596,7.073,18.888,0.000,0.000,0.000,57.316,,,,,,,,,,,
22,04/17/1973,269.690,9.350,4,5.340,5.340,4.010,0.000,0.000,0.189,18.888,66.950,0.000,18.888,9.018,57.931,369.604,3.821,3.821,9.444,7.215,13.264,0.000,0.000,0.000,57.931,,,,,,,,,,,
23,04/18/1973,261.970,5.710,4,5.340,5.340,0.370,0.000,0.000,0.012,13.264,64.576,0.000,13.264,8.492,56.084,348.022,0.358,0.358,6.632,6.793,6.990,0.000,0.000,0.000,56.084,,,,,,,,,,,
24,04/19/1973,225.430,3.830,4,5.340,3.830,0.000,1.510,0.000,0.000,6.990,59.553,0.052,6.938,7.420,52.133,304.087,0.000,0.000,3.469,5.936,3.469,0.000,0.000,0.000,52.133,,,,,,,,,,,
25,04/20/1973,202.950,4.280,4,5.340,4.280,0.000,1.060,0.000,0.000,3.469,53.859,0.018,3.451,6.275,47.583,257.189,0.000,0.000,1.725,5.020,1.725,0.000,0.000,0.000,47.583,,,,,,,,,,,
26,04/21/1973,177.890,5.660,4,5.340,5.340,0.320,0.000,0.000,0.001,1.725,48.448,0.000,1.725,5.260,43.187,215.581,0.319,0.319,0.863,4.208,1.181,0.000,0.000,0.000,43.187,,,,,,,,,,,
27,04/22/1973,162.320,6.160,4,5.340,5.340,0.820,0.000,0.000,0.002,1.181,43.780,0.000,1.181,4.443,39.337,182.092,0.818,0.818,0.591,3.554,1.408,0.000,0.000,0.000,39.337,,,,,,,,,,,
