,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,01/01/1973,1.840,2.473,1,5.952,2.473,0.000,3.478,0.000,0.000,141.000,210.620,1.760,139.240,148.856,61.764,2032.445,0.000,0.000,69.620,119.085,69.620,0.000,0.000,0.000,61.764,28192.145,3346.670,66461.031,24845.475,17900.188,141.000,0.000,141.000,0.302,2114.730,0.000
1,01/02/1973,1.609,5.916,1,5.952,5.916,0.000,0.036,0.000,0.000,69.620,96.569,0.010,69.610,40.582,55.987,554.090,0.000,0.000,34.805,32.465,34.805,0.000,0.000,0.000,55.987,,,,,,,,,,,
2,01/03/1973,1.609,0.075,1,5.952,0.075,0.000,5.877,0.000,0.000,34.805,72.920,0.939,33.866,25.411,47.510,346.950,0.000,0.000,16.933,20.328,16.933,0.000,0.000,0.000,47.510,,,,,,,,,,,
3,01/04/1973,1.609,0.933,1,5.952,0.933,0.000,5.018,0.000,0.000,16.933,55.773,0.407,16.526,16.254,39.518,221.932,0.000,0.000,8.263,13.003,8.263,0.000,0.000,0.000,39.518,,,,,,,,,,,
4,01/05/1973,1.609,1.691,1,5.952,1.691,0.000,4.260,0.000,0.000,8.263,43.563,0.172,8.090,10.768,32.795,147.025,0.000,0.000,4.045,8.614,4.045,0.000,0.000,0.000,32.795,,,,,,,,,,,
5,01/06/1973,1.609,2.568,1,5.952,2.568,0.000,3.384,0.000,0.000,4.045,34.784,0.068,3.977,7.400,27.384,101.039,0.000,0.000,1.989,5.920,1.989,0.000,0.000,0.000,27.384,,,,,,,,,,,
6,01/07/1973,1.722,3.896,1,5.952,3.896,0.000,2.056,0.000,0.000,1.989,28.368,0.020,1.968,5.268,23.100,71.929,0.000,0.000,0.984,4.214,0.984,0.000,0.000,0.000,23.100,,,,,,,,,,,
7,01/08/1973,1.722,1.166,1,5.952,1.166,0.000,4.786,0.000,0.000,0.984,23.580,0.023,0.961,3.871,19.709,52.858,0.000,0.000,0.480,3.097,0.480,0.000,0.000,0.000,19.709,,,,,,,,,,,
8,01/09/1973,1.722,0.889,1,5.952,0.889,0.000,5.063,0.000,0.000,0.480,19.943,0.012,0.468,2.928,17.015,39.980,0.000,0.000,0.234,2.343,0.234,0.000,0.000,0.000,17.015,,,,,,,,,,,
9,01/10/1973,1.722,2.889,1,5.952,2.889,0.000,3.063,0.000,0.000,0.234,17.130,0.004,0.231,2.273,14.858,31.031,0.000,0.000,0.115,1.818,0.115,0.000,0.000,0.000,14.858,,,,,,,,,,,
10,01/11/1973,1.962,10.421,1,5.952,5.952,4.469,0.000,0.000,0.001,0.115,14.917,0.000,0.115,1.805,13.112,24.640,4.468,4.468,0.058,1.444,4.525,0.000,0.000,0.000,13.112,,,,,,,,,,,
