,vazao,chuva_media,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,Ks,KL,Nash
2,0,1.309212543,6.903225806,1.309212543,0,5.594013263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63E-21,0.325524948,0.602075355
3,0,0.209258995,6.903225806,0.209258995,0,6.693966811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,0,3.871726784,6.903225806,3.871726784,0,3.031499022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,0,1.732171933,6.903225806,1.732171933,0,5.171053873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,0,2.676073072,6.903225806,2.676073072,0,4.227152734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,0,0.97161452,6.903225806,0.97161452,0,5.931611286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,0,0.886598925,6.903225806,0.886598925,0,6.016626881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,0,0,6.903225806,0,0,6.903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
10,0,0.26535986,6.903225806,0.26535986,0,6.637865946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,0,6.459576425,6.903225806,6.459576425,0,0.443649381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,0,3.766983406,6.903225806,3.766983406,0,3.1362424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,0,3.713566226,6.903225806,3.713566226,0,3.18965958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
14,0,1.181392349,6.903225806,1.181392349,0,5.721833457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
15,0,1.267199598,6.903225806,1.267199598,0,5.636026208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,0,0.242608963,6.903225806,0.242608963,0,6.660616843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
17,0,0.028276597,6.903225806,0.028276597,0,6.874949209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
18,0,2.213896549,6.903225806,2.213896549,0,4.689329257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,0,2.655307211,6.903225806,2.655307211,0,4.247918595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,0,5.343711839,6.903225806,5.343711839,0,1.559513967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,0,0.912161004,6.903225806,0.912161004,0,5.991064802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
