,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,01/02/1973,0.000,1.309,1,6.903,1.309,0.000,5.594,0.000,0.000,141.000,210.085,2.830,138.170,133.904,76.181,2168.771,0.000,0.000,69.085,107.123,69.085,0.000,0.000,0.000,76.181,22508.680,2314.653,76135.250,20194.027,14178.989,141.000,0.000,141.000,0.307,1722.277,0.002
1,01/03/1973,0.000,0.209,1,6.903,0.209,0.000,6.694,0.000,0.000,69.085,109.746,1.955,67.130,45.371,64.374,734.854,0.000,0.000,33.565,36.297,33.565,0.000,0.000,0.000,64.374,,,,,,,,,,,
2,01/04/1973,0.000,3.872,1,6.903,3.872,0.000,3.031,0.000,0.000,33.565,80.923,0.468,33.097,27.306,53.617,442.254,0.000,0.000,16.548,21.845,16.548,0.000,0.000,0.000,53.617,,,,,,,,,,,
3,01/05/1973,0.000,1.732,1,6.903,1.732,0.000,5.171,0.000,0.000,16.548,61.686,0.411,16.138,17.369,44.317,281.318,0.000,0.000,8.069,13.895,8.069,0.000,0.000,0.000,44.317,,,,,,,,,,,
4,01/06/1973,0.000,2.676,1,6.903,2.676,0.000,4.227,0.000,0.000,8.069,48.268,0.167,7.902,11.541,36.727,186.916,0.000,0.000,3.951,9.232,3.951,0.000,0.000,0.000,36.727,,,,,,,,,,,
5,01/07/1973,0.000,0.972,1,6.903,0.972,0.000,5.932,0.000,0.000,3.951,38.644,0.116,3.835,7.967,30.678,129.032,0.000,0.000,1.917,6.373,1.917,0.000,0.000,0.000,30.678,,,,,,,,,,,
6,01/08/1973,0.000,0.887,1,6.903,0.887,0.000,6.017,0.000,0.000,1.917,31.608,0.057,1.860,5.699,25.909,92.301,0.000,0.000,0.930,4.559,0.930,0.000,0.000,0.000,25.909,,,,,,,,,,,
7,01/09/1973,0.000,0.000,1,6.903,0.000,0.000,6.903,0.000,0.000,0.930,26.358,0.032,0.898,4.210,22.147,68.192,0.000,0.000,0.449,3.368,0.449,0.000,0.000,0.000,22.147,,,,,,,,,,,
8,01/10/1973,0.000,0.265,1,6.903,0.265,0.000,6.638,0.000,0.000,0.449,22.364,0.015,0.434,3.202,19.163,51.858,0.000,0.000,0.217,2.561,0.217,0.000,0.000,0.000,19.163,,,,,,,,,,,
9,01/11/1973,0.000,6.460,1,6.903,6.460,0.000,0.444,0.000,0.000,0.217,19.271,0.000,0.217,2.498,16.773,40.463,0.000,0.000,0.108,1.999,0.108,0.000,0.000,0.000,16.773,,,,,,,,,,,
10,01/12/1973,0.000,3.767,1,6.903,3.767,0.000,3.136,0.000,0.000,0.108,16.826,0.002,0.107,1.993,14.833,32.274,0.000,0.000,0.053,1.594,0.053,0.000,0.000,0.000,14.833,,,,,,,,,,,
