,vazao,chuva_media,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,Ks,KL,Nash
1,0,0,6.591150442,0,0,6.591150442,0,0,1,0.004581195,0.089225573,0.910774427,3.31E-06,0.00457789,6.71E-05,0,0,0.004581195,2.02E-06,0.906193232,0,0,0,0.00457789,0,0.294807672,0.772752199
2,0,0,6.591150442,0,0,6.591150442,0,0,0.906193232,0.00457789,0.080907204,0.825286029,3.30E-06,0.004574588,0.000121931,0,0,0,9.73E-07,0.825286029,0,0,0,0.004574588,,,
3,0,0.199922396,6.591150442,0.199922396,0,6.391228046,0,0,0.825286029,0.004574588,0.071487967,0.753798062,3.30E-06,0.004571291,0.000121785,0,0,0,9.72E-07,0.753798062,0,0,0,0.004571291,,,
4,0,0.599609237,6.591150442,0.599609237,0,5.991541205,0,0,0.753798062,0.004571291,0.061241935,0.692556127,3.29E-06,0.004567997,0.000121639,0,0,0,9.71E-07,0.692556127,0,0,0,0.004567997,,,
5,0,0.429586228,6.591150442,0.429586228,0,6.161564214,0,0,0.692556127,0.004567997,0.057887161,0.634668967,3.29E-06,0.004564708,0.000121493,0,0,0,9.70E-07,0.634668967,0,0,0,0.004564708,,,
6,0,1.027367207,6.591150442,1.027367207,0,5.563783235,0,0,0.634668967,0.004564708,0.047920884,0.586748082,3.29E-06,0.004561422,0.000121347,0,0,0,9.69E-07,0.586748082,0,0,0,0.004561422,,,
7,0,0.369461671,6.591150442,0.369461671,0,6.221688771,0,0,0.586748082,0.004561422,0.04955745,0.537190632,3.28E-06,0.00455814,0.000121201,0,0,0,9.67E-07,0.537190632,0,0,0,0.00455814,,,
8,0,0.042088925,6.591150442,0.042088925,0,6.549061517,0,0,0.537190632,0.00455814,0.047775251,0.489415381,3.28E-06,0.004554862,0.000121056,0,0,0,9.66E-07,0.489415381,0,0,0,0.004554862,,,
9,0,0.856709351,6.591150442,0.856709351,0,5.734441091,0,0,0.489415381,0.004554862,0.038124611,0.45129077,3.27E-06,0.004551589,0.000120911,0,0,0,9.65E-07,0.45129077,0,0,0,0.004551589,,,
10,0,2.495802101,6.591150442,2.495802101,0,4.095348341,0,0,0.45129077,0.004551589,0.025112892,0.426177879,3.27E-06,0.004548319,0.000120766,0,0,0,9.64E-07,0.426177879,0,0,0,0.004548319,,,
11,0,6.863971365,6.591150442,6.591150442,0.272820923,0,0,8.34E-06,0.426177879,0.004556663,0,0.426177879,3.28E-06,0.004553387,0.000120991,0.272812579,0.272812579,0,9.66E-07,0.698990457,0,0,0,0.004553387,,,
12,0,3.469514466,6.591150442,3.469514466,0,3.121635976,0,0,0.698990457,0.004553387,0.029598574,0.669391884,3.27E-06,0.004550115,0.000120846,0,0,0,9.65E-07,0.669391884,0,0,0,0.004550115,,,
13,0,0,6.591150442,0,0,6.591150442,0,0,0.669391884,0.004550115,0.059861337,0.609530547,3.27E-06,0.004546847,0.000120701,0,0,0,9.63E-07,0.609530547,0,0,0,0.004546847,,,
14,0,0,6.591150442,0,0,6.591150442,0,0,0.609530547,0.004546847,0.054530359,0.555000188,3.26E-06,0.004543582,0.000120557,0,0,0,9.62E-07,0.555000188,0,0,0,0.004543582,,,
15,0,0,6.591150442,0,0,6.591150442,0,0,0.555000188,0.004543582,0.049670346,0.505329842,3.26E-06,0.004540322,0.000120412,0,0,0,9.61E-07,0.505329842,0,0,0,0.004540322,,,
16,0,0,6.591150442,0,0,6.591150442,0,0,0.505329842,0.004540322,0.045240337,0.460089505,3.26E-06,0.004537066,0.000120268,0,0,0,9.60E-07,0.460089505,0,0,0,0.004537066,,,
17,0,0.100656173,6.591150442,0.100656173,0,6.490494269,0,0,0.460089505,0.004537066,0.040573597,0.419515909,3.25E-06,0.004533813,0.000120125,0,0,0,9.59E-07,0.419515909,0,0,0,0.004533813,,,
18,0,16.95483643,6.591150442,6.591150442,10.36368599,0,0,0.039436566,0.419515909,0.043970379,0,0.419515909,0.000143286,0.043827093,0.005291845,10.32424942,10.32424942,0,4.22E-05,10.74376533,0,0,0,0.043827093,,,
19,0,3.567641646,6.591150442,3.567641646,0,3.023508796,0,0,10.74376533,0.043827093,0.411853189,10.33191214,0.000142508,0.043684585,0.005263136,0,0,0,4.20E-05,10.33191214,0,0,0,0.043684585,,,
20,0,0.834481124,6.591150442,0.834481124,0,5.756669318,0,0,10.33191214,0.043684585,0.756164768,9.575747374,0.000141737,0.043542848,0.005234644,0,0,0,4.18E-05,9.575747374,0,0,0,0.043542848,,,
21,0,5.727197312,6.591150442,5.727197312,0,0.86395313,0,0,9.575747374,0.043542848,0.105709666,9.470037708,0.000140971,0.043401877,0.005206368,0,0,0,4.16E-05,9.470037708,0,0,0,0.043401877,,,
22,0,0,6.591150442,0,0,6.591150442,0,0,9.470037708,0.043401877,0.798124912,8.671912796,0.000140211,0.043261665,0.005178305,0,0,0,4.13E-05,8.671912796,0,0,0,0.043261665,,,
23,0,0,6.591150442,0,0,6.591150442,0,0,8.671912796,0.043261665,0.734763477,7.937149319,0.000139457,0.043122208,0.005150454,0,0,0,4.11E-05,7.937149319,0,0,0,0.043122208,,,
24,0,6.33904241,6.591150442,6.33904241,0,0.252108032,0,0,7.937149319,0.043122208,0.025849746,7.911299573,0.000138709,0.042983499,0.005122812,0,0,0,4.09E-05,7.911299573,0,0,0,0.042983499,,,
25,0,15.42490892,6.591150442,6.591150442,8.833758478,0,0,0.131488438,7.911299573,0.174471937,0,7.911299573,0.00142499,0.173046947,0.052627907,8.70227004,8.70227004,0,0.000420098,16.61356961,0,0,0,0.173046947,,,
26,5.5176,28.85984628,6.591150442,6.591150442,22.26869584,0,0,1.628643492,16.61356961,1.801690439,0,16.61356961,0.069780842,1.731909597,2.577154256,20.64005235,20.64005235,0,0.020571928,37.25362196,0,0,0,1.731909597,,,
27,1.8308,3.436575036,6.591150442,3.436575036,0,3.154575406,0,0,37.25362196,1.731909597,1.256006415,35.99761554,0.065334807,1.66657479,2.412952775,0,0,0,0.019261202,35.99761554,0,0,0,1.66657479,,,
28,0.381,0.766766001,6.591150442,0.766766001,0,5.824384441,0,0,35.99761554,1.66657479,2.25847628,33.73913926,0.061278849,1.605295941,2.263157632,0,0,0,0.018065475,33.73913926,0,0,0,1.605295941,,,
