,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,02/01/1973,0.000,0.000,2,6.591,0.000,0.000,6.591,0.000,0.000,141.000,209.833,3.334,137.666,153.570,56.263,1598.565,0.000,0.000,68.833,122.856,68.833,0.000,0.000,0.000,56.263,17494.973,1816.368,52757.773,15678.604,10225.983,141.000,4.084,141.000,23.767,1504.627,0.000
1,02/02/1973,0.000,0.000,2,6.591,0.000,0.000,6.591,0.000,0.000,68.833,89.720,1.919,66.914,37.268,52.452,387.933,0.000,0.000,33.457,29.814,33.457,0.000,0.000,0.000,52.452,,,,,,,,,,,
2,02/03/1973,0.000,0.200,2,6.591,0.200,0.000,6.391,0.000,0.000,33.457,68.689,0.985,32.472,23.878,44.811,248.551,0.000,0.000,16.236,19.102,16.236,0.000,0.000,0.000,44.811,,,,,,,,,,,
3,02/04/1973,0.000,0.600,2,6.591,0.600,0.000,5.992,0.000,0.000,16.236,52.695,0.467,15.769,15.351,37.344,159.795,0.000,0.000,7.884,12.281,7.884,0.000,0.000,0.000,37.344,,,,,,,,,,,
4,02/05/1973,0.000,0.430,2,6.591,0.430,0.000,6.162,0.000,0.000,7.884,41.168,0.238,7.646,10.173,30.995,105.893,0.000,0.000,3.823,8.138,3.823,0.000,0.000,0.000,30.995,,,,,,,,,,,
5,02/06/1973,0.000,1.027,2,6.591,1.027,0.000,5.564,0.000,0.000,3.823,32.854,0.105,3.718,6.985,25.869,72.708,0.000,0.000,1.859,5.588,1.859,0.000,0.000,0.000,25.869,,,,,,,,,,,
6,02/07/1973,0.000,0.369,2,6.591,0.369,0.000,6.222,0.000,0.000,1.859,26.769,0.058,1.801,4.965,21.805,51.682,0.000,0.000,0.901,3.972,0.901,0.000,0.000,0.000,21.805,,,,,,,,,,,
7,02/08/1973,0.000,0.042,2,6.591,0.042,0.000,6.549,0.000,0.000,0.901,22.240,0.029,0.871,3.645,18.595,37.946,0.000,0.000,0.436,2.916,0.436,0.000,0.000,0.000,18.595,,,,,,,,,,,
8,02/09/1973,0.000,0.857,2,6.591,0.857,0.000,5.734,0.000,0.000,0.436,18.806,0.012,0.423,2.756,16.050,28.693,0.000,0.000,0.212,2.205,0.212,0.000,0.000,0.000,16.050,,,,,,,,,,,
9,02/10/1973,0.000,2.496,2,6.591,2.496,0.000,4.095,0.000,0.000,0.212,16.153,0.004,0.207,2.139,14.014,22.270,0.000,0.000,0.104,1.712,0.104,0.000,0.000,0.000,14.014,,,,,,,,,,,
10,02/11/1973,0.000,6.864,2,6.591,6.591,0.273,0.000,0.000,0.000,0.104,14.066,0.000,0.104,1.699,12.367,17.683,0.273,0.273,0.052,1.359,0.325,0.000,0.000,0.000,12.367,,,,,,,,,,,
11,02/12/1973,0.000,3.470,2,6.591,3.470,0.000,3.122,0.000,0.000,0.325,12.527,0.005,0.319,1.400,11.127,14.577,0.000,0.000,0.160,1.120,0.160,0.000,0.000,0.000,11.127,,,,,,,,,,,
12,02/13/1973,0.000,0.000,2,6.591,0.000,0.000,6.591,0.000,0.000,0.160,11.204,0.005,0.154,1.163,10.041,12.103,0.000,0.000,0.077,0.930,0.077,0.000,0.000,0.000,10.041,,,,,,,,,,,
13,02/14/1973,0.000,0.000,2,6.591,0.000,0.000,6.591,0.000,0.000,0.077,10.078,0.003,0.075,0.975,9.104,10.145,0.000,0.000,0.037,0.780,0.037,0.000,0.000,0.000,9.104,,,,,,,,,,,
14,02/15/1973,0.000,0.000,2,6.591,0.000,0.000,6.591,0.000,0.000,0.037,9.122,0.001,0.036,0.825,8.296,8.592,0.000,0.000,0.018,0.660,0.018,0.000,0.000,0.000,8.296,,,,,,,,,,,
