,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,0.0,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,1/1/1985,0.000,3.543,1.000,5.084,3.543,0.0,1.5409999999999995,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18941.74000000007,889.6244134658749,44352.71399999859,18052.115586534197,15418.663794144697,0.0,2.0684937386491782e-16,0.0,0.19847876707968343,1129.649321783218,-0.001454593716061936
2,1/2/1985,0.000,0.245,1.000,5.084,0.245,0.0,4.8389999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
3,1/3/1985,0.000,0.037,1.000,5.084,0.037,0.0,5.047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
4,1/4/1985,0.000,5.036,1.000,5.084,5.036,0.0,0.04800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
5,1/5/1985,0.000,0.262,1.000,5.084,0.262,0.0,4.821999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
6,1/6/1985,0.000,1.353,1.000,5.084,1.353,0.0,3.731,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
7,1/7/1985,0.000,2.226,1.000,5.084,2.226,0.0,2.8579999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
8,1/8/1985,0.000,2.654,1.000,5.084,2.654,0.0,2.4299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
9,1/9/1985,0.000,3.966,1.000,5.084,3.966,0.0,1.1179999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
10,1/10/1985,0.000,0.009,1.000,5.084,0.009,0.0,5.074999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
11,1/11/1985,0.000,1.802,1.000,5.084,1.802,0.0,3.2819999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,
12,1/12/1985,0.000,7.696,1.000,5.084,5.084,2.612,0.0,0,0.001405047874975196,0.0,0.001405047874975196,0.0,0.0,3.7963842686973876e-07,0.0014046682365483263,1.9947891341694025e-06,2.610594952125025,2.610594952125025,0.0,3.301930556332423e-07,2.610594952125025,0,0.0,0,0.0014046682365483263,,,,,,,,,,,
