,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,1/1/1985,0.000,3.543,1,5.084,3.543,0.000,1.541,0.000,0.000,141.000,141.000,1.540,139.460,82.272,58.728,51.431,0.000,0.000,0.000,80.997,139.460,0.000,0.000,0.000,58.728,11369.843,554.044,28239.152,10815.799,10583.818,141.000,41.168,141.000,3.313,130.667,-7409.032
1,1/2/1985,0.000,0.245,1,5.084,0.245,0.000,4.839,0.000,0.000,139.460,58.728,4.834,134.626,19.112,39.617,11.947,0.000,0.000,0.000,18.816,134.626,0.000,0.000,0.000,39.617,,,,,,,,,,,
2,1/3/1985,0.000,0.037,1,5.084,0.037,0.000,5.047,0.000,0.000,134.626,39.617,5.041,129.585,9.916,29.700,6.199,0.000,0.000,0.000,9.763,129.585,0.000,0.000,0.000,29.700,,,,,,,,,,,
3,1/4/1985,0.000,5.036,1,5.084,5.036,0.000,0.048,0.000,0.000,129.585,29.700,0.048,129.537,6.135,23.565,3.835,0.000,0.000,0.000,6.040,129.537,0.000,0.000,0.000,23.565,,,,,,,,,,,
4,1/5/1985,0.000,0.262,1,5.084,0.262,0.000,4.822,0.000,0.000,129.537,23.565,4.815,124.722,4.172,19.393,2.608,0.000,0.000,0.000,4.107,124.722,0.000,0.000,0.000,19.393,,,,,,,,,,,
5,1/6/1985,0.000,1.353,1,5.084,1.353,0.000,3.731,0.000,0.000,124.722,19.393,3.724,120.999,3.015,16.378,1.885,0.000,0.000,0.000,2.968,120.999,0.000,0.000,0.000,16.378,,,,,,,,,,,
6,1/7/1985,0.000,2.226,1,5.084,2.226,0.000,2.858,0.000,0.000,120.999,16.378,2.851,118.147,2.275,14.103,1.422,0.000,0.000,0.000,2.240,118.147,0.000,0.000,0.000,14.103,,,,,,,,,,,
7,1/8/1985,0.000,2.654,1,5.084,2.654,0.000,2.430,0.000,0.000,118.147,14.103,2.423,115.724,1.773,12.330,1.108,0.000,0.000,0.000,1.746,115.724,0.000,0.000,0.000,12.330,,,,,,,,,,,
8,1/9/1985,0.000,3.966,1,5.084,3.966,0.000,1.118,0.000,0.000,115.724,12.330,1.115,114.609,1.417,10.913,0.886,0.000,0.000,0.000,1.395,114.609,0.000,0.000,0.000,10.913,,,,,,,,,,,
9,1/10/1985,0.000,0.009,1,5.084,0.009,0.000,5.075,0.000,0.000,114.609,10.913,5.059,109.551,1.156,9.756,0.723,0.000,0.000,0.000,1.138,109.551,0.000,0.000,0.000,9.756,,,,,,,,,,,
10,1/11/1985,0.000,1.802,1,5.084,1.802,0.000,3.282,0.000,0.000,109.551,9.756,3.268,106.283,0.959,8.797,0.600,0.000,0.000,0.000,0.945,106.283,0.000,0.000,0.000,8.797,,,,,,,,,,,
11,1/12/1985,0.000,7.696,1,5.084,5.084,2.612,0.000,0.000,0.694,106.283,9.491,0.000,106.283,0.916,8.574,0.573,1.918,1.918,0.000,0.902,108.201,0.000,0.000,0.000,8.574,,,,,,,,,,,
12,1/13/1985,0.000,1.908,1,5.084,1.908,0.000,3.176,0.000,0.000,108.201,8.574,3.162,105.039,0.774,7.801,0.484,0.000,0.000,0.000,0.762,105.039,0.000,0.000,0.000,7.801,,,,,,,,,,,
13,1/14/1985,0.000,0.000,1,5.084,0.000,0.000,5.084,0.000,0.000,105.039,7.801,5.057,99.981,0.661,7.140,0.413,0.000,0.000,0.000,0.651,99.981,0.000,0.000,0.000,7.140,,,,,,,,,,,
14,1/15/1985,0.000,2.634,1,5.084,2.634,0.000,2.450,0.000,0.000,99.981,7.140,2.433,97.548,0.570,6.570,0.356,0.000,0.000,0.000,0.561,97.548,0.000,0.000,0.000,6.570,,,,,,,,,,,
15,1/16/1985,0.000,2.566,1,5.084,2.566,0.000,2.518,0.000,0.000,97.548,6.570,2.499,95.049,0.496,6.073,0.310,0.000,0.000,0.000,0.489,95.049,0.000,0.000,0.000,6.073,,,,,,,,,,,
16,1/17/1985,0.000,4.989,1,5.084,4.989,0.000,0.095,0.000,0.000,95.049,6.073,0.094,94.955,0.435,5.638,0.272,0.000,0.000,0.000,0.429,94.955,0.000,0.000,0.000,5.638,,,,,,,,,,,
17,1/18/1985,0.000,1.837,1,5.084,1.837,0.000,3.247,0.000,0.000,94.955,5.638,3.219,91.736,0.385,5.253,0.240,0.000,0.000,0.000,0.379,91.736,0.000,0.000,0.000,5.253,,,,,,,,,,,
18,1/19/1985,0.000,6.997,1,5.084,5.084,1.913,0.000,0.000,0.439,91.736,5.692,0.000,91.736,0.391,5.301,0.244,1.474,1.474,0.000,0.385,93.210,0.000,0.000,0.000,5.301,,,,,,,,,,,
19,1/20/1985,0.000,1.137,1,5.084,1.137,0.000,3.947,0.000,0.000,93.210,5.301,3.910,89.301,0.347,4.954,0.217,0.000,0.000,0.000,0.342,89.301,0.000,0.000,0.000,4.954,,,,,,,,,,,
20,1/21/1985,0.000,3.283,1,5.084,3.283,0.000,1.801,0.000,0.000,89.301,4.954,1.780,87.520,0.310,4.644,0.194,0.000,0.000,0.000,0.305,87.520,0.000,0.000,0.000,4.644,,,,,,,,,,,
21,1/22/1985,0.000,7.329,1,5.084,5.084,2.245,0.000,0.000,0.491,87.520,5.135,0.000,87.520,0.329,4.806,0.206,1.754,1.754,0.000,0.324,89.274,0.000,0.000,0.000,4.806,,,,,,,,,,,
22,1/23/1985,0.000,18.947,1,5.084,5.084,13.863,0.000,0.000,3.094,89.274,7.900,0.000,89.274,0.675,7.225,0.422,10.769,10.769,0.000,0.664,100.043,0.000,0.000,0.000,7.225,,,,,,,,,,,
23,1/24/1985,0.000,11.300,1,5.084,5.084,6.216,0.000,0.000,1.555,100.043,8.780,0.000,100.043,0.805,7.975,0.503,4.661,4.661,0.000,0.792,104.705,0.000,0.000,0.000,7.975,,,,,,,,,,,
24,1/25/1985,0.000,12.439,1,5.084,5.084,7.355,0.000,0.000,1.925,104.705,9.900,0.000,104.705,0.983,8.917,0.615,5.430,5.430,0.000,0.968,110.134,0.000,0.000,0.000,8.917,,,,,,,,,,,
25,1/26/1985,1.911,21.970,1,5.084,5.084,16.886,0.000,0.000,4.649,110.134,13.566,0.000,110.134,1.662,11.904,1.039,12.237,12.237,0.000,1.636,122.371,0.000,0.000,0.000,11.904,,,,,,,,,,,
26,1/27/1985,0.160,5.873,1,5.084,5.084,0.789,0.000,0.000,0.241,122.371,12.146,0.000,122.371,1.382,10.763,0.864,0.548,0.548,0.000,1.361,122.919,0.000,0.000,0.000,10.763,,,,,,,,,,,
27,1/28/1985,2.721,12.295,1,5.084,5.084,7.211,0.000,0.000,2.216,122.919,12.979,0.000,122.919,1.544,11.435,0.965,4.995,4.995,0.000,1.520,127.914,0.000,0.000,0.000,11.435,,,,,,,,,,,
28,1/29/1985,1.911,13.774,1,5.084,5.084,8.690,0.000,0.000,2.779,127.914,14.214,0.000,127.914,1.796,12.418,1.123,5.911,5.911,0.000,1.769,133.825,0.000,0.000,0.000,12.418,,,,,,,,,,,
29,1/30/1985,2.954,4.895,1,5.084,4.895,0.000,0.189,0.000,0.000,133.825,12.418,0.189,133.636,1.434,10.984,0.897,0.000,0.000,0.000,1.412,133.636,0.000,0.000,0.000,10.984,,,,,,,,,,,
30,1/31/1985,2.721,18.987,1,5.084,5.084,13.903,0.000,0.000,4.645,133.636,15.628,0.000,133.636,2.104,13.524,1.315,9.258,9.258,0.000,2.072,142.894,0.000,0.000,0.000,13.524,,,,,,,,,,,
31,2/1/1985,69.699,21.593,2,4.865,4.865,16.728,0.000,0.000,5.976,142.894,19.500,0.000,142.894,3.043,16.457,1.902,10.752,10.752,0.000,2.996,153.646,0.000,0.000,0.000,16.457,,,,,,,,,,,
32,2/2/1985,296.112,15.544,2,4.865,4.865,10.679,0.000,0.000,4.102,153.646,20.559,0.000,153.646,3.323,17.236,2.077,6.577,6.577,0.000,3.272,160.223,0.000,0.000,0.000,17.236,,,,,,,,,,,
33,2/3/1985,163.606,1.780,2,4.865,1.780,0.000,3.085,0.000,0.000,160.223,17.236,3.084,157.139,2.477,14.759,1.549,0.000,0.000,0.000,2.439,157.139,0.000,0.000,0.000,14.759,,,,,,,,,,,
34,2/4/1985,72.251,8.414,2,4.865,4.865,3.549,0.000,0.000,1.394,157.139,16.153,0.000,157.139,2.223,13.930,1.390,2.155,2.155,0.000,2.189,159.294,0.000,0.000,0.000,13.930,,,,,,,,,,,
35,2/5/1985,0.621,15.654,2,4.865,4.865,10.789,0.000,0.000,4.297,159.294,18.226,0.000,159.294,2.719,15.508,1.700,6.492,6.492,0.000,2.677,165.787,0.000,0.000,0.000,15.508,,,,,,,,,,,
36,2/6/1985,185.045,16.416,2,4.865,4.865,11.551,0.000,0.000,4.788,165.787,20.295,0.000,165.787,3.252,17.043,2.033,6.763,6.763,0.000,3.202,172.550,0.000,0.000,0.000,17.043,,,,,,,,,,,
37,2/7/1985,252.361,2.016,2,4.865,2.016,0.000,2.849,0.000,0.000,172.550,17.043,2.848,169.702,2.431,14.612,1.520,0.000,0.000,0.000,2.393,169.702,0.000,0.000,0.000,14.612,,,,,,,,,,,
38,2/8/1985,170.642,1.587,2,4.865,1.587,0.000,3.278,0.000,0.000,169.702,14.612,3.277,166.424,1.881,12.731,1.176,0.000,0.000,0.000,1.852,166.424,0.000,0.000,0.000,12.731,,,,,,,,,,,
39,2/9/1985,46.901,0.890,2,4.865,0.890,0.000,3.975,0.000,0.000,166.424,12.731,3.974,162.450,1.495,11.236,0.935,0.000,0.000,0.000,1.472,162.450,0.000,0.000,0.000,11.236,,,,,,,,,,,
40,2/10/1985,1.737,5.851,2,4.865,4.865,0.986,0.000,0.000,0.400,162.450,11.636,0.000,162.450,1.287,10.349,0.805,0.586,0.586,0.000,1.267,163.036,0.000,0.000,0.000,10.349,,,,,,,,,,,
