,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,1/1/1973,0.000,0.000,1,5.112,0.000,0.000,5.112,0.000,0.000,141.000,141.000,5.108,135.892,78.174,62.826,68.898,0.000,0.000,0.000,76.962,135.892,0.000,0.000,0.000,62.826,3035.910,329.822,5247.303,2706.088,2843.253,141.000,15.648,141.000,2.257,46.230,-2526.707
1,1/2/1973,2.181,0.199,1,5.112,0.199,0.000,4.913,0.000,0.000,135.892,62.826,4.907,130.985,20.320,42.506,17.909,0.000,0.000,0.000,20.005,130.985,0.000,0.000,0.000,42.506,,,,,,,,,,,
2,1/3/1973,0.980,1.679,1,5.112,1.679,0.000,3.433,0.000,0.000,130.985,42.506,3.428,127.557,10.595,31.911,9.338,0.000,0.000,0.000,10.431,127.557,0.000,0.000,0.000,31.911,,,,,,,,,,,
3,1/4/1973,0.860,5.325,1,5.112,5.112,0.213,0.000,0.000,0.068,127.557,31.979,0.000,127.557,6.594,25.385,5.811,0.145,0.145,0.000,6.491,127.702,0.000,0.000,0.000,25.385,,,,,,,,,,,
4,1/5/1973,0.860,1.754,1,5.112,1.754,0.000,3.358,0.000,0.000,127.702,25.385,3.352,124.350,4.487,20.898,3.955,0.000,0.000,0.000,4.418,124.350,0.000,0.000,0.000,20.898,,,,,,,,,,,
5,1/6/1973,0.617,0.009,1,5.112,0.009,0.000,5.103,0.000,0.000,124.350,20.898,5.093,119.257,3.245,17.653,2.860,0.000,0.000,0.000,3.195,119.257,0.000,0.000,0.000,17.653,,,,,,,,,,,
6,1/7/1973,0.558,1.428,1,5.112,1.428,0.000,3.684,0.000,0.000,119.257,17.653,3.675,115.582,2.449,15.203,2.159,0.000,0.000,0.000,2.411,115.582,0.000,0.000,0.000,15.203,,,,,,,,,,,
7,1/8/1973,0.502,2.381,1,5.112,2.381,0.000,2.731,0.000,0.000,115.582,15.203,2.723,112.860,1.910,13.294,1.683,0.000,0.000,0.000,1.880,112.860,0.000,0.000,0.000,13.294,,,,,,,,,,,
8,1/9/1973,0.476,3.395,1,5.112,3.395,0.000,1.717,0.000,0.000,112.860,13.294,1.711,111.149,1.527,11.767,1.346,0.000,0.000,0.000,1.503,111.149,0.000,0.000,0.000,11.767,,,,,,,,,,,
9,1/10/1973,0.450,2.622,1,5.112,2.622,0.000,2.490,0.000,0.000,111.149,11.767,2.480,108.668,1.246,10.521,1.098,0.000,0.000,0.000,1.227,108.668,0.000,0.000,0.000,10.521,,,,,,,,,,,
10,1/11/1973,0.502,2.316,1,5.112,2.316,0.000,2.796,0.000,0.000,108.668,10.521,2.784,105.885,1.034,9.487,0.911,0.000,0.000,0.000,1.018,105.885,0.000,0.000,0.000,9.487,,,,,,,,,,,
11,1/12/1973,0.402,1.785,1,5.112,1.785,0.000,3.327,0.000,0.000,105.885,9.487,3.310,102.574,0.870,8.617,0.767,0.000,0.000,0.000,0.857,102.574,0.000,0.000,0.000,8.617,,,,,,,,,,,
12,1/13/1973,0.379,4.403,1,5.112,4.403,0.000,0.709,0.000,0.000,102.574,8.617,0.705,101.869,0.741,7.876,0.653,0.000,0.000,0.000,0.730,101.869,0.000,0.000,0.000,7.876,,,,,,,,,,,
13,1/14/1973,0.357,2.258,1,5.112,2.258,0.000,2.854,0.000,0.000,101.869,7.876,2.836,99.033,0.638,7.238,0.562,0.000,0.000,0.000,0.628,99.033,0.000,0.000,0.000,7.238,,,,,,,,,,,
14,1/15/1973,0.336,10.510,1,5.112,5.112,5.398,0.000,0.000,1.336,99.033,8.574,0.000,99.033,0.735,7.839,0.648,4.062,4.062,0.000,0.724,103.095,0.000,0.000,0.000,7.839,,,,,,,,,,,
15,1/16/1973,0.402,3.174,1,5.112,3.174,0.000,1.938,0.000,0.000,103.095,7.839,1.927,101.168,0.633,7.206,0.558,0.000,0.000,0.000,0.623,101.168,0.000,0.000,0.000,7.206,,,,,,,,,,,
16,1/17/1973,0.336,1.545,1,5.112,1.545,0.000,3.567,0.000,0.000,101.168,7.206,3.544,97.623,0.550,6.656,0.485,0.000,0.000,0.000,0.542,97.623,0.000,0.000,0.000,6.656,,,,,,,,,,,
17,1/18/1973,0.316,0.298,1,5.112,0.298,0.000,4.814,0.000,0.000,97.623,6.656,4.777,92.846,0.482,6.174,0.425,0.000,0.000,0.000,0.475,92.846,0.000,0.000,0.000,6.174,,,,,,,,,,,
18,1/19/1973,0.297,1.230,1,5.112,1.230,0.000,3.882,0.000,0.000,92.846,6.174,3.845,89.001,0.425,5.749,0.375,0.000,0.000,0.000,0.419,89.001,0.000,0.000,0.000,5.749,,,,,,,,,,,
19,1/20/1973,0.227,1.165,1,5.112,1.165,0.000,3.947,0.000,0.000,89.001,5.749,3.901,85.100,0.378,5.371,0.333,0.000,0.000,0.000,0.372,85.100,0.000,0.000,0.000,5.371,,,,,,,,,,,
20,1/21/1973,0.212,0.648,1,5.112,0.648,0.000,4.464,0.000,0.000,85.100,5.371,4.401,80.700,0.337,5.034,0.297,0.000,0.000,0.000,0.332,80.700,0.000,0.000,0.000,5.034,,,,,,,,,,,
21,1/22/1973,0.278,0.520,1,5.112,0.520,0.000,4.592,0.000,0.000,80.700,5.034,4.511,76.189,0.303,4.731,0.267,0.000,0.000,0.000,0.298,76.189,0.000,0.000,0.000,4.731,,,,,,,,,,,
22,1/23/1973,0.227,0.007,1,5.112,0.007,0.000,5.105,0.000,0.000,76.189,4.731,4.992,71.197,0.273,4.458,0.241,0.000,0.000,0.000,0.269,71.197,0.000,0.000,0.000,4.458,,,,,,,,,,,
23,1/24/1973,0.227,0.081,1,5.112,0.081,0.000,5.031,0.000,0.000,71.197,4.458,4.888,66.309,0.247,4.211,0.218,0.000,0.000,0.000,0.243,66.309,0.000,0.000,0.000,4.211,,,,,,,,,,,
24,1/25/1973,0.227,1.685,1,5.112,1.685,0.000,3.427,0.000,0.000,66.309,4.211,3.303,63.007,0.225,3.987,0.198,0.000,0.000,0.000,0.221,63.007,0.000,0.000,0.000,3.987,,,,,,,,,,,
25,1/26/1973,0.227,2.432,1,5.112,2.432,0.000,2.680,0.000,0.000,63.007,3.987,2.565,60.442,0.205,3.781,0.181,0.000,0.000,0.000,0.202,60.442,0.000,0.000,0.000,3.781,,,,,,,,,,,
26,1/27/1973,0.227,1.698,1,5.112,1.698,0.000,3.414,0.000,0.000,60.442,3.781,3.248,57.194,0.188,3.594,0.166,0.000,0.000,0.000,0.185,57.194,0.000,0.000,0.000,3.594,,,,,,,,,,,
27,1/28/1973,8.935,6.159,1,5.112,5.112,1.047,0.000,0.000,0.150,57.194,3.743,0.000,57.194,0.185,3.559,0.163,0.897,0.897,0.000,0.182,58.091,0.000,0.000,0.000,3.559,,,,,,,,,,,
