,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,1/1/1973,0.000,0.000,1,5.112,0.000,0.000,5.112,0.000,0.000,141.000,210.207,2.586,138.414,152.093,58.114,1730.134,0.000,0.000,69.207,121.674,69.207,0.000,0.000,0.000,58.114,7027.715,552.068,15617.784,6475.646,4269.117,141.000,0.000,141.000,1.199,607.879,0.000
1,1/2/1973,2.181,0.199,1,5.112,0.199,0.000,4.913,0.000,0.000,69.207,91.999,1.437,67.770,38.371,53.628,436.491,0.000,0.000,33.885,30.697,33.885,0.000,0.000,0.000,53.628,,,,,,,,,,,
2,1/3/1973,0.980,1.679,1,5.112,1.679,0.000,3.433,0.000,0.000,33.885,70.303,0.535,33.350,24.509,45.794,278.800,0.000,0.000,16.675,19.607,16.675,0.000,0.000,0.000,45.794,,,,,,,,,,,
3,1/4/1973,0.860,5.325,1,5.112,5.112,0.213,0.000,0.000,0.009,16.675,54.141,0.000,16.675,15.858,38.283,180.389,0.204,0.204,8.337,12.686,8.542,0.000,0.000,0.000,38.283,,,,,,,,,,,
4,1/5/1973,0.860,1.754,1,5.112,1.754,0.000,3.358,0.000,0.000,8.542,42.484,0.140,8.401,10.586,31.898,120.422,0.000,0.000,4.201,8.469,4.201,0.000,0.000,0.000,31.898,,,,,,,,,,,
5,1/6/1973,0.617,0.009,1,5.112,0.009,0.000,5.103,0.000,0.000,4.201,33.945,0.106,4.095,7.283,26.662,82.850,0.000,0.000,2.047,5.827,2.047,0.000,0.000,0.000,26.662,,,,,,,,,,,
6,1/7/1973,0.558,1.428,1,5.112,1.428,0.000,3.684,0.000,0.000,2.047,27.667,0.038,2.010,5.180,22.487,58.920,0.000,0.000,1.005,4.144,1.005,0.000,0.000,0.000,22.487,,,,,,,,,,,
7,1/8/1973,0.502,2.381,1,5.112,2.381,0.000,2.731,0.000,0.000,1.005,22.983,0.014,0.991,3.802,19.181,43.252,0.000,0.000,0.496,3.042,0.496,0.000,0.000,0.000,19.181,,,,,,,,,,,
8,1/9/1973,0.476,3.395,1,5.112,3.395,0.000,1.717,0.000,0.000,0.496,19.426,0.004,0.491,2.873,16.553,32.682,0.000,0.000,0.246,2.298,0.246,0.000,0.000,0.000,16.553,,,,,,,,,,,
9,1/10/1973,0.450,2.622,1,5.112,2.622,0.000,2.490,0.000,0.000,0.246,16.674,0.003,0.243,2.227,14.447,25.337,0.000,0.000,0.121,1.782,0.121,0.000,0.000,0.000,14.447,,,,,,,,,,,
10,1/11/1973,0.502,2.316,1,5.112,2.316,0.000,2.796,0.000,0.000,0.121,14.507,0.002,0.120,1.766,12.741,20.089,0.000,0.000,0.060,1.413,0.060,0.000,0.000,0.000,12.741,,,,,,,,,,,
11,1/12/1973,0.402,1.785,1,5.112,1.785,0.000,3.327,0.000,0.000,0.060,12.770,0.001,0.059,1.428,11.342,16.243,0.000,0.000,0.029,1.142,0.029,0.000,0.000,0.000,11.342,,,,,,,,,,,
12,1/13/1973,0.379,4.403,1,5.112,4.403,0.000,0.709,0.000,0.000,0.029,11.357,0.000,0.029,1.174,10.183,13.359,0.000,0.000,0.015,0.940,0.015,0.000,0.000,0.000,10.183,,,,,,,,,,,
13,1/14/1973,0.357,2.258,1,5.112,2.258,0.000,2.854,0.000,0.000,0.015,10.190,0.000,0.014,0.980,9.210,11.150,0.000,0.000,0.007,0.784,0.007,0.000,0.000,0.000,9.210,,,,,,,,,,,
14,1/15/1973,0.336,10.510,1,5.112,5.112,5.398,0.000,0.000,0.000,0.007,9.213,0.000,0.007,0.829,8.385,9.427,5.398,5.398,0.004,0.663,5.402,0.000,0.000,0.000,8.385,,,,,,,,,,,
15,1/16/1973,0.402,3.174,1,5.112,3.174,0.000,1.938,0.000,0.000,5.402,11.060,0.052,5.350,1.124,9.936,12.781,0.000,0.000,2.675,0.899,2.675,0.000,0.000,0.000,9.936,,,,,,,,,,,
16,1/17/1973,0.336,1.545,1,5.112,1.545,0.000,3.567,0.000,0.000,2.675,11.250,0.047,2.628,1.156,10.094,13.150,0.000,0.000,1.314,0.925,1.314,0.000,0.000,0.000,10.094,,,,,,,,,,,
17,1/18/1973,0.316,0.298,1,5.112,0.298,0.000,4.814,0.000,0.000,1.314,10.735,0.032,1.282,1.069,9.666,12.162,0.000,0.000,0.641,0.855,0.641,0.000,0.000,0.000,9.666,,,,,,,,,,,
18,1/19/1973,0.297,1.230,1,5.112,1.230,0.000,3.882,0.000,0.000,0.641,9.980,0.012,0.629,0.947,9.033,10.771,0.000,0.000,0.314,0.757,0.314,0.000,0.000,0.000,9.033,,,,,,,,,,,
19,1/20/1973,0.227,1.165,1,5.112,1.165,0.000,3.947,0.000,0.000,0.314,9.188,0.006,0.308,0.825,8.363,9.383,0.000,0.000,0.154,0.660,0.154,0.000,0.000,0.000,8.363,,,,,,,,,,,
20,1/21/1973,0.212,0.648,1,5.112,0.648,0.000,4.464,0.000,0.000,0.154,8.438,0.003,0.151,0.716,7.722,8.142,0.000,0.000,0.075,0.573,0.075,0.000,0.000,0.000,7.722,,,,,,,,,,,
21,1/22/1973,0.278,0.520,1,5.112,0.520,0.000,4.592,0.000,0.000,0.075,7.759,0.002,0.074,0.622,7.137,7.080,0.000,0.000,0.037,0.498,0.037,0.000,0.000,0.000,7.137,,,,,,,,,,,
22,1/23/1973,0.227,0.007,1,5.112,0.007,0.000,5.105,0.000,0.000,0.037,7.155,0.001,0.036,0.544,6.611,6.185,0.000,0.000,0.018,0.435,0.018,0.000,0.000,0.000,6.611,,,,,,,,,,,
23,1/24/1973,0.227,0.081,1,5.112,0.081,0.000,5.031,0.000,0.000,0.018,6.620,0.000,0.017,0.478,6.142,5.433,0.000,0.000,0.009,0.382,0.009,0.000,0.000,0.000,6.142,,,,,,,,,,,
24,1/25/1973,0.227,1.685,1,5.112,1.685,0.000,3.427,0.000,0.000,0.009,6.146,0.000,0.009,0.422,5.724,4.801,0.000,0.000,0.004,0.338,0.004,0.000,0.000,0.000,5.724,,,,,,,,,,,
25,1/26/1973,0.227,2.432,1,5.112,2.432,0.000,2.680,0.000,0.000,0.004,5.726,0.000,0.004,0.375,5.351,4.267,0.000,0.000,0.002,0.300,0.002,0.000,0.000,0.000,5.351,,,,,,,,,,,
26,1/27/1973,0.227,1.698,1,5.112,1.698,0.000,3.414,0.000,0.000,0.002,5.352,0.000,0.002,0.335,5.017,3.813,0.000,0.000,0.001,0.268,0.001,0.000,0.000,0.000,5.017,,,,,,,,,,,
27,1/28/1973,8.935,6.159,1,5.112,5.112,1.047,0.000,0.000,0.000,0.001,5.018,0.000,0.001,0.301,4.717,3.424,1.047,1.047,0.001,0.241,1.048,0.000,0.000,0.000,4.717,,,,,,,,,,,
28,1/29/1973,1.067,0.302,1,5.112,0.302,0.000,4.810,0.000,0.000,1.048,5.228,0.025,1.022,0.322,4.906,3.666,0.000,0.000,0.511,0.258,0.511,0.000,0.000,0.000,4.906,,,,,,,,,,,
29,1/30/1973,0.681,0.386,1,5.112,0.386,0.000,4.726,0.000,0.000,0.511,5.155,0.012,0.499,0.315,4.840,3.582,0.000,0.000,0.250,0.252,0.250,0.000,0.000,0.000,4.840,,,,,,,,,,,
30,1/31/1973,0.476,0.170,1,5.112,0.170,0.000,4.942,0.000,0.000,0.250,4.962,0.006,0.243,0.295,4.667,3.361,0.000,0.000,0.122,0.236,0.122,0.000,0.000,0.000,4.667,,,,,,,,,,,
31,2/1/1973,0.502,0.000,2,4.868,0.000,0.000,4.868,0.000,0.000,0.122,4.726,0.003,0.119,0.272,4.454,3.098,0.000,0.000,0.059,0.218,0.059,0.000,0.000,0.000,4.454,,,,,,,,,,,
32,2/2/1973,0.450,0.024,2,4.868,0.024,0.000,4.844,0.000,0.000,0.059,4.483,0.001,0.058,0.249,4.233,2.837,0.000,0.000,0.029,0.200,0.029,0.000,0.000,0.000,4.233,,,,,,,,,,,
33,2/3/1973,0.402,0.000,2,4.868,0.000,0.000,4.868,0.000,0.000,0.029,4.247,0.001,0.028,0.228,4.019,2.593,0.000,0.000,0.014,0.182,0.014,0.000,0.000,0.000,4.019,,,,,,,,,,,
34,2/4/1973,0.402,0.000,2,4.868,0.000,0.000,4.868,0.000,0.000,0.014,4.026,0.000,0.014,0.209,3.818,2.372,0.000,0.000,0.007,0.167,0.007,0.000,0.000,0.000,3.818,,,,,,,,,,,
35,2/5/1973,0.357,0.011,2,4.868,0.011,0.000,4.857,0.000,0.000,0.007,3.821,0.000,0.007,0.191,3.630,2.174,0.000,0.000,0.003,0.153,0.003,0.000,0.000,0.000,3.630,,,,,,,,,,,
36,2/6/1973,0.336,0.000,2,4.868,0.000,0.000,4.868,0.000,0.000,0.003,3.632,0.000,0.003,0.176,3.456,1.997,0.000,0.000,0.002,0.140,0.002,0.000,0.000,0.000,3.456,,,,,,,,,,,
37,2/7/1973,0.260,0.000,2,4.868,0.000,0.000,4.868,0.000,0.000,0.002,3.457,0.000,0.002,0.162,3.295,1.840,0.000,0.000,0.001,0.129,0.001,0.000,0.000,0.000,3.295,,,,,,,,,,,
38,2/8/1973,0.316,0.044,2,4.868,0.044,0.000,4.824,0.000,0.000,0.001,3.295,0.000,0.001,0.149,3.146,1.699,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,3.146,,,,,,,,,,,
39,2/9/1973,0.316,0.211,2,4.868,0.211,0.000,4.657,0.000,0.000,0.000,3.146,0.000,0.000,0.138,3.008,1.573,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,3.008,,,,,,,,,,,
40,2/10/1973,0.243,0.312,2,4.868,0.312,0.000,4.556,0.000,0.000,0.000,3.008,0.000,0.000,0.128,2.880,1.459,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,2.880,,,,,,,,,,,
41,2/11/1973,0.243,0.138,2,4.868,0.138,0.000,4.730,0.000,0.000,0.000,2.880,0.000,0.000,0.119,2.761,1.357,0.000,0.000,0.000,0.095,0.000,0.000,0.000,0.000,2.761,,,,,,,,,,,
42,2/12/1973,0.227,0.225,2,4.868,0.225,0.000,4.643,0.000,0.000,0.000,2.761,0.000,0.000,0.111,2.649,1.265,0.000,0.000,0.000,0.089,0.000,0.000,0.000,0.000,2.649,,,,,,,,,,,
43,2/13/1973,0.000,1.087,2,4.868,1.087,0.000,3.781,0.000,0.000,0.000,2.649,0.000,0.000,0.104,2.546,1.181,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,2.546,,,,,,,,,,,
