,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,4/1/1972,0.000,5.962,4,4.254,4.254,1.708,0.000,0.000,0.602,141.000,212.102,0.000,141.000,82.648,129.454,2401.245,1.106,1.106,70.500,66.118,71.606,0.000,0.000,0.000,129.454,6076.680,302.952,12803.811,5773.727,3649.321,141.000,0.000,141.000,0.646,541.742,0.000
1,4/2/1972,0.000,6.867,4,4.254,4.254,2.613,0.000,0.000,0.468,71.606,165.725,0.000,71.606,54.782,110.943,1591.627,2.145,2.145,35.803,43.825,37.948,0.000,0.000,0.000,110.943,,,,,,,,,,,
2,4/3/1972,0.000,1.029,4,4.254,1.029,0.000,3.225,0.000,0.000,37.948,129.639,0.557,37.391,36.381,93.257,1057.024,0.000,0.000,18.695,29.105,18.695,0.000,0.000,0.000,93.257,,,,,,,,,,,
3,4/4/1972,0.000,1.019,4,4.254,1.019,0.000,3.235,0.000,0.000,18.695,102.460,0.289,18.407,24.580,77.880,714.148,0.000,0.000,9.203,19.664,9.203,0.000,0.000,0.000,77.880,,,,,,,,,,,
4,4/5/1972,0.000,0.185,4,4.254,0.185,0.000,4.069,0.000,0.000,9.203,82.390,0.183,9.020,17.092,65.299,496.581,0.000,0.000,4.510,13.673,4.510,0.000,0.000,0.000,65.299,,,,,,,,,,,
5,4/6/1972,0.000,0.408,4,4.254,0.408,0.000,3.846,0.000,0.000,4.510,67.511,0.086,4.424,12.263,55.248,356.303,0.000,0.000,2.212,9.811,2.212,0.000,0.000,0.000,55.248,,,,,,,,,,,
6,4/7/1972,0.000,0.000,4,4.254,0.000,0.000,4.254,0.000,0.000,2.212,56.330,0.047,2.165,9.069,47.261,263.490,0.000,0.000,1.083,7.255,1.083,0.000,0.000,0.000,47.261,,,,,,,,,,,
7,4/8/1972,0.000,0.274,4,4.254,0.274,0.000,3.980,0.000,0.000,1.083,47.792,0.021,1.061,6.896,40.896,200.348,0.000,0.000,0.531,5.517,0.531,0.000,0.000,0.000,40.896,,,,,,,,,,,
8,4/9/1972,0.000,2.008,4,4.254,2.008,0.000,2.246,0.000,0.000,0.531,41.158,0.006,0.525,5.376,35.783,156.180,0.000,0.000,0.262,4.300,0.262,0.000,0.000,0.000,35.783,,,,,,,,,,,
9,4/10/1972,0.000,1.932,4,4.254,1.932,0.000,2.322,0.000,0.000,0.262,35.913,0.003,0.259,4.283,31.630,124.434,0.000,0.000,0.130,3.426,0.130,0.000,0.000,0.000,31.630,,,,,,,,,,,
10,4/11/1972,0.000,2.210,4,4.254,2.210,0.000,2.044,0.000,0.000,0.130,31.694,0.001,0.128,3.478,28.216,101.038,0.000,0.000,0.064,2.782,0.064,0.000,0.000,0.000,28.216,,,,,,,,,,,
11,4/12/1972,0.000,5.276,4,4.254,4.254,1.022,0.000,0.000,0.000,0.064,28.248,0.000,0.064,2.871,25.378,83.404,1.022,1.022,0.032,2.297,1.054,0.000,0.000,0.000,25.378,,,,,,,,,,,
12,4/13/1972,0.000,6.331,4,4.254,4.254,2.077,0.000,0.000,0.005,1.054,25.910,0.000,1.054,2.486,23.425,72.218,2.072,2.072,0.527,1.989,2.598,0.000,0.000,0.000,23.425,,,,,,,,,,,
13,4/14/1972,0.000,2.495,4,4.254,2.495,0.000,1.759,0.000,0.000,2.598,24.712,0.023,2.576,2.297,22.415,66.740,0.000,0.000,1.288,1.838,1.288,0.000,0.000,0.000,22.415,,,,,,,,,,,
14,4/15/1972,0.000,0.491,4,4.254,0.491,0.000,3.763,0.000,0.000,1.288,23.047,0.024,1.264,2.045,21.002,59.414,0.000,0.000,0.632,1.636,0.632,0.000,0.000,0.000,21.002,,,,,,,,,,,
15,4/16/1972,0.000,0.326,4,4.254,0.326,0.000,3.928,0.000,0.000,0.632,21.312,0.012,0.619,1.795,19.517,52.148,0.000,0.000,0.310,1.436,0.310,0.000,0.000,0.000,19.517,,,,,,,,,,,
16,4/17/1972,0.000,1.327,4,4.254,1.327,0.000,2.927,0.000,0.000,0.310,19.670,0.005,0.305,1.570,18.099,45.624,0.000,0.000,0.153,1.256,0.153,0.000,0.000,0.000,18.099,,,,,,,,,,,
17,4/18/1972,0.000,8.693,4,4.254,4.254,4.439,0.000,0.000,0.002,0.153,18.177,0.000,0.153,1.377,16.801,40.002,4.437,4.437,0.076,1.101,4.514,0.000,0.000,0.000,16.801,,,,,,,,,,,
18,4/19/1972,0.000,11.109,4,4.254,4.254,6.855,0.000,0.000,0.077,4.514,19.135,0.000,4.514,1.500,17.635,43.575,6.778,6.778,2.257,1.200,9.034,0.000,0.000,0.000,17.635,,,,,,,,,,,
19,4/20/1972,0.000,5.049,4,4.254,4.254,0.795,0.000,0.000,0.018,9.034,22.170,0.000,9.034,1.917,20.253,55.694,0.777,0.777,4.517,1.534,5.294,0.000,0.000,0.000,20.253,,,,,,,,,,,
20,4/21/1972,0.000,0.427,4,4.254,0.427,0.000,3.827,0.000,0.000,5.294,22.850,0.100,5.194,2.016,20.834,58.571,0.000,0.000,2.597,1.613,2.597,0.000,0.000,0.000,20.834,,,,,,,,,,,
21,4/22/1972,0.000,0.496,4,4.254,0.496,0.000,3.758,0.000,0.000,2.597,22.109,0.048,2.549,1.908,20.201,55.437,0.000,0.000,1.274,1.526,1.274,0.000,0.000,0.000,20.201,,,,,,,,,,,
22,4/23/1972,0.213,2.362,4,4.254,2.362,0.000,1.892,0.000,0.000,1.274,20.832,0.012,1.262,1.728,19.104,50.204,0.000,0.000,0.631,1.382,0.631,0.000,0.000,0.000,19.104,,,,,,,,,,,
23,4/24/1972,0.284,1.223,4,4.254,1.223,0.000,3.031,0.000,0.000,0.631,19.415,0.010,0.622,1.537,17.878,44.642,0.000,0.000,0.311,1.229,0.311,0.000,0.000,0.000,17.878,,,,,,,,,,,
24,4/25/1972,0.213,3.981,4,4.254,3.981,0.000,0.273,0.000,0.000,0.311,18.033,0.000,0.310,1.359,16.675,39.475,0.000,0.000,0.155,1.087,0.155,0.000,0.000,0.000,16.675,,,,,,,,,,,
25,4/26/1972,0.174,1.433,4,4.254,1.433,0.000,2.821,0.000,0.000,0.155,16.751,0.002,0.153,1.202,15.550,34.909,0.000,0.000,0.077,0.961,0.077,0.000,0.000,0.000,15.550,,,,,,,,,,,
26,4/27/1972,0.124,1.878,4,4.254,1.878,0.000,2.376,0.000,0.000,0.077,15.587,0.001,0.076,1.066,14.522,30.961,0.000,0.000,0.038,0.853,0.038,0.000,0.000,0.000,14.522,,,,,,,,,,,
27,4/28/1972,0.096,1.957,4,4.254,1.957,0.000,2.297,0.000,0.000,0.038,14.540,0.000,0.037,0.949,13.591,27.573,0.000,0.000,0.019,0.759,0.019,0.000,0.000,0.000,13.591,,,,,,,,,,,
28,4/29/1972,0.073,0.700,4,4.254,0.700,0.000,3.554,0.000,0.000,0.019,13.601,0.000,0.018,0.849,12.752,24.667,0.000,0.000,0.009,0.679,0.009,0.000,0.000,0.000,12.752,,,,,,,,,,,
29,4/30/1972,0.073,5.582,4,4.254,4.254,1.328,0.000,0.000,0.000,0.009,12.756,0.000,0.009,0.763,11.993,22.168,1.328,1.328,0.005,0.610,1.333,0.000,0.000,0.000,11.993,,,,,,,,,,,
30,5/1/1972,0.311,0.162,5,3.672,0.162,0.000,3.510,0.000,0.000,1.333,12.648,0.023,1.309,0.752,11.896,21.855,0.000,0.000,0.655,0.602,0.655,0.000,0.000,0.000,11.896,,,,,,,,,,,
