,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,3/1/1973,0.000,0.000,3,4.542,0.000,0.000,4.542,0.000,0.000,141.000,210.351,2.298,138.702,171.235,39.116,931.163,0.000,0.000,69.351,136.988,69.351,0.000,0.000,0.000,39.116,16009.905,565.336,45023.422,15444.569,9745.054,141.000,12.189,141.000,21.108,1302.710,0.001
1,3/2/1973,0.000,0.456,3,4.542,0.456,0.000,4.086,0.000,0.000,69.351,73.193,1.197,68.154,29.476,43.717,160.288,0.000,0.000,34.077,23.581,34.077,0.000,0.000,0.000,43.717,,,,,,,,,,,
2,3/3/1973,0.000,2.995,3,4.542,2.995,0.000,1.547,0.000,0.000,34.077,60.634,0.242,33.834,21.538,39.096,117.125,0.000,0.000,16.917,17.231,16.917,0.000,0.000,0.000,39.096,,,,,,,,,,,
3,3/4/1973,0.000,5.267,3,4.542,4.542,0.725,0.000,0.000,0.031,16.917,47.585,0.000,16.917,14.381,33.204,78.205,0.694,0.694,8.459,11.505,9.153,0.000,0.000,0.000,33.204,,,,,,,,,,,
4,3/5/1973,0.000,1.561,3,4.542,1.561,0.000,2.981,0.000,0.000,9.153,37.713,0.133,9.019,9.761,27.952,53.081,0.000,0.000,4.510,7.809,4.510,0.000,0.000,0.000,27.952,,,,,,,,,,,
5,3/6/1973,0.000,0.622,3,4.542,0.622,0.000,3.920,0.000,0.000,4.510,30.163,0.087,4.422,6.727,23.436,36.580,0.000,0.000,2.211,5.381,2.211,0.000,0.000,0.000,23.436,,,,,,,,,,,
6,3/7/1973,0.000,4.164,3,4.542,4.164,0.000,0.378,0.000,0.000,2.211,24.540,0.004,2.207,4.769,19.770,25.936,0.000,0.000,1.103,3.816,1.103,0.000,0.000,0.000,19.770,,,,,,,,,,,
7,3/8/1973,0.000,1.382,3,4.542,1.382,0.000,3.160,0.000,0.000,1.103,20.313,0.017,1.086,3.481,16.833,18.927,0.000,0.000,0.543,2.784,0.543,0.000,0.000,0.000,16.833,,,,,,,,,,,
8,3/9/1973,0.000,4.586,3,4.542,4.542,0.044,0.000,0.000,0.000,0.543,17.104,0.000,0.543,2.613,14.491,14.211,0.044,0.044,0.272,2.091,0.315,0.000,0.000,0.000,14.491,,,,,,,,,,,
9,3/10/1973,0.000,3.225,3,4.542,3.225,0.000,1.317,0.000,0.000,0.315,14.648,0.002,0.313,2.018,12.629,10.975,0.000,0.000,0.157,1.615,0.157,0.000,0.000,0.000,12.629,,,,,,,,,,,
10,3/11/1973,0.000,3.374,3,4.542,3.374,0.000,1.168,0.000,0.000,0.157,12.707,0.001,0.156,1.593,11.115,8.660,0.000,0.000,0.078,1.274,0.078,0.000,0.000,0.000,11.115,,,,,,,,,,,
11,3/12/1973,0.000,20.207,3,4.542,4.542,15.665,0.000,0.000,0.003,0.078,11.157,0.000,0.078,1.282,9.875,6.972,15.662,15.662,0.039,1.026,15.701,0.000,0.000,0.000,9.875,,,,,,,,,,,
12,3/13/1973,0.000,1.553,3,4.542,1.553,0.000,2.989,0.000,0.000,15.701,17.612,0.226,15.475,2.744,14.868,14.921,0.000,0.000,7.737,2.195,7.737,0.000,0.000,0.000,14.868,,,,,,,,,,,
13,3/14/1973,0.000,2.806,3,4.542,2.806,0.000,1.736,0.000,0.000,7.737,18.704,0.066,7.672,3.033,15.671,16.494,0.000,0.000,3.836,2.427,3.836,0.000,0.000,0.000,15.671,,,,,,,,,,,
14,3/15/1973,0.000,1.653,3,4.542,1.653,0.000,2.889,0.000,0.000,3.836,17.561,0.055,3.781,2.731,14.830,14.849,0.000,0.000,1.890,2.185,1.890,0.000,0.000,0.000,14.830,,,,,,,,,,,
