,data,vazao,chuva_media,mes,evaporacao,evap_inicial,retencao,evap_n_atendida,ret_corrig,escoamento,reserv_solo,S1,RE,Solo,C,S2,vazao_calc,Ps,rec_solo,rec_rio,perdas,reserv_solo_corrig,profundo,Fg,profundo_corrigido,S3,volume_precipitado,lamina_Q_observada,evaporacao_potencial,evaporacao_real_maxima,evaporacao_real,solo_inicio,solo_fim,armazenamento_sup_inicio,armazenamento_sup_fim,escoado,balanco
0,4/1/1972,0.000,6.895,4,4.251,4.251,2.644,0.000,0.000,0.932,141.000,212.432,0.000,141.000,154.163,58.269,2163.199,1.712,1.712,70.500,123.331,72.212,0.000,0.000,0.000,58.269,2284.352,318.396,4443.214,1965.956,1335.271,141.000,0.001,141.000,5.478,245.120,0.000
1,4/2/1972,0.000,8.152,4,4.251,4.251,3.901,0.000,0.000,0.704,72.212,95.079,0.000,72.212,40.373,54.706,566.506,3.197,3.197,36.106,32.298,39.303,0.000,0.000,0.000,54.706,,,,,,,,,,,
2,4/3/1972,0.000,0.288,4,4.251,0.288,0.000,3.963,0.000,0.000,39.303,74.004,0.707,38.596,26.589,47.415,373.098,0.000,0.000,19.298,21.271,19.298,0.000,0.000,0.000,47.415,,,,,,,,,,,
3,4/4/1972,0.000,0.134,4,4.251,0.134,0.000,4.117,0.000,0.000,19.298,56.874,0.379,18.919,17.145,39.729,240.579,0.000,0.000,9.460,13.716,9.460,0.000,0.000,0.000,39.729,,,,,,,,,,,
4,4/5/1972,0.000,0.666,4,4.251,0.666,0.000,3.585,0.000,0.000,9.460,44.376,0.166,9.294,11.338,33.038,159.091,0.000,0.000,4.647,9.070,4.647,0.000,0.000,0.000,33.038,,,,,,,,,,,
5,4/6/1972,0.000,1.195,4,4.251,1.195,0.000,3.056,0.000,0.000,4.647,35.327,0.070,4.577,7.753,27.574,108.785,0.000,0.000,2.288,6.202,2.288,0.000,0.000,0.000,27.574,,,,,,,,,,,
6,4/7/1972,0.000,0.000,4,4.251,0.000,0.000,4.251,0.000,0.000,2.288,28.694,0.048,2.240,5.482,23.212,76.922,0.000,0.000,1.120,4.386,1.120,0.000,0.000,0.000,23.212,,,,,,,,,,,
7,4/8/1972,0.000,0.496,4,4.251,0.496,0.000,3.755,0.000,0.000,1.120,23.762,0.021,1.099,4.003,19.758,56.173,0.000,0.000,0.550,3.203,0.550,0.000,0.000,0.000,19.758,,,,,,,,,,,
8,4/9/1972,0.000,0.671,4,4.251,0.671,0.000,3.580,0.000,0.000,0.550,20.028,0.010,0.540,3.011,17.017,42.248,0.000,0.000,0.270,2.409,0.270,0.000,0.000,0.000,17.017,,,,,,,,,,,
9,4/10/1972,0.000,1.023,4,4.251,1.023,0.000,3.228,0.000,0.000,0.270,17.150,0.004,0.265,2.325,14.825,32.622,0.000,0.000,0.133,1.860,0.133,0.000,0.000,0.000,14.825,,,,,,,,,,,
10,4/11/1972,0.000,0.700,4,4.251,0.700,0.000,3.551,0.000,0.000,0.133,14.891,0.002,0.130,1.837,13.053,25.778,0.000,0.000,0.065,1.470,0.065,0.000,0.000,0.000,13.053,,,,,,,,,,,
11,4/12/1972,0.000,2.635,4,4.251,2.635,0.000,1.616,0.000,0.000,0.065,13.086,0.001,0.065,1.481,11.605,20.784,0.000,0.000,0.032,1.185,0.032,0.000,0.000,0.000,11.605,,,,,,,,,,,
12,4/13/1972,0.000,4.360,4,4.251,4.251,0.109,0.000,0.000,0.000,0.032,11.621,0.000,0.032,1.215,10.405,17.052,0.109,0.109,0.016,0.972,0.125,0.000,0.000,0.000,10.405,,,,,,,,,,,
13,4/14/1972,0.000,7.454,4,4.251,4.251,3.203,0.000,0.000,0.001,0.125,10.469,0.000,0.125,1.021,9.448,14.330,3.202,3.202,0.063,0.817,3.265,0.000,0.000,0.000,9.448,,,,,,,,,,,
14,4/15/1972,0.000,1.222,4,4.251,1.222,0.000,3.029,0.000,0.000,3.265,11.056,0.049,3.216,1.118,9.937,15.693,0.000,0.000,1.608,0.895,1.608,0.000,0.000,0.000,9.937,,,,,,,,,,,
15,4/16/1972,0.000,0.552,4,4.251,0.552,0.000,3.699,0.000,0.000,1.608,10.726,0.030,1.578,1.063,9.663,14.922,0.000,0.000,0.789,0.851,0.789,0.000,0.000,0.000,9.663,,,,,,,,,,,
