Bacia,Flu. Station,Area (km²),S (mm),Ks,NSE Cal.,NSE Val.,NSEsqrt Cal.,NSEsqrt Val.,NSElog Cal.,NSElog Val.,Pbias (%) Cal.,Pbias (%) Val.
METROPOLITANA,Araçoiaba,1614,76,0.0,0.46,0.31,0.66,0.1,-2.03,-15.8,3.81,141.46
METROPOLITANA,Chorozinho,4058,76,0.00553,0.74,0.68,0.86,0.85,0.56,0.58,1.17,-10.42
BANABUIÚ,Morada Nova,17237,76,0.0,0.71,0.43,0.66,0.21,-0.48,-0.56,-2.57,41.5
BANABUIÚ,Quixeramobim,7038,66,0.0,0.61,0.56,0.8,0.45,0.58,0.37,-0.01,61.28
BANABUIÚ,Senador Pompeu,4525,103,0.00503,0.76,0.51,0.8,0.42,0.49,0.14,14.15,53.27
CURU,Paracuru,5898,85,0.0,0.46,-1.56,0.37,-0.9,-1.1,-0.62,0.03,144.2
CAPIBARIBE,Engenho Sítio,376,143,0.00434,0.22,0.38,0.54,0.65,0.79,0.75,-23.13,-13.87
CAPIBARIBE,Engenho Sítio (c.),376,143,0.00426,0.21,0.38,0.5,0.64,0.7,0.74,-11.56,-14.62
CAPIBARIBE,Limoeiro,5593,130,0.00294,0.79,0.46,0.81,0.43,0.69,0.36,-5.95,54.13
CAPIBARIBE,Limoeiro (c.),5593,130,0.00306,0.79,0.44,0.81,0.41,0.69,0.35,-4.34,58.29
CAPIBARIBE,Limoeiro (r.),5593,130,0.00358,0.79,0.61,0.81,0.71,0.71,0.54,-2.29,2.59
CAPIBARIBE,Limoeiro (c. r.),5593,130,0.0027,0.84,0.63,0.77,0.75,0.64,0.59,-7.61,-1.74
CAPIBARIBE,Paudalho,6145,79,0.00108,0.62,0.24,0.53,0.45,0.15,0.11,13.28,2.85
CAPIBARIBE,Paudalho (c.),6145,79,0.00311,0.63,0.13,0.54,0.44,0.5,0.33,5.39,8.04
CAPIBARIBE,Paudalho (r.),6145,79,1.0,0.6,0.5,0.64,0.46,0.68,0.63,4.31,28.09
CAPIBARIBE,Paudalho (c. r.),6145,79,0.00183,0.64,0.73,0.64,0.52,0.63,0.61,3.39,29.48
CAPIBARIBE,Salgadinho,4904,62,0.0,0.43,0.4,0.69,0.49,-2.02,-0.92,-23.77,8.37
CAPIBARIBE,Salgadinho (c.),4904,62,0.00498,0.53,0.48,0.55,0.66,-2.43,-1.73,3.81,-10.83
CAPIBARIBE,Salgadinho (r.),4904,62,0.01188,-0.07,0.59,0.4,0.65,0.31,0.56,-6.53,-36.58
CAPIBARIBE,Salgadinho (c. r.),4904,62,0.00494,0.53,0.57,0.56,0.78,-2.28,-4.82,4.23,-33.95
CAPIBARIBE,Santa Cruz,1556,80,0.012,0.42,0.46,0.49,0.67,-2.07,-1.98,-16.09,-34.73
CAPIBARIBE,Santa Cruz (c.),1556,80,0.0,0.45,0.43,0.52,0.64,-17.6,-12.44,-10.79,-31.04
CAPIBARIBE,S. L. da Mata II,7236,77,0.0,0.39,0.3,0.59,0.25,0.16,0.24,-3.93,39.38
CAPIBARIBE,S. L. da Mata II (c.),7236,77,0.0,0.39,0.3,0.6,0.25,0.16,0.22,-4.14,39.71
CAPIBARIBE,Toritama,2433,80,0.00648,0.76,0.4,0.85,0.43,-0.47,-1.85,0.59,43.93
CAPIBARIBE,Toritama (c.),2433,80,0.00613,0.76,0.39,0.83,0.4,-1.02,-3.37,3.62,47.64
CAPIBARIBE,Toritama (r.),2433,80,0.01343,0.68,0.76,0.8,0.86,0.46,0.54,-6.82,2.93
CAPIBARIBE,Toritama (c. r.),2433,80,0.00582,0.76,0.74,0.84,0.87,0.08,0.42,-7.64,-2.24
CAPIBARIBE,Vitória de S.A.,264,121,0.00366,0.64,0.65,0.71,0.61,0.31,0.14,-1.32,-7.83
CAPIBARIBE,Vitória de S.A. (c.),264,121,0.00271,0.59,0.63,0.67,0.64,0.56,0.58,8.45,2.44
PAJEÚ,Afogados,3486,65,0.0,0.55,0.1,0.47,0.36,0.1,0.14,31.09,77.04
PAJEÚ,Flores,4914,64,0.0,0.7,0.09,0.85,0.37,0.46,0.23,2.77,101.41
PAJEÚ,Flores (r.),4914,64,0.0,0.69,0.79,0.86,0.87,-0.21,0.77,-0.93,-0.59
PAJEÚ,Floresta,12090,70,0.0,0.6,0.49,0.76,0.54,0.59,0.54,-5.31,30.82
PAJEÚ,Floresta (r.),12090,70,0.0,0.6,0.6,0.75,0.79,0.6,0.77,-3.81,-7.67
PAJEÚ,Ilha Grande,2262,67,0.0,0.39,0.28,0.14,0.07,-0.14,-0.7,24.11,7.68
PAJEÚ,Ilha Grande (r.),2262,67,0.0,0.65,0.69,0.75,0.71,0.46,0.49,14.68,12.73
PAJEÚ,Serra Talhada,5825,65,0.0,0.59,0.37,0.73,0.55,0.5,0.51,-12.23,18.85
PAJEÚ,Serra Talhada (r.),5825,65,0.0,0.63,0.57,0.84,0.74,0.69,0.34,-4.69,-21.07
BRÍGIDA,Poço do Fumo,3516,177,0.00619,0.63,0.58,0.63,0.76,-2.65,-1.24,-4.04,-27.92
BRÍGIDA,Poço do Fumo (r.),3516,177,0.00923,0.65,0.52,0.55,0.59,-0.47,0.34,0.82,-12.39
