vazao,vazao_calc,chuva_media
0.0,0.0,3.543
0.0,0.0,0.245
0.0,0.0,0.037
0.0,0.0,5.036
0.0,0.0,0.262
0.0,0.0,1.353
0.0,0.0,2.226
0.0,0.0,2.654
0.0,0.0,3.966
0.0,0.0,0.009
0.0,0.0,1.802
0.0,0.0,7.696
0.0,0.0,1.908
0.0,0.0,0.0
0.0,0.0,2.634
0.0,0.0,2.566
0.0,0.0011703214,4.989
0.0,0.0041324245,1.837
0.0,0.0080861915,6.997
0.0,0.0,1.137
0.0,0.0,3.283
0.0,0.0,7.329
0.0,0.083181046,18.947
0.0,0.5786652,11.3
0.0,2.0825143,12.439
1.911,10.857405,21.97
0.16,12.466258,5.873
2.721,20.249577,12.295
1.911,31.822159,13.774
2.954,28.153399,4.895
2.721,51.965744,18.987
69.699,91.91998,21.593
296.112,107.155136,15.544
163.606,61.81414,1.78
72.251,59.872475,8.414
0.621,81.83242,15.654
185.045,104.25948,16.416
252.361,61.53168,2.016
170.642,37.108955,1.587
46.901,20.859976,0.89
1.737,22.497017,5.851
0.02,49.63412,18.12
246.909,97.51342,22.128
197.379,122.71242,17.396
174.202,141.69621,17.32
255.104,223.94788,28.229
526.277,159.46626,9.991
133.344,177.98112,18.99
485.423,224.4852,24.125
124.828,179.18416,13.187
312.259,219.6734,23.25
367.318,219.00291,19.581
447.515,150.25433,8.711
513.712,84.887215,2.259
103.497,44.234425,0.153
86.431,26.235476,1.224
70.546,12.910803,0.166
112.455,6.0737453,0.658
56.577,9.246704,6.069
58.309,7.585324,2.879
61.878,3.0244539,0.593
67.182,3.9005404,4.08
68.856,11.690605,12.128
108.439,22.271244,11.907
87.349,14.47076,1.818
78.337,7.8333488,1.075
24.599,2.653106,0.213
24.599,0.25203788,0.138
29.854,0.0,0.139
19.155,0.0,0.358
18.334,0.0,0.44
6.054,0.0,0.602
1.422,0.0,1.725
8.681,0.0,2.881
0.043,0.0,0.834
0.0,0.0,1.686
7.735,0.011259105,4.0
238.814,3.0016193,18.095
196.132,8.1350765,11.158
67.182,10.531303,6.016
18.334,11.366829,4.538
30.988,21.341036,13.897
133.344,59.68826,24.839
240.156,105.23192,21.916
201.137,115.2699,14.627
252.361,176.67673,24.615
632.758,234.63112,25.741
394.467,156.85419,8.471
216.433,124.223305,9.355
108.439,143.84966,17.093
286.004,133.56287,12.329
178.991,121.648834,11.213
133.344,105.07339,9.222
103.497,186.81746,26.999
216.433,170.04623,14.383
330.239,161.43362,14.524
294.66,124.94418,8.641
161.286,140.09317,15.922
170.642,136.78539,13.395
177.789,121.08178,10.694
226.862,214.55579,28.803
669.865,315.91928,32.015
517.291,228.91396,13.919
248.268,155.99509,8.321
131.195,123.64569,8.901
139.867,92.11345,5.862
113.468,72.14355,5.358
75.706,41.046825,0.47
58.309,28.852592,2.122
51.588,25.539099,3.744
42.507,22.79033,3.7
24.599,22.48002,4.503
18.334,35.150578,12.567
0.058,35.56838,6.556
49.993,40.025955,8.769
77.457,46.211094,9.891
88.27,62.306496,13.946
94.82,51.023228,4.73
58.309,50.30111,7.761
80.11,68.680374,14.776
137.68,45.88177,1.64
69.699,40.521687,4.294
65.523,45.030067,8.383
45.405,42.10076,5.439
29.854,38.099266,4.586
27.671,34.10262,4.059
22.683,25.849934,2.187
63.716,19.01792,1.791
24.599,19.43678,4.301
27.671,15.881565,2.411
20.0,8.203586,0.001
14.58,6.4647856,2.01
13.897,4.7322335,1.786
13.235,4.6763616,2.776
13.235,2.7474067,1.329
10.798,1.3539543,1.267
9.182,0.06438673,0.064
2.954,0.0,0.465
1.737,0.0,0.42
0.239,0.0,0.556
1.737,0.0,2.77
1.422,0.032191582,3.164
1.911,0.07310129,2.946
1.737,0.0,0.321
1.28,0.0,0.781
1.28,0.0,0.466
1.025,0.0,0.402
0.013,0.0,0.091
0.0,0.0,0.0
0.043,0.0,0.399
0.02,0.0,1.426
0.002,0.0,0.391
0.002,0.0,0.684
0.002,0.0,0.498
0.101,0.054915726,6.675
0.239,0.93220615,14.424
6.054,3.5712564,11.89
8.199,5.3183928,5.13
8.199,4.112213,1.895
4.019,5.24652,3.726
2.292,3.4883826,1.529
1.148,3.1634762,2.434
0.911,4.7215724,5.837
9.701,6.2766566,5.414
11.975,4.632213,1.849
3.2,4.741157,2.91
2.292,4.072106,2.395
2.721,1.8824201,0.924
1.422,2.9053764,5.046
2.721,4.3123074,6.175
2.954,2.3187044,1.185
2.292,1.1375624,1.367
1.28,2.1582668,5.788
1.025,1.2405547,1.645
2.721,0.094164796,0.352
1.574,0.0,0.209
1.148,0.0,0.193
0.621,0.0,0.346
0.4,0.0,0.26
0.34,0.0,0.0
0.197,0.0,0.0
0.287,0.0,0.096
0.197,0.0,0.312
0.101,0.0,0.599
0.101,0.0,1.619
0.058,0.0,0.109
0.043,0.0,0.102
0.043,0.0,0.359
0.058,0.0,0.969
0.03,0.0,0.157
0.004,0.0,0.942
0.002,0.0,2.103
0.058,0.0,0.209
0.03,0.0,2.349
0.911,0.011946571,4.201
0.4,0.0,1.87
0.197,0.0,2.038
0.197,0.0,0.57
0.239,0.0,0.204
0.16,0.0,0.345
0.013,0.0,0.094
0.02,0.0,0.004
0.007,0.0,0.667
0.004,0.0,0.966
0.0,0.0,0.095
0.004,0.0,0.015
0.007,0.0,0.058
0.013,0.0,0.0
0.004,0.0,0.197
0.0,0.0,0.92
0.0,0.0,0.367
0.0,0.0,1.413
0.0,0.0,0.203
0.0,0.0,0.392
0.0,0.0,0.898
0.0,0.0,0.12
0.0,0.0,0.109
0.0,0.0,0.78
0.0,0.0,1.979
0.0,0.0,0.433
0.0,0.0,0.088
0.0,0.0,0.438
0.0,0.0,0.092
0.0,0.0,0.004
0.0,0.0,0.025
0.0,0.0,0.002
0.0,0.0,0.12
0.0,0.0,0.075
0.0,0.0,0.246
0.0,0.0,1.685
0.0,0.0,0.046
0.0,0.0,0.46
0.0,0.0,0.128
0.0,0.0,0.002
0.0,0.0,0.124
0.0,0.0,3.914
0.0,0.0,0.535
0.0,0.0,0.451
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.183
0.0,0.0,2.273
0.0,0.0,0.308
0.0,0.0,0.283
0.0,0.0,0.428
0.0,0.0,1.567
0.0,0.0,2.077
0.0,0.0,0.179
0.0,0.0,1.503
0.0,0.0,0.101
0.0,0.0,0.745
0.0,0.0,10.583
0.002,0.17814448,23.018
0.0,0.09235327,4.296
0.0,0.0,1.183
0.0,0.0,3.338
0.0,0.0,0.242
0.0,0.0,0.302
0.0,0.0,0.074
0.0,0.0,3.32
1.422,0.16934979,11.88
0.0,0.0,2.184
0.0,0.0,0.603
0.0,0.0,4.657
0.0,0.0,2.021
0.0,0.0,2.569
0.0,0.0,3.757
0.0,0.0,0.492
0.0,0.0,1.59
0.0,0.5182812,17.424
0.0,2.1530855,10.857
0.0,4.0033197,7.789
0.0,5.7365756,6.639
0.0,15.8680315,18.423
0.0,29.010592,15.097
4.967,57.41533,19.82
2.096,70.213005,13.43
1.148,52.302143,4.247
4.32,27.309948,0.29
8.199,15.097281,0.983
3.2,17.098118,5.789
11.377,30.08305,13.244
2.721,38.40375,10.537
9.701,20.154049,0.473
4.32,12.189854,1.667
2.292,5.350002,0.647
1.911,2.8231502,1.918
1.025,0.16817603,0.0
0.709,0.0,1.355
0.197,0.0,1.492
0.128,0.0,0.071
0.013,0.0,0.415
0.078,0.0,2.969
1.148,0.0,3.704
1.911,1.3874084,12.85
8.681,5.6065583,11.757
8.199,11.073049,10.191
5.676,24.00665,14.653
4.019,36.333317,12.469
20.0,68.99413,19.58
70.546,100.33256,18.23
58.309,102.86142,12.569
