vazao,vazao_calc,chuva_media
0.0,0.0,0.0
2.181,0.0,0.199
0.98,0.0,1.679
0.86,0.0,5.325
0.86,0.0,1.754
0.617,0.0,0.009
0.558,0.0,1.428
0.502,0.0,2.381
0.476,0.0,3.395
0.45,0.0,2.622
0.502,0.0,2.316
0.402,0.0,1.785
0.379,0.0,4.403
0.357,0.0,2.258
0.336,0.0,10.51
0.402,0.0,3.174
0.336,0.0,1.545
0.316,0.0072772335,0.298
0.297,0.03440534,1.23
0.227,0.07391644,1.165
0.212,0.11960783,0.648
0.278,0.16710486,0.52
0.227,0.21300352,0.007
0.227,0.25545317,0.081
0.227,0.2946753,1.685
0.227,0.33059177,2.432
0.227,0.36223012,1.698
8.935,0.39276215,6.159
1.067,0.009505843,0.302
0.681,0.022716628,0.386
0.476,0.038513966,0.17
0.502,0.05533222,0.0
0.45,0.0720893,0.024
0.402,0.0880513,0.0
0.402,0.10275901,0.0
0.357,0.11595137,0.011
0.336,0.12750089,0.0
0.26,0.13738176,0.0
0.316,0.14564501,0.044
0.316,0.15240692,0.211
0.243,0.15778898,0.312
0.243,0.16187689,0.138
0.227,0.16481039,0.225
0.0,0.16682586,1.087
0.0,0.16789037,0.0
0.0,0.1681263,0.0
0.0,0.16765755,0.112
0.0,0.16662674,0.616
0.0,0.16516949,1.365
0.0,0.16357812,5.067
0.0,0.16553637,5.339
0.0,0.0016893562,0.017
0.0,0.0035319885,0.0
3.366,0.0057185083,2.553
0.98,0.008118712,2.402
3.564,0.02750607,15.327
17.451,0.2631692,9.186
5.171,0.0,1.789
2.33,0.0,1.173
1.213,0.0,0.009
0.98,0.0,1.96
0.86,0.0,2.755
0.86,0.16775407,10.348
0.86,0.47148982,4.47
0.749,0.0,2.175
0.715,0.0,2.432
0.587,0.0,0.999
0.502,0.078554675,1.745
0.502,0.30104575,2.924
0.587,0.6215719,4.374
14.701,5.3419533,27.331
5.171,2.847268,2.287
1.532,0.1635092,1.006
1.314,0.33925205,3.799
1.112,1.5359412,5.669
1.067,0.0018770341,1.335
0.98,0.0,0.138
0.899,0.0,0.629
0.681,0.0,0.212
0.617,0.0035625265,1.946
0.587,0.4544507,6.75
0.529,1.7826811,7.815
0.402,4.735323,9.864
0.357,2.5643911,2.514
0.715,0.19783747,1.383
0.681,1.1399049,5.745
0.558,0.022352146,1.915
0.785,0.34330204,4.434
0.502,0.0,1.072
0.45,0.2098283,0.769
0.617,0.7397358,0.292
0.587,1.4304472,0.523
0.502,2.1773067,0.808
0.402,2.9056118,0.703
0.336,3.609353,3.58
0.379,7.4343314,18.891
0.617,12.487569,9.955
0.529,9.419392,2.56
0.86,16.561775,10.997
30.156,37.38568,17.224
10.508,45.12352,7.684
7.527,53.069447,8.096
5.986,144.1476,27.977
29.326,268.01544,25.908
133.282,293.0822,16.629
