vazao,vazao_calc,chuva_media
0.0,0.0,5.962
0.0,0.0,6.867
0.0,0.0,1.029
0.0,0.0,1.019
0.0,0.0,0.185
0.0,0.0,0.408
0.0,0.0005885917,0.0
0.0,0.005918539,0.274
0.0,0.013130682,2.008
0.0,0.021793451,1.932
0.0,0.031571507,2.21
0.0,0.04285808,5.276
0.0,0.06301347,6.331
0.0,0.0,2.495
0.0,0.0,0.491
0.0,0.0,0.326
0.0,0.0,1.327
0.0,0.009600552,8.693
0.0,0.09400237,11.109
0.0,0.25601092,5.049
0.0,0.0,0.427
0.0,0.0,0.496
0.213,0.0,2.362
0.284,0.0,1.223
0.213,0.007280617,3.981
0.174,0.06379675,1.433
0.124,0.1605986,1.878
0.096,0.28741023,1.957
0.073,0.43226236,0.7
0.073,0.6191619,5.582
0.311,0.07883705,0.162
0.284,0.1665638,1.83
0.259,0.2732743,0.258
0.369,0.3916756,0.298
0.236,0.51560926,0.184
0.139,0.64027137,0.147
0.096,0.76539594,1.717
0.073,0.9453119,7.265
0.039,0.0,0.927
0.054,0.0,0.917
0.039,0.0,0.553
0.027,0.021017512,0.169
0.017,0.061072018,0.199
0.014,0.1150739,0.873
0.032,0.17849717,0.461
0.027,0.24764901,0.393
0.022,0.31988811,0.657
0.022,0.39245245,0.296
0.014,0.4632079,0.082
0.011,0.5323469,1.379
0.011,0.59987456,2.196
0.006,0.6635023,0.97
0.006,0.7240404,2.111
0.006,1.2130268,18.889
0.008,0.0,0.598
0.006,0.0,0.134
0.004,0.0,0.042
0.259,0.0,0.443
0.213,0.0,2.867
0.139,0.0,0.298
0.109,0.011717006,2.326
0.073,0.10679458,4.675
0.054,0.005453859,2.579
0.039,0.016177578,3.019
0.032,0.09638258,1.543
0.046,0.44510275,10.023
0.039,0.0,1.267
0.046,0.0,1.057
0.174,0.0,1.921
0.236,0.0,0.976
0.174,0.034205895,0.244
0.156,0.14339638,0.165
0.124,0.30808502,1.299
0.096,0.5123227,1.134
0.124,0.7416071,0.847
0.096,0.9821132,0.262
0.096,1.2238518,0.197
0.063,1.4585763,0.022
0.063,1.6810682,0.119
0.054,1.8888807,0.488
0.046,2.0800014,0.653
0.046,2.2605567,2.644
0.032,2.419882,0.25
0.027,2.5581567,0.372
0.022,2.6751385,0.24
0.022,2.7728298,0.615
0.017,2.8532348,0.97
0.017,2.9144456,0.065
0.017,2.9583564,0.217
0.014,2.9901729,1.597
0.011,3.008091,0.557
0.011,3.0121737,0.123
0.008,3.0043018,0.279
0.006,2.9854646,0.087
0.006,2.957091,0.101
0.004,2.9203813,0.045
0.004,2.8769653,0.291
0.004,2.834495,4.122
0.003,2.8219779,5.487
0.003,0.31866223,0.774
0.002,0.37687346,0.108
0.001,0.43264526,0.002
0.001,0.48519787,0.071
0.001,0.5340335,0.165
0.001,0.5786203,0.01
0.046,0.61874276,0.004
0.032,0.65434563,0.026
0.022,0.68543756,0.0
0.017,0.71212924,0.0
0.014,0.7349061,0.435
0.011,0.7536525,0.013
0.008,0.76860505,0.006
0.006,0.78003514,0.026
0.004,0.78819495,0.0
0.003,0.79335743,0.0
0.002,0.79579026,0.0
0.001,0.7957559,0.0
0.001,0.7935049,0.0
0.001,0.7892754,0.0
0.002,0.78334576,0.149
0.001,0.77586865,0.002
0.001,0.7670478,0.028
0.001,0.75690603,0.086
0.0,0.74562126,0.006
0.0,0.7333754,0.002
0.0,0.720335,0.0
0.0,0.7066804,0.171
0.0,0.69251853,0.052
0.0,0.6779713,0.089
0.0,0.66319215,0.439
0.003,0.6482431,0.312
0.001,0.6331761,0.108
0.0,0.6180501,0.0
0.0,0.60305446,1.321
0.0,0.58812547,0.268
0.0,0.57335526,0.861
0.0,0.5589609,3.469
0.0,0.54483473,2.033
0.0,0.5308549,0.031
0.0,0.51706123,0.188
0.0,0.50347674,0.154
0.0,0.4903501,4.924
0.0,0.12881127,3.182
0.0,0.13342218,2.686
0.0,0.13738829,0.295
0.0,0.14073828,0.249
