vazao,vazao_calc,chuva_media
0.0,0.0,0.0
0.0,0.0,0.456
0.0,0.0,2.995
0.0,0.0,5.267
0.0,0.0,1.561
0.0,0.0,0.622
0.0,0.0,4.164
0.0,0.0,1.382
0.0,0.0,4.586
0.0,0.0,3.225
0.0,0.0,3.374
0.0,0.009047456,20.207
0.0,0.0,1.553
0.0,0.0,2.806
0.0,0.0,1.653
0.0,0.0,3.316
0.0,0.0,1.278
0.0,0.0,0.015
0.0,0.0,0.379
0.0,0.0,0.125
0.0,0.0,2.985
0.0,0.00035808134,2.613
0.0,0.0011029516,2.486
0.0,0.004150651,5.727
0.0,0.0,1.617
14.126,0.0770012,14.757
8.383,2.7124414,23.414
2.33,3.0501363,6.203
2.796,4.345572,8.301
31.593,4.386171,5.638
3.597,0.25766736,0.109
1.296,0.0,0.0
0.824,0.0,0.258
0.567,0.0,0.0
0.487,0.0,0.261
0.409,0.0,2.422
0.527,0.2094915,7.611
0.447,0.0,2.533
0.409,0.0,0.052
1.247,1.2635041,11.639
4.864,2.9315355,8.268
2.014,0.26263946,1.17
2.921,0.0,2.524
1.102,0.0,3.998
0.736,1.1744428,10.137
0.567,1.6470605,5.66
0.487,4.177391,8.705
0.447,2.7584224,3.674
0.409,2.5828924,4.592
0.409,1.4307694,3.459
2.014,0.0,0.187
1.247,0.0,0.204
0.869,0.0,2.625
0.608,0.0,2.921
0.447,0.0,0.303
0.409,0.0,0.247
0.372,0.0,0.291
0.372,5.35757e-05,1.502
1.725,0.003723261,3.912
1.819,0.5355276,7.936
0.527,0.0,0.584
0.409,1.3848144e-06,0.63
0.335,0.00321439,0.693
0.23,0.009239494,0.205
0.166,0.017414324,0.033
0.136,0.027190235,0.44
0.08,0.038020045,0.164
0.055,0.049464367,0.218
0.033,0.061109822,0.0
1.15,2.200467,16.519
0.78,2.9849164,6.998
0.409,0.07517103,0.481
0.264,0.0,0.837
0.136,0.0,0.32
0.107,0.0,0.0
0.033,0.0,0.0
0.013,0.001691493,0.079
0.0,0.0057719126,4.259
0.0,0.011525714,0.298
0.0,0.01855369,0.617
0.0,0.026420854,0.036
0.0,0.034818534,0.298
0.0,0.043436922,0.071
0.0,0.05202957,0.0
0.0,0.060411714,0.048
0.0,0.06850455,0.541
0.0,0.07613444,0.114
0.0,0.08321006,0.065
0.0,0.08976537,0.718
0.0,0.09568122,0.14
0.0,0.10103115,0.824
0.0,0.10611658,3.189
0.0,0.110544994,0.311
0.0,0.11431949,0.239
0.0,0.117527016,0.774
0.0,0.12433634,4.857
0.0,0.058342624,3.906
0.0,0.06200887,0.195
0.0,0.065302566,0.435
0.0,0.06822405,0.47
0.0,0.07076335,0.297
0.0,0.07300676,1.315
0.0,0.0751427,3.811
0.0,0.07690693,0.203
0.0,0.07832513,0.303
0.0,0.079545006,2.244
0.0,0.092505015,6.888
0.0,0.0,0.501
0.0,0.0,0.4
0.0,0.0,0.071
0.0,0.0,0.048
0.0,0.0,0.036
0.0,0.0,0.423
0.0,0.00026488412,0.701
