vazao,vazao_calc,chuva_media
0.0,6.497801e-06,6.895
0.0,0.032911696,8.152
0.0,0.0,0.288
0.0,0.0,0.134
0.0,0.08584297,0.666
0.0,0.26017597,1.195
0.0,0.47060105,0.0
0.0,0.6919918,0.496
0.0,0.9088233,0.671
0.0,1.1124613,1.023
0.0,1.29569,0.7
0.0,1.4623152,2.635
0.0,1.616242,4.36
0.0,1.7888647,7.454
0.0,0.0,1.222
0.0,0.0,0.552
0.0,0.06236436,1.79
0.0,0.37670544,14.285
0.0,2.1072834,10.547
0.0,4.5843964,5.017
0.0,0.61377317,1.327
0.0,0.0,2.224
0.213,0.0,2.262
0.284,0.09743361,3.698
0.213,1.2496907,8.034
0.174,0.27564955,2.511
0.124,1.4522351,4.514
0.096,1.2870013,3.309
0.073,0.0,1.483
0.073,0.5461066,5.594
0.311,0.0,0.22
0.284,0.0,1.089
0.259,0.0,0.395
0.369,0.040353205,0.433
0.236,0.46890908,0.31
0.139,1.1306883,0.175
0.096,1.9067659,2.039
0.073,3.1552134,9.651
0.039,0.24977627,1.1
0.054,0.0,1.02
0.039,0.0,1.201
0.027,0.2976845,0.19
0.017,0.89337003,0.36
0.014,1.6184756,0.776
0.032,2.3794453,0.846
0.027,3.1107187,0.476
0.022,3.7702258,0.162
0.022,4.3407993,0.411
0.014,4.8121133,0.272
0.011,5.2068186,2.248
0.011,5.542405,3.709
0.006,5.46763,0.98
0.006,5.6894026,2.613
0.006,6.7911725,15.695
0.008,2.598637,1.344
0.006,0.0,0.235
0.004,0.0,0.065
0.259,0.0,0.328
0.213,0.34841886,1.616
0.139,1.0595696,1.531
0.109,2.0553138,5.179
0.073,3.7209048,7.828
0.054,6.2898893,6.539
0.039,3.9588332,1.79
0.032,2.9696078,2.199
0.046,6.3802958,9.909
0.039,7.2181954,2.699
0.046,6.1605926,2.185
0.174,2.0357604,0.906
0.236,0.2398026,1.206
0.174,0.0,0.287
0.156,0.0,0.341
0.124,0.37580752,1.886
0.096,1.2819474,1.445
0.124,2.429339,1.459
0.096,3.639677,0.669
0.096,4.7900066,0.0
0.063,5.8153415,0.048
0.063,6.6826267,0.089
0.054,7.3906455,0.633
0.046,7.947356,1.032
0.046,8.382027,2.278
0.032,8.678143,0.771
0.027,8.842617,0.162
0.022,8.898897,0.45
0.022,8.892565,2.698
0.017,8.815659,1.187
0.017,8.669009,0.011
0.017,8.470494,0.276
0.014,8.2343645,0.486
0.011,7.9689865,0.256
0.011,7.6825347,0.165
0.008,7.383584,0.321
0.006,7.07657,0.032
0.006,6.76662,0.006
0.004,6.458335,0.113
0.004,6.156477,0.59
0.004,5.97915,9.92
